,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.633,1.539,2.8221569825573143,12452275682.7048
1993-01-01,0.711,1.715,2.8221569825573143,12493107932.3797
1994-01-01,0.786,1.744,2.7446973156146446,12918855656.697
1995-01-01,0.854,1.958,2.6713761267731204,13802600780.2341
1996-01-01,0.94,2.037,2.601870382524773,15277763328.9987
1997-01-01,1.047,2.14,2.535889816456919,15837451235.3706
1998-01-01,1.304,2.201,2.4731728773176673,13996914694.4083
1999-01-01,1.462,2.009,2.4134832638378083,15593456176.8531
2000-01-01,1.849,2.305,2.356606949516782,19507452535.7607
2001-01-01,1.852,2.302,2.2935280449678466,19452000520.156
2002-01-01,2.108,2.304,2.2421047438696418,20142756046.814
2003-01-01,2.244,2.788,2.1929368037624024,21633708192.4577
2004-01-01,2.134,3.024,2.1458790326903343,24763712873.8622
2005-01-01,2.809,2.983,2.1007984394589,31081991677.5033
2006-01-01,2.792,3.314,2.057572978437164,37215779713.9142
2007-01-01,2.94,3.42,2.0160904461953946,42085379453.8362
2008-01-01,2.87,3.859,1.976247508973782,60905452535.7607
2009-01-01,3.34,4.202,1.9379488432341971,48388363589.0767
2010-01-01,3.027,4.265,1.9011063742458485,64993498049.4148
2011-01-01,2.842,4.861,9.090222678400533,77497529258.7776
2012-01-01,3.41,5.808,8.332756552526831,87408842652.7958
2013-01-01,2.871,6.599,7.691816231489115,89936020806.2419
2014-01-01,3.17,8.215,7.142433381339902,92699089726.9181
2015-01-01,3.17,7.87,6.666297521840529,78710793237.9714
2016-01-01,3.249,8.16479,1.677680295893665,75128738621.5865
2017-01-01,3.317,8.22779,1.6499985945897326,80856697009.1027
2018-01-01,3.67,8.449761,1.6232155606517944,91505851755.5267
2019-01-01,3.562,8.500761,1.5972881311584082,88060858257.4772
2020-01-01,3.742,8.603761,1.5721759512875446,73971391417.4252
2021-01-01,3.777953012,8.629761,0.362052727484423,73971391417.4252
