,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.94,2.037,2.601870382524773,15277763328.9987,0.854,1.958,2.6713761267731204,13802600780.2341,0.786,1.744,2.7446973156146446,12918855656.697,0.711,1.715,2.8221569825573143,12493107932.3797,0.633,1.539,2.8221569825573143,12452275682.7048,1.047,2.14,2.535889816456919,15837451235.3706
1998-01-01,1.047,2.14,2.535889816456919,15837451235.3706,0.94,2.037,2.601870382524773,15277763328.9987,0.854,1.958,2.6713761267731204,13802600780.2341,0.786,1.744,2.7446973156146446,12918855656.697,0.711,1.715,2.8221569825573143,12493107932.3797,1.304,2.201,2.4731728773176673,13996914694.4083
1999-01-01,1.304,2.201,2.4731728773176673,13996914694.4083,1.047,2.14,2.535889816456919,15837451235.3706,0.94,2.037,2.601870382524773,15277763328.9987,0.854,1.958,2.6713761267731204,13802600780.2341,0.786,1.744,2.7446973156146446,12918855656.697,1.462,2.009,2.4134832638378083,15593456176.8531
2000-01-01,1.462,2.009,2.4134832638378083,15593456176.8531,1.304,2.201,2.4731728773176673,13996914694.4083,1.047,2.14,2.535889816456919,15837451235.3706,0.94,2.037,2.601870382524773,15277763328.9987,0.854,1.958,2.6713761267731204,13802600780.2341,1.849,2.305,2.356606949516782,19507452535.7607
2001-01-01,1.849,2.305,2.356606949516782,19507452535.7607,1.462,2.009,2.4134832638378083,15593456176.8531,1.304,2.201,2.4731728773176673,13996914694.4083,1.047,2.14,2.535889816456919,15837451235.3706,0.94,2.037,2.601870382524773,15277763328.9987,1.852,2.302,2.2935280449678466,19452000520.156
2002-01-01,1.852,2.302,2.2935280449678466,19452000520.156,1.849,2.305,2.356606949516782,19507452535.7607,1.462,2.009,2.4134832638378083,15593456176.8531,1.304,2.201,2.4731728773176673,13996914694.4083,1.047,2.14,2.535889816456919,15837451235.3706,2.108,2.304,2.2421047438696418,20142756046.814
2003-01-01,2.108,2.304,2.2421047438696418,20142756046.814,1.852,2.302,2.2935280449678466,19452000520.156,1.849,2.305,2.356606949516782,19507452535.7607,1.462,2.009,2.4134832638378083,15593456176.8531,1.304,2.201,2.4731728773176673,13996914694.4083,2.244,2.788,2.1929368037624024,21633708192.4577
2004-01-01,2.244,2.788,2.1929368037624024,21633708192.4577,2.108,2.304,2.2421047438696418,20142756046.814,1.852,2.302,2.2935280449678466,19452000520.156,1.849,2.305,2.356606949516782,19507452535.7607,1.462,2.009,2.4134832638378083,15593456176.8531,2.134,3.024,2.1458790326903343,24763712873.8622
2005-01-01,2.134,3.024,2.1458790326903343,24763712873.8622,2.244,2.788,2.1929368037624024,21633708192.4577,2.108,2.304,2.2421047438696418,20142756046.814,1.852,2.302,2.2935280449678466,19452000520.156,1.849,2.305,2.356606949516782,19507452535.7607,2.809,2.983,2.1007984394589,31081991677.5033
2006-01-01,2.809,2.983,2.1007984394589,31081991677.5033,2.134,3.024,2.1458790326903343,24763712873.8622,2.244,2.788,2.1929368037624024,21633708192.4577,2.108,2.304,2.2421047438696418,20142756046.814,1.852,2.302,2.2935280449678466,19452000520.156,2.792,3.314,2.057572978437164,37215779713.9142
2007-01-01,2.792,3.314,2.057572978437164,37215779713.9142,2.809,2.983,2.1007984394589,31081991677.5033,2.134,3.024,2.1458790326903343,24763712873.8622,2.244,2.788,2.1929368037624024,21633708192.4577,2.108,2.304,2.2421047438696418,20142756046.814,2.94,3.42,2.0160904461953946,42085379453.8362
2008-01-01,2.94,3.42,2.0160904461953946,42085379453.8362,2.792,3.314,2.057572978437164,37215779713.9142,2.809,2.983,2.1007984394589,31081991677.5033,2.134,3.024,2.1458790326903343,24763712873.8622,2.244,2.788,2.1929368037624024,21633708192.4577,2.87,3.859,1.976247508973782,60905452535.7607
2009-01-01,2.87,3.859,1.976247508973782,60905452535.7607,2.94,3.42,2.0160904461953946,42085379453.8362,2.792,3.314,2.057572978437164,37215779713.9142,2.809,2.983,2.1007984394589,31081991677.5033,2.134,3.024,2.1458790326903343,24763712873.8622,3.34,4.202,1.9379488432341971,48388363589.0767
2010-01-01,3.34,4.202,1.9379488432341971,48388363589.0767,2.87,3.859,1.976247508973782,60905452535.7607,2.94,3.42,2.0160904461953946,42085379453.8362,2.792,3.314,2.057572978437164,37215779713.9142,2.809,2.983,2.1007984394589,31081991677.5033,3.027,4.265,1.9011063742458485,64993498049.4148
2011-01-01,3.027,4.265,1.9011063742458485,64993498049.4148,3.34,4.202,1.9379488432341971,48388363589.0767,2.87,3.859,1.976247508973782,60905452535.7607,2.94,3.42,2.0160904461953946,42085379453.8362,2.792,3.314,2.057572978437164,37215779713.9142,2.842,4.861,9.090222678400533,77497529258.7776
2012-01-01,2.842,4.861,9.090222678400533,77497529258.7776,3.027,4.265,1.9011063742458485,64993498049.4148,3.34,4.202,1.9379488432341971,48388363589.0767,2.87,3.859,1.976247508973782,60905452535.7607,2.94,3.42,2.0160904461953946,42085379453.8362,3.41,5.808,8.332756552526831,87408842652.7958
2013-01-01,3.41,5.808,8.332756552526831,87408842652.7958,2.842,4.861,9.090222678400533,77497529258.7776,3.027,4.265,1.9011063742458485,64993498049.4148,3.34,4.202,1.9379488432341971,48388363589.0767,2.87,3.859,1.976247508973782,60905452535.7607,2.871,6.599,7.691816231489115,89936020806.2419
