,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1992-01-01,0.11935,0.49,1.58565,4377980510.05598
1993-01-01,0.11935,0.49,1.58565,4974550286.18152
1994-01-01,0.1197,0.455,1.5903,5502786069.65174
1995-01-01,0.10661,0.519,1.41639,4636057476.42568
1996-01-01,0.11914,0.499,1.58286,5155311077.38998
1997-01-01,0.10948,0.499,1.45452,4936615298.79367
1998-01-01,0.14595,0.534,1.93905,3789443014.61662
1999-01-01,0.13181,0.539,1.75119,3477038204.01733
2000-01-01,0.15,0.554,1.965,3521339699.07407
2001-01-01,0.163,0.557,2.422,3081024212.42924
2002-01-01,0.163,0.653,2.607,2999511040.19764
2003-01-01,0.2,0.659,2.897,3536411824.2958
2004-01-01,0.24,0.635,2.934,3927157866.96465
2005-01-01,0.562,0.665,2.7705,4865892972.27595
2006-01-01,0.457,0.679,2.7975,8355006706.57899
2007-01-01,0.524,0.699,2.8155,9545177014.1301
2008-01-01,0.58,0.768,2.6935,11670840931.8173
2009-01-01,0.383,0.778,2.9625,11619637798.991
2010-01-01,0.406,0.6923,2.9815,14250755231.1257
2011-01-01,0.407,0.5923,3.1165,17984910501.8979
2012-01-01,0.434,0.5983,3.1865,21295659243.6168
2013-01-01,0.4536,0.6033,3.355892,21261432791.2675
2014-01-01,0.5117,0.6033,3.503792,23210682538.3928
2015-01-01,0.441944444,1.133,3.715329556,21723531173.2409
2016-01-01,0.337222222,0.965,3.937559778,20759069103.0961
2017-01-01,0.338,0.965,3.926733,22742613553.6879
2018-01-01,0.29075,1.059258,4.112638,24109509852.7402
2019-01-01,0.305277778,1.111,4.136722222,24751344552.2057
2020-01-01,0.296444444,1.141,4.345555556,24668899683.4299
2021-01-01,0.296444444,1.141,4.563458391,24668899683.4299
