,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.043,24.619,0.002,2.521,27.181,2.492027494172808,0.0803948832451464,7157424031.06045
1993-01-01,0.475,28.121,0.003,2.574,31.167,2.492027494172808,0.0811786746774217,7249533620.30614
1994-01-01,0.546,32.773,0.001,2.753,36.071,2.431435454152247,0.0819396009942272,7870982004.8195
1995-01-01,0.666,37.828,0.0,3.263,41.757,2.37371998485813,0.0826786483582894,9062131475.02318
1996-01-01,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421
1997-01-01,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093
1998-01-01,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462
1999-01-01,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892
2000-01-01,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857
2001-01-01,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467
2002-01-01,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556
2003-01-01,1.883,45.18,0.0,4.206333333,51.26933333,1.227529555885657,0.0858738556802538,7691367471.17992
2004-01-01,2.202,45.005,0.0,4.21,51.417,1.2126439924703931,0.0858097399693759,9624440836.29309
2005-01-01,2.368,43.792,0.002,4.499,50.657,1.1981151214275405,0.085747234729158,10737500188.1123
2006-01-01,2.64,45.707,0.00063,4.90263,53.249,1.1839302737901023,0.0856862800340468,13429430050.261
2007-01-01,2.754,45.113,0.0,5.324,53.191,1.170077373538001,0.0856268188951679,17856270473.153
2008-01-01,2.914,46.291,8e-05,5.70708,54.912,1.1565449033095854,0.0855687970826117,24616537618.2325
2009-01-01,3.13,45.042,0.0,6.238,54.41,1.1433218724651493,0.0855121629604693,22355601273.3545
2010-01-01,3.369,43.378,0.0,6.77794,53.52494,1.1303977873169095,0.0854568673335664,27237782849.6908
2011-01-01,3.433,46.12,0.0,7.49694,57.04994,1.4191868998665775,0.0855852621407143,33756238766.5
2012-01-01,3.845,47.663,0.0,8.12482,59.63282,1.3993278227203263,0.0857104837372464,33296438306.4747
2013-01-01,3.369,47.364,0.0,9.17182,59.90482,1.3800168628009364,0.0858326483236111,38651334287.6732
2014-01-01,3.402,41.4,0.0,10.06564,54.86764,1.3612316366730517,0.0859518664951182,40377987208.689
2015-01-01,3.59,41.127,0.0,10.61594,55.33294,1.3429509632956809,0.0860682435758791,36211372702.8085
2016-01-01,3.821,48.415,0.0,11.06694,63.30294,1.426832525352261,0.0863322798094193,36089550659.0914
2017-01-01,4.0003,43.635,0.0,11.59458,59.22988,1.4067604102648237,0.0865905482297162,38997129473.5558
2018-01-01,4.02051,42.205,0.0,12.52826,58.75377,1.3872451940811878,0.0868432357897076,40225448340.6322
2019-01-01,4.47015,31.748,0.0,12.85444,49.07259,1.3682640172594145,0.0870905214490519,37906944074.6128
2020-01-01,4.22748,28.005,0.0,14.27648,46.50896,1.3497952544856129,0.0873325765968057,35670301496.1061
2021-01-01,4.340871429,28.005,0.0,7.677260571,40.023132,1.224176367093513,0.0876673610737295,35670301496.1061
