,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,2.301,0.0,0.0,0.0,1.9746750468879648,0.4331673583878158,35966302303.263
1993-01-01,2.697,0.0,0.0,0.0,1.9746750468879648,0.4351825936439867,34832077220.8537
1994-01-01,3.266,0.0,0.0,0.0,1.936436714292062,0.437139039552719,44882079766.8913
1995-01-01,3.01,0.0,0.0,0.0,1.899651171562448,0.4390392316736187,53312793687.3836
1996-01-01,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019
1997-01-01,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225
1998-01-01,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381
1999-01-01,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883
2000-01-01,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213
2001-01-01,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055
2002-01-01,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809
2003-01-01,2.317,0.0,0.0,0.0,0.9478040672246312,0.442946492752686,58731030121.8671
2004-01-01,2.359,0.0,0.0,0.0,0.9389050866262224,0.4414186820042841,66768703497.5687
2005-01-01,2.381,0.008,0.0,-0.008,0.9301716576184872,0.4399292470977876,76060606060.6061
2006-01-01,2.549,0.0,0.0,0.0,0.9215992030350176,0.4384767600695491,88643193061.748
2007-01-01,2.54,0.0,0.0,0.0,0.9131833129010724,0.4370598629339267,102170981144.136
2008-01-01,2.658,0.0,0.0,0.0,0.9049197368688248,0.4356772634485357,120550599815.441
2009-01-01,2.686,0.063,0.0,-0.063,0.8968043770597209,0.4343277311833445,120822986521.479
2010-01-01,3.634,0.112,0.0,-0.112,0.8888332812883635,0.4330100938684789,147528937028.778
2011-01-01,2.277,0.001,0.006,0.005,1.0142406464247895,0.431929151432017,171761737046.585
2012-01-01,3.38,0.002,0.005,0.003,1.0040570912915996,0.4308749239234455,192648999090.082
2013-01-01,4.564,0.0,0.0,0.0,0.9940760007136192,0.4298464330633568,201175469114.327
2014-01-01,5.016,0.013,0.0,-0.013,0.9842913961672192,0.4288427477614195,200789362451.567
2015-01-01,5.321,0.055,0.0005,-0.0545,0.974697532218934,0.4278629813049684,189805300841.603
2016-01-01,5.503,0.038,0.022,-0.016,1.6885286314281929,0.4302828957510773,191895943823.887
2017-01-01,5.539828,0.0,0.0166,0.0166,1.6604907693652269,0.4326499477002368,211007207483.515
2018-01-01,5.965627,0.0,0.0212,0.0212,1.633368830701747,0.4349658505919596,222574697255.522
2019-01-01,6.407694,0.0,0.06005,0.06005,1.607118655510238,0.4372322446066717,228470919605.669
2020-01-01,6.410788,0.0,0.037,0.037,1.5816988777715864,0.4394507005395966,202014363787.233
2021-01-01,6.410788,0.0,0.037,0.037,1.1182066609345525,0.4406734935195563,202014363787.233
