,Electricity: Distribution Losses,Economics: GDP
2022-01-01,9.261179545753015,378018643397.4888
2023-01-01,9.29973522311391,389120776785.849
2024-01-01,9.045257963585023,362626429691.74475
2025-01-01,9.014967622274153,353549551655.68304
2026-01-01,8.935061830632216,344932645959.615
2027-01-01,9.412265082641158,395663990690.9192
2028-01-01,9.50650838533884,407196818920.34705
2029-01-01,9.268269604781864,383130373396.6858
2030-01-01,9.252152060557002,378175457346.49194
2031-01-01,9.190374949189387,371200523273.53784
