,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,18.033,7.925,4.8,29.513,-3.125,122.58053978681012,0.1149754613785627,160193242090.427,18.07,7.157,4.4,29.265,-2.757,122.43976410312172,0.1151078071108712,142292783505.155,17.303,7.2,4.6,29.444,-2.6,122.29898841943334,0.1152404578748354,110803391516.698,16.929,8.011,5.6,28.926,-2.411,122.15821273574495,0.1153734147262122,96045645026.178,15.108,9.066,4.8,28.456,-4.266,122.0174370520566,0.1153734147262122,94337050693.2727,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207
1998-01-01,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207,18.033,7.925,4.8,29.513,-3.125,122.58053978681012,0.1149754613785627,160193242090.427,18.07,7.157,4.4,29.265,-2.757,122.43976410312172,0.1151078071108712,142292783505.155,17.303,7.2,4.6,29.444,-2.6,122.29898841943334,0.1152404578748354,110803391516.698,16.929,8.011,5.6,28.926,-2.411,122.15821273574495,0.1153734147262122,96045645026.178,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561
1999-01-01,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207,18.033,7.925,4.8,29.513,-3.125,122.58053978681012,0.1149754613785627,160193242090.427,18.07,7.157,4.4,29.265,-2.757,122.43976410312172,0.1151078071108712,142292783505.155,17.303,7.2,4.6,29.444,-2.6,122.29898841943334,0.1152404578748354,110803391516.698,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259
2000-01-01,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207,18.033,7.925,4.8,29.513,-3.125,122.58053978681012,0.1149754613785627,160193242090.427,18.07,7.157,4.4,29.265,-2.757,122.43976410312172,0.1151078071108712,142292783505.155,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067
2001-01-01,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207,18.033,7.925,4.8,29.513,-3.125,122.58053978681012,0.1149754613785627,160193242090.427,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168
2002-01-01,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561,16.685,7.542,5.36,29.745,-2.182,122.72131547049852,0.1148434196269837,159357789772.207,14.4,11.537,4.469,30.844,-7.068,123.20307855660278,0.0241269844303069,199072058823.529
2003-01-01,14.4,11.537,4.469,30.844,-7.068,123.20307855660278,0.0241269844303069,199072058823.529,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259,15.33,8.082,4.608,29.859,-3.474,122.86209115418688,0.1147116808100104,174685791563.561,14.46,15.146,4.985,31.683,-10.161,123.23279657412236,0.0241211647206697,217827260805.842
2004-01-01,14.46,15.146,4.985,31.683,-10.161,123.23279657412236,0.0241211647206697,217827260805.842,14.4,11.537,4.469,30.844,-7.068,123.20307855660278,0.0241269844303069,199072058823.529,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067,14.572,8.426,3.491,30.412,-4.935,123.00286683787526,0.1145802438863916,170031005016.259,14.431,14.605,5.312,31.906,-9.293,123.2625145916419,0.0241153478178803,255110181539.808
2005-01-01,14.431,14.605,5.312,31.906,-9.293,123.2625145916419,0.0241153478178803,255110181539.808,14.46,15.146,4.985,31.683,-10.161,123.23279657412236,0.0241211647206697,217827260805.842,14.4,11.537,4.469,30.844,-7.068,123.20307855660278,0.0241269844303069,199072058823.529,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168,14.234,9.663,3.29,30.575,-6.373,123.14364252156363,0.1144491078195261,172219461126.067,14.563,16.188,5.002,32.274,-11.186,123.29223260916147,0.0241095337199858,306144336269.51
2006-01-01,14.563,16.188,5.002,32.274,-11.186,123.29223260916147,0.0241095337199858,306144336269.51,14.431,14.605,5.312,31.906,-9.293,123.2625145916419,0.0241153478178803,255110181539.808,14.46,15.146,4.985,31.683,-10.161,123.23279657412236,0.0241211647206697,217827260805.842,14.4,11.537,4.469,30.844,-7.068,123.20307855660278,0.0241269844303069,199072058823.529,14.197,11.035,4.306,30.7,-6.729,123.17336053908322,0.0241328069489014,190905493539.168,14.021,15.775,4.789,32.379,-10.986,123.32195062668104,0.0241037224249,344622003093.581
