,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27,3.33,1.741,2.7,9.152,29.226,0.959,110.26154848517754,0.2896690436358443,118122007430.012,3.586,1.355,2.3,8.618,27.389,0.945,109.94307742425887,0.290510562804782,99688641304.3478,3.448,1.902,2.077,8.513,26.271,0.175,109.6246063633402,0.2913569856234878,95009751901.2592,3.404,1.197,2.538,8.013,25.92,1.341,109.30613530242154,0.2913569856234878,107592098307.098,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95
1998-01-01,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27,3.33,1.741,2.7,9.152,29.226,0.959,110.26154848517754,0.2896690436358443,118122007430.012,3.586,1.355,2.3,8.618,27.389,0.945,109.94307742425887,0.290510562804782,99688641304.3478,3.448,1.902,2.077,8.513,26.271,0.175,109.6246063633402,0.2913569856234878,95009751901.2592,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296
1999-01-01,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27,3.33,1.741,2.7,9.152,29.226,0.959,110.26154848517754,0.2896690436358443,118122007430.012,3.586,1.355,2.3,8.618,27.389,0.945,109.94307742425887,0.290510562804782,99688641304.3478,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471
2000-01-01,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27,3.33,1.741,2.7,9.152,29.226,0.959,110.26154848517754,0.2896690436358443,118122007430.012,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203
2001-01-01,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459
2002-01-01,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961
2003-01-01,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19
2004-01-01,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752
2005-01-01,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626
2006-01-01,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991
2007-01-01,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22
2008-01-01,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78
2009-01-01,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438
2010-01-01,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626,4.28,3.191001,5.814002,19.475,51.06156,2.623001,114.97883592138126,0.2725239209522953,237880908317.652
2011-01-01,4.28,3.191001,5.814002,19.475,51.06156,2.623001,114.97883592138126,0.2725239209522953,237880908317.652,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991,4.09,3.929,6.741998,20.484,49.573619,2.812998,114.49460093386904,-0.4211514089804424,244797226567.109
2012-01-01,4.09,3.929,6.741998,20.484,49.573619,2.812998,114.49460093386904,-0.4211514089804424,244797226567.109,4.28,3.191001,5.814002,19.475,51.06156,2.623001,114.97883592138126,0.2725239209522953,237880908317.652,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22,4.707,2.870998,10.766002,20.3153,47.513047,7.895004,114.01036594635684,-0.4229325955657226,216236608773.976
2013-01-01,4.707,2.870998,10.766002,20.3153,47.513047,7.895004,114.01036594635684,-0.4229325955657226,216236608773.976,4.09,3.929,6.741998,20.484,49.573619,2.812998,114.49460093386904,-0.4211514089804424,244797226567.109,4.28,3.191001,5.814002,19.475,51.06156,2.623001,114.97883592138126,0.2725239209522953,237880908317.652,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78,5.455,5.324001,8.1,19.4513,46.739815,2.775999,113.52613095884462,-0.4247289125797967,226369502104.236
