,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1992-01-01,1.08120894,4.23,14.36463306,405.9123337091319,34630430000.0
1993-01-01,1.1325104,4.23,15.0462096,409.1066065388952,36922456000.0
1994-01-01,1.17841066,4.396,15.65602734,412.3008793686584,39690630000.0
1995-01-01,1.21849924,4.396,16.18863276,415.4951521984216,42647331000.0
1996-01-01,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0
1997-01-01,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0
1998-01-01,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0
1999-01-01,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0
2000-01-01,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0
2001-01-01,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0
2002-01-01,1.390536,5.358,21.784464,429.0045997745208,71623500000.0
2003-01-01,1.436238,5.358,22.500762,427.7736414881623,74827400000.0
2004-01-01,1.448112,5.357425,22.686888,426.54268320180387,80322313000.0
2005-01-01,1.497708,5.402,23.4645763,425.3117249154453,83914521300.0
2006-01-01,1.496784,5.493,22.340216,424.0807666290868,87276164400.0
2007-01-01,1.478184,5.515,20.826816,422.8498083427283,89524131600.0
2008-01-01,1.392816,5.457,19.528184,421.6188500563698,93639300000.0
2009-01-01,1.37931,5.841,19.33049,420.38789177001127,96385600000.0
2010-01-01,1.39464,6.033,19.50116,419.1569334836528,98381300000.0
2011-01-01,1.335444,6.034,18.682356,414.1831567080045,100351700000.0
2012-01-01,1.338354,6.2,19.864646,409.2093799323563,101564800000.0
2013-01-01,1.289592,6.23,19.207408,404.235603156708,102450000000.0
2014-01-01,1.264008,6.235,19.151992,399.26182638105973,102445800000.0
2015-01-01,1.25466,6.369,19.160401,394.2880496054115,103375500000.0
2016-01-01,1.238646,6.406,19.72322,389.1973844419391,104336700000.0
2017-01-01,0.982284,6.437,15.708716,384.1067192784667,103445526000.0
2018-01-01,0.523581,5.974,16.465048,379.01605411499435,100925000000.0
2019-01-01,1.133178,6.3476,16.133822,373.925388951522,104914600000.0
2020-01-01,1.12644,6.3986,16.02256,368.8347237880496,103138300000.0
2021-01-01,1.12644,6.5286,17.12121736,367.7548478015784,103138300000.0
