,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.124,0.0,0.12,2.712563627090669,2540697688.05698,0.11,0.0,0.115,2.7881951958249047,2116003977.97529,0.083,0.0,0.112,2.868165241290898,1769365425.04053,0.113,0.0,0.11,2.9528580906722035,2684323424.06801,0.092,0.0,0.108,2.9528580906722035,2933222714.11506,0.121,0.0,0.12,2.6409268071031033,2322718991.26458
1998-01-01,0.121,0.0,0.12,2.6409268071031033,2322718991.26458,0.124,0.0,0.12,2.712563627090669,2540697688.05698,0.11,0.0,0.115,2.7881951958249047,2116003977.97529,0.083,0.0,0.112,2.868165241290898,1769365425.04053,0.113,0.0,0.11,2.9528580906722035,2684323424.06801,0.143,0.0,0.126,2.5729763840366475,1949481296.60762
1999-01-01,0.143,0.0,0.126,2.5729763840366475,1949481296.60762,0.121,0.0,0.12,2.6409268071031033,2322718991.26458,0.124,0.0,0.12,2.712563627090669,2540697688.05698,0.11,0.0,0.115,2.7881951958249047,2116003977.97529,0.083,0.0,0.112,2.868165241290898,1769365425.04053,0.091,0.0,0.2,2.5084349452855284,2353909563.94122
2000-01-01,0.091,0.0,0.2,2.5084349452855284,2353909563.94122,0.143,0.0,0.126,2.5729763840366475,1949481296.60762,0.121,0.0,0.12,2.6409268071031033,2322718991.26458,0.124,0.0,0.12,2.712563627090669,2540697688.05698,0.11,0.0,0.115,2.7881951958249047,2116003977.97529,0.259,0.0,0.26,2.4470522319694177,3227927593.04316
2001-01-01,0.259,0.0,0.26,2.4470522319694177,3227927593.04316,0.091,0.0,0.2,2.5084349452855284,2353909563.94122,0.143,0.0,0.126,2.5729763840366475,1949481296.60762,0.121,0.0,0.12,2.6409268071031033,2322718991.26458,0.124,0.0,0.12,2.712563627090669,2540697688.05698,0.294,0.0,0.25,4.160311164858023,2796704577.3082
2002-01-01,0.294,0.0,0.25,4.160311164858023,2796704577.3082,0.259,0.0,0.26,2.4470522319694177,3227927593.04316,0.091,0.0,0.2,2.5084349452855284,2353909563.94122,0.143,0.0,0.126,2.5729763840366475,1949481296.60762,0.121,0.0,0.12,2.6409268071031033,2322718991.26458,0.378,0.0,0.4,3.994142412145216,3034251042.07329
2003-01-01,0.378,0.0,0.4,3.994142412145216,3034251042.07329,0.294,0.0,0.25,4.160311164858023,2796704577.3082,0.259,0.0,0.26,2.4470522319694177,3227927593.04316,0.091,0.0,0.2,2.5084349452855284,2353909563.94122,0.143,0.0,0.126,2.5729763840366475,1949481296.60762,0.367,0.0,0.359,3.840737871865718,3503723244.83607
2004-01-01,0.367,0.0,0.359,3.840737871865718,3503723244.83607,0.378,0.0,0.4,3.994142412145216,3034251042.07329,0.294,0.0,0.25,4.160311164858023,2796704577.3082,0.259,0.0,0.26,2.4470522319694177,3227927593.04316,0.091,0.0,0.2,2.5084349452855284,2353909563.94122,0.431,0.0,0.404,3.6986812214344846,4656975222.72243
2005-01-01,0.431,0.0,0.404,3.6986812214344846,4656975222.72243,0.367,0.0,0.359,3.840737871865718,3503723244.83607,0.378,0.0,0.4,3.994142412145216,3034251042.07329,0.294,0.0,0.25,4.160311164858023,2796704577.3082,0.259,0.0,0.26,2.4470522319694177,3227927593.04316,0.426,0.0,0.418,3.566758205474621,6647357442.08986
2006-01-01,0.426,0.0,0.418,3.566758205474621,6647357442.08986,0.431,0.0,0.404,3.6986812214344846,4656975222.72243,0.367,0.0,0.359,3.840737871865718,3503723244.83607,0.378,0.0,0.4,3.994142412145216,3034251042.07329,0.294,0.0,0.25,4.160311164858023,2796704577.3082,0.393,0.0,0.411,3.4439218406336867,8065134528.26894
