,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,84.093,43.952,27.15,211.744,864.351,-16.802,8.642615480585665,-0.0785570319761798,2.7808760820490184,460290556900.726
1993-01-01,87.713,43.4,24.681,213.216,807.823,-18.719,8.635826098379003,-0.0785570319761798,2.7375609508404257,435083713850.837
1994-01-01,85.446,44.1,23.7,214.7,701.881,-20.4,8.62903671617234,-0.0786187925661953,2.6955094280815928,395077301248.464
1995-01-01,83.475,37.982,18.38,208.648,712.081,-19.602,8.62224733396568,-0.0786806503434786,2.6546670148763463,395537185734.854
1996-01-01,84.456,31.75,12.3,207.348,700.221,-19.45,8.615457951759018,-0.078742605537613,2.6149823019297953,391724890744.498
1997-01-01,84.389,26.8,7.1,205.448,689.786,-19.7,8.608668569552355,-0.0788046583789055,2.576406753666932,404928954191.876
1998-01-01,93.232,26.3,8.3,203.448,675.259,-18.0,8.601879187345693,-0.0788668090983899,2.5388945102030336,270955486862.442
1999-01-01,96.168,22.521,8.35,203.248,688.434,-14.171,8.59508980513903,-0.0789290579278289,2.5024022054670287,195907128350.934
2000-01-01,101.641,22.85,8.8,205.71583,717.253,-14.05,8.588300422932369,-0.0789914050997181,2.466888799961296,259710142196.943
2001-01-01,105.49,25.74,9.8,207.60513,721.016,-15.94,8.567232526010569,-0.2453092682406087,2.428296680100049,306602070620.5
2002-01-01,107.576,18.097,10.0,215.36613,730.411,-8.097,8.546164629088768,-0.2459125144302696,2.390711877448198,345470494417.863
2003-01-01,110.503,21.619,8.24,216.51123,744.126,-13.379,8.525096732166968,-0.2465187348496802,2.354095461154375,430347770731.787
2004-01-01,112.591,19.8,12.179,218.1329,765.242,-7.621,8.504028835245167,-0.2471279515492994,2.3184104809871156,591016690742.798
2005-01-01,112.587,22.52,10.139,219.33423,776.05376,-12.381,8.482960938323366,-0.247740186798098,2.2836218429608808,764017107992.391
2006-01-01,107.589,20.927,5.115,221.87423,818.24968,-15.812,8.461893041401567,-0.2483554630862712,2.249696194217995,989930542278.695
2007-01-01,104.855,18.468,5.67,224.43873,842.49394,-12.798,8.440825144479765,-0.2489738031279932,2.21660181637269,1299705764823.62
2008-01-01,109.24,20.738,3.105,224.05545,857.29781,-17.633,8.419757247557966,-0.2495952298642123,2.184308526600353,1660846387624.78
2009-01-01,106.792,17.923,3.0659,225.37905,817.8665,-14.8571,8.398689350636165,-0.2502197664654875,2.152787585823627,1222644282201.86
2010-01-01,104.933,19.091,1.644,223.72805,860.18224,-17.447,8.377621453714365,-0.2508474363348693,2.122011613408328,1524917468442.01
2011-01-01,105.002,24.111,1.558,224.55305,870.92041,-22.553,8.39429907472359,0.1990734613800186,2.0996328279834495,2045925608274.37
2012-01-01,106.667,19.143,2.661,231.32815,890.80348,-16.482,8.410976695732813,0.19867794631529,2.0778071225550026,2208295773643.15
2013-01-01,106.994,18.382,4.706,238.94815,882.92126,-13.676,8.427654316742037,0.1982839997367413,2.0565142437734925,2292473246621.08
2014-01-01,106.567,14.671,6.623,259.511,892.8323,-8.048,8.444331937751262,0.1978916123326645,2.035734915246361,2059241965490.83
2015-01-01,106.553,18.244,6.586,257.54032,891.82394,-11.658,8.461009558760486,0.1975007748649148,2.015450779333279,1363481063446.77
2016-01-01,107.247,17.694,3.194,264.97502,911.41306,-14.5,8.472109413353724,0.1311882998849181,1.9958089825019352,1276786979221.81
2017-01-01,105.261,17.006,6.41,267.1892,920.425948,-10.596,8.483209267946963,0.1310164216687608,1.9765962563870172,1574199387070.9
2018-01-01,103.119,17.779,5.177,268.008255,931.11845,-12.602,8.4943091225402,0.1308449932406842,1.9577986934593328,1657328865709.99
2019-01-01,99.077,20.049,1.618,273.0115,945.36056,-18.431,8.505408977133438,0.1306740128374197,1.9394029808140665,1687448525466.61
2020-01-01,95.572,12.274,3.608,276.4574175,940.046104,-8.666,8.516508831726677,0.1305034787049036,1.9213963687274849,1483497784867.6
2021-01-01,95.572,21.77,4.095,282.6114175,996.4429162,-17.675,8.490072926795632,-0.3104077674711366,1.8995214135941865,1483497784867.6
