,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.01218,0.003,0.012,1.0564729126794434,2029026704.02707
1993-01-01,0.01099,0.003,0.012,1.0564729126794434,1971525998.87685
1994-01-01,0.0112,0.003,0.014,1.0454282464343772,753636370.454545
1995-01-01,0.01134,0.005,0.014,1.0346121191002695,1293535010.94467
1996-01-01,0.01008,0.003,0.02,1.024017509841738,1382334879.40812
1997-01-01,0.01148,0.003,0.02,1.01363768248672,1851558301.7002
1998-01-01,0.01148,0.001,0.07,1.0034661712439723,1989343495.21844
1999-01-01,0.00917,0.001,0.06,0.9934967672720072,2155659412.6104
2000-01-01,0.052,0.001,0.094,0.9837235060405992,2067528500.40621
2001-01-01,0.054,0.001,0.122,2.7115227899815917,1965444514.89971
2002-01-01,0.06,0.008,0.136,2.639940209557551,1964779920.78511
2003-01-01,0.06,0.003,0.121,2.572039894185086,2137093489.31936
2004-01-01,0.052,0.002,0.116,2.507544840522294,2375281626.60252
2005-01-01,0.056,0.002,0.089,2.4462051495072146,2932213574.70995
2006-01-01,0.066,0.002,0.064,2.387794790385148,3317951468.37027
2007-01-01,0.066,0.002,0.084,2.332108817533979,4068065928.6413
2008-01-01,0.074,0.002,0.084,2.278960967854468,5177015141.48246
2009-01-01,0.075,0.003,0.062,2.2281815793677726,5671332137.79866
2010-01-01,0.074,0.003,0.08,2.17961578201197,6121234528.98826
2011-01-01,0.086,0.005,0.078,2.587882411062685,6881038269.61727
2012-01-01,0.098,0.003,0.091,2.522600477016589,7650300319.83
2013-01-01,0.094,0.0,0.094,2.460531107560153,7815599502.65683
2014-01-01,0.103,0.004,0.089,2.4014428589845394,8241332516.54991
2015-01-01,0.124,0.002,0.082,2.3451259981673593,8539048447.78065
2016-01-01,0.152,0.0044,0.078,2.5825101677331306,8690485823.14546
2017-01-01,0.129604,0.0041,0.07,2.5174955881957426,9253098954.27769
2018-01-01,0.152945,0.004,0.094,2.455674101041571,9640280084.19572
2019-01-01,0.167125,0.0045,0.034,2.39681610861276,10355974217.3735
2020-01-01,0.18388,0.00622,0.028,2.340713510145126,10333991455.5443
2021-01-01,0.1923,0.00622,0.036046764,2.397378073112546,10333991455.5443
