,Electricity: Distribution Losses,Electricity: Net Consumption,Economics: GDP
1992-01-01,0.00553,0.07347,242137037.037037
1993-01-01,0.00455,0.06045,263755555.555556
1994-01-01,0.0049,0.0651,295159259.259259
1995-01-01,0.00532,0.07068,313485185.185185
1996-01-01,0.00539,0.07161,333944444.444444
1997-01-01,0.00595,0.07905,374641307.974641
1998-01-01,0.00609,0.08091,383257331.40548
1999-01-01,0.00644,0.08556,406595484.373262
2000-01-01,0.024,0.07,421695769.843918
2001-01-01,0.026,0.068,458643829.014199
2002-01-01,0.028,0.075,481077373.669966
2003-01-01,0.029,0.09,469869869.86987
2004-01-01,0.029,0.093,506900000.0
2005-01-01,0.032,0.093,547203703.703704
2006-01-01,0.032,0.095,644411111.111111
2007-01-01,0.035,0.122,689285185.185185
2008-01-01,0.034,0.133,751233333.333333
2009-01-01,0.0382,0.1348,747862962.962963
2010-01-01,0.0385,0.1405,760170370.37037
2011-01-01,0.0396,0.1494,817759259.259259
2012-01-01,0.0388,0.1612,800414814.814815
2013-01-01,0.039,0.167,839770370.37037
2014-01-01,0.039,0.16734,916566666.666667
2015-01-01,0.0313,0.171374,923155555.555555
2016-01-01,0.036,0.175886,1008888888.88889
2017-01-01,0.045,0.16774,1060740740.74074
2018-01-01,0.04,0.17374,1078518518.51852
2019-01-01,0.04,0.17374,1164814814.81481
2020-01-01,0.04,0.163241562,980740740.740741
2021-01-01,0.04,0.175865022,980740740.740741
