,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Density_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Density_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Density_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Density_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Density_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Economics: GDP
1997-01-01,0.00511,0.016,291.21491002570696,331488888.888889,0.00483,0.014,290.87403598971724,316007407.407407,0.00427,0.014,290.5331619537275,289437037.037037,0.0042,0.014,290.1922879177378,286307407.407407,0.00385,0.014,289.85141388174804,277955555.555556,0.00532,0.016,291.55578406169667,347770370.37037
1998-01-01,0.00532,0.016,291.55578406169667,347770370.37037,0.00511,0.016,291.21491002570696,331488888.888889,0.00483,0.014,290.87403598971724,316007407.407407,0.00427,0.014,290.5331619537275,289437037.037037,0.0042,0.014,290.1922879177378,286307407.407407,0.00567,0.016,291.8966580976864,373618518.518519
1999-01-01,0.00567,0.016,291.8966580976864,373618518.518519,0.00532,0.016,291.55578406169667,347770370.37037,0.00511,0.016,291.21491002570696,331488888.888889,0.00483,0.014,290.87403598971724,316007407.407407,0.00427,0.014,290.5331619537275,289437037.037037,0.00567,0.0156,292.2375321336761,390718518.518519
2000-01-01,0.00567,0.0156,292.2375321336761,390718518.518519,0.00567,0.016,291.8966580976864,373618518.518519,0.00532,0.016,291.55578406169667,347770370.37037,0.00511,0.016,291.21491002570696,331488888.888889,0.00483,0.014,290.87403598971724,316007407.407407,0.0116,0.0339,292.5784061696658,396262962.962963
2001-01-01,0.0116,0.0339,292.5784061696658,396262962.962963,0.00567,0.0156,292.2375321336761,390718518.518519,0.00567,0.016,291.8966580976864,373618518.518519,0.00532,0.016,291.55578406169667,347770370.37037,0.00511,0.016,291.21491002570696,331488888.888889,0.0103,0.0339,291.4203084832905,430040740.740741
2002-01-01,0.0103,0.0339,291.4203084832905,430040740.740741,0.0116,0.0339,292.5784061696658,396262962.962963,0.00567,0.0156,292.2375321336761,390718518.518519,0.00567,0.016,291.8966580976864,373618518.518519,0.00532,0.016,291.55578406169667,347770370.37037,0.0104,0.0376,290.26221079691516,461885185.185185
2003-01-01,0.0104,0.0376,290.26221079691516,461885185.185185,0.0103,0.0339,291.4203084832905,430040740.740741,0.0116,0.0339,292.5784061696658,396262962.962963,0.00567,0.0156,292.2375321336761,390718518.518519,0.00567,0.016,291.8966580976864,373618518.518519,0.0098,0.0366,289.10411311053986,481807407.407407
2004-01-01,0.0098,0.0366,289.10411311053986,481807407.407407,0.0104,0.0376,290.26221079691516,461885185.185185,0.0103,0.0339,291.4203084832905,430040740.740741,0.0116,0.0339,292.5784061696658,396262962.962963,0.00567,0.0156,292.2375321336761,390718518.518519,0.0104,0.04,287.9460154241645,521974074.074074
2005-01-01,0.0104,0.04,287.9460154241645,521974074.074074,0.0098,0.0366,289.10411311053986,481807407.407407,0.0104,0.0376,290.26221079691516,461885185.185185,0.0103,0.0339,291.4203084832905,430040740.740741,0.0116,0.0339,292.5784061696658,396262962.962963,0.0111,0.0417,286.7879177377892,550729629.62963
2006-01-01,0.0111,0.0417,286.7879177377892,550729629.62963,0.0104,0.04,287.9460154241645,521974074.074074,0.0098,0.0366,289.10411311053986,481807407.407407,0.0104,0.0376,290.26221079691516,461885185.185185,0.0103,0.0339,291.4203084832905,430040740.740741,0.0105,0.0417,285.6298200514139,610929629.62963
2007-01-01,0.0105,0.0417,285.6298200514139,610929629.62963,0.0111,0.0417,286.7879177377892,550729629.62963,0.0104,0.04,287.9460154241645,521974074.074074,0.0098,0.0366,289.10411311053986,481807407.407407,0.0104,0.0376,290.26221079691516,461885185.185185,0.010431,0.0417,284.47172236503854,684444444.444444
2008-01-01,0.010431,0.0417,284.47172236503854,684444444.444444,0.0105,0.0417,285.6298200514139,610929629.62963,0.0111,0.0417,286.7879177377892,550729629.62963,0.0104,0.04,287.9460154241645,521974074.074074,0.0098,0.0366,289.10411311053986,481807407.407407,0.011201,0.0417,283.31362467866325,695429629.62963
2009-01-01,0.011201,0.0417,283.31362467866325,695429629.62963,0.010431,0.0417,284.47172236503854,684444444.444444,0.0105,0.0417,285.6298200514139,610929629.62963,0.0111,0.0417,286.7879177377892,550729629.62963,0.0104,0.04,287.9460154241645,521974074.074074,0.010742,0.041,282.15552699228795,674922222.222222
2010-01-01,0.010742,0.041,282.15552699228795,674922222.222222,0.011201,0.0417,283.31362467866325,695429629.62963,0.010431,0.0417,284.47172236503854,684444444.444444,0.0105,0.0417,285.6298200514139,610929629.62963,0.0111,0.0417,286.7879177377892,550729629.62963,0.009798,0.041,280.9974293059126,681225925.925926
2011-01-01,0.009798,0.041,280.9974293059126,681225925.925926,0.010742,0.041,282.15552699228795,674922222.222222,0.011201,0.0417,283.31362467866325,695429629.62963,0.010431,0.0417,284.47172236503854,684444444.444444,0.0105,0.0417,285.6298200514139,610929629.62963,0.010119,0.0525,279.5444730077121,676129629.62963
2012-01-01,0.010119,0.0525,279.5444730077121,676129629.62963,0.009798,0.041,280.9974293059126,681225925.925926,0.010742,0.041,282.15552699228795,674922222.222222,0.011201,0.0417,283.31362467866325,695429629.62963,0.010431,0.0417,284.47172236503854,684444444.444444,0.009209,0.0526,278.0915167095116,692933333.333333
2013-01-01,0.009209,0.0526,278.0915167095116,692933333.333333,0.010119,0.0525,279.5444730077121,676129629.62963,0.009798,0.041,280.9974293059126,681225925.925926,0.010742,0.041,282.15552699228795,674922222.222222,0.011201,0.0417,283.31362467866325,695429629.62963,0.009559,0.0529,276.63856041131106,721207407.407407
