,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.00406,0.019,0.9233710572020908,132303041.36253
1993-01-01,0.00406,0.019,0.9233710572020908,133122897.196262
1994-01-01,0.00434,0.019,0.9149229237286564,221098106.508876
1995-01-01,0.00462,0.025,0.9066279765383862,224865731.381903
1996-01-01,0.00518,0.025,0.8984820865772908,249908970.658971
1997-01-01,0.00539,0.025,0.8904812718652394,285475591.89651
1998-01-01,0.00616,0.025,0.8826216910054321,269481523.200465
1999-01-01,0.00665,0.0264,0.8748996370344222,258833766.580017
2000-01-01,0.006,0.03,0.8673115315925772,269019710.327456
2001-01-01,0.0061,0.0325,0.5795400199991273,273088357.1637
2002-01-01,0.0085,0.038,0.5762007063105401,288078881.433056
2003-01-01,0.0075,0.0395,0.5728996544551347,338838639.378435
2004-01-01,0.0119,0.0408,0.5696362105730944,420320176.359437
2005-01-01,0.0136,0.04047,0.5664097356187985,465568018.300557
2006-01-01,0.0174,0.04047,0.5632196049434849,505832439.822977
2007-01-01,0.0178,0.04047,0.5600652078921686,570469196.667431
2008-01-01,0.0141,0.0415,0.556945947413953,619260721.579306
2009-01-01,0.0152,0.0415,0.5538612396852143,584706020.213857
2010-01-01,0.0151,0.0415,0.5508105137454672,663155954.963744
2011-01-01,0.0161,0.0415,0.91425577381441,737147951.052999
2012-01-01,0.0154,0.0415,0.9059728645907126,760319276.013529
2013-01-01,0.015,0.0392,0.8978386896942709,770059550.966038
2014-01-01,0.014,0.03875,0.8898492785911291,756805940.214677
2015-01-01,0.0145,0.04005,0.8820008008277804,787958585.894736
2016-01-01,0.015,0.04255,1.115876033423231,799493884.324697
2017-01-01,0.015,0.04955,1.1035616534186827,832025573.983795
2018-01-01,0.01495,0.04955,1.091516100294923,821286927.535723
2019-01-01,0.0173,0.04955,1.0797306662331805,852007112.724637
2020-01-01,0.0157,0.051106,1.0681970154812417,807100820.648132
2021-01-01,0.015503333,0.051106,1.7338283805349677,807100820.648132
