,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993,5.957,0.0,0.0,0.0,3.041753724867934,143343036341.789,5.856,0.0,0.0,0.0,3.137178983452886,135174886488.652,6.751,0.0,0.0,0.0,3.2387854808781404,132967901415.22,6.19,0.0,0.0,0.0,3.2387854808781404,137087876662.216,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88
1998-01-01,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993,5.957,0.0,0.0,0.0,3.041753724867934,143343036341.789,5.856,0.0,0.0,0.0,3.137178983452886,135174886488.652,6.751,0.0,0.0,0.0,3.2387854808781404,132967901415.22,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0
1999-01-01,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993,5.957,0.0,0.0,0.0,3.041753724867934,143343036341.789,5.856,0.0,0.0,0.0,3.137178983452886,135174886488.652,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0
2000-01-01,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993,5.957,0.0,0.0,0.0,3.041753724867934,143343036341.789,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333
2001-01-01,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333
2002-01-01,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0
2003-01-01,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0,7.002,0.0,0.0,0.0,3.4015734001488447,215807655253.333
2004-01-01,7.002,0.0,0.0,0.0,3.4015734001488447,215807655253.333,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0,12.927,0.0,0.0,0.0,3.289672766375878,258742263040.0
2005-01-01,12.927,0.0,0.0,0.0,3.289672766375878,258742263040.0,7.002,0.0,0.0,0.0,3.4015734001488447,215807655253.333,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333,18.579,0.0,0.0,0.0,3.184899979126236,328459700114.755
2006-01-01,18.579,0.0,0.0,0.0,3.184899979126236,328459700114.755,12.927,0.0,0.0,0.0,3.289672766375878,258742263040.0,7.002,0.0,0.0,0.0,3.4015734001488447,215807655253.333,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333,13.798,0.0,0.0,0.0,3.086595015133536,376900135727.637
