,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.178,0.0,0.231,2.720676276932424,7769817869.31065
1993-01-01,0.178,0.0,0.231,2.720676276932424,7367985694.79161
1994-01-01,0.139,0.0,0.231,2.648616009495069,5034588159.28612
1995-01-01,0.182,0.0,0.231,2.5802744473925094,6326342962.93447
1996-01-01,0.222,0.0,0.235,2.515370972921098,6559712550.65952
1997-01-01,0.218,0.0,0.235,2.45365250991046,6041478436.08043
1998-01-01,0.212,0.0,0.235,2.394890225776125,6505607633.36937
1999-01-01,0.266,0.0,0.27,2.338876696381508,6592835457.6876
2000-01-01,0.599,0.0,0.292,2.2854234596696585,6013184809.23898
2001-01-01,0.642,0.0,0.3121,2.911943968681062,6507824767.06303
2002-01-01,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463
2003-01-01,0.804,0.0,0.4674,2.7516887022754655,8768721956.33228
2004-01-01,0.747,0.0,0.5026,2.6779985195654956,10076817278.1025
2005-01-01,0.767,0.0,0.584,2.608152241159237,11009032665.3876
2006-01-01,0.623,0.0,0.563,2.54185674743398,11697918802.7922
2007-01-01,0.505,0.0,0.652,2.478847982726418,13994218939.2431
2008-01-01,0.85,0.0,0.713,2.4188874402103253,16853991176.9058
2009-01-01,0.485,0.239,0.714,2.361759144886659,16145868284.5645
2010-01-01,0.504,0.253,0.78,2.3072670542362768,16121314670.9653
2011-01-01,0.495,0.257,0.923,2.9146725717971917,17814284622.1718
2012-01-01,0.562,0.29,0.951,2.8321253898600367,17660871725.9977
2013-01-01,0.593,0.308,0.909,2.7541251132589197,18918668644.1941
2014-01-01,0.599,0.318,0.932,2.6803061290466283,19797254643.1212
2015-01-01,0.631,0.333,0.943,2.6103409992545905,17774766636.0459
2016-01-01,0.67,0.36,0.982,2.8976201957888357,19040312815.1337
2017-01-01,0.671516,0.333,1.09093,2.8160225574463023,20996564751.5994
2018-01-01,0.671849,0.322,1.24929,2.738894665831798,23116699808.1723
2019-01-01,0.672,0.323,1.32729,2.665879046820881,23306213742.3602
2020-01-01,0.672,0.356,1.43729,2.596655355773172,24644234594.6566
2021-01-01,0.672,0.356,1.50429,2.6780348815921813,24644234594.6566
