,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.222,0.0,0.235,2.515370972921098,6559712550.65952,0.182,0.0,0.231,2.5802744473925094,6326342962.93447,0.139,0.0,0.231,2.648616009495069,5034588159.28612,0.178,0.0,0.231,2.720676276932424,7367985694.79161,0.178,0.0,0.231,2.720676276932424,7769817869.31065,0.218,0.0,0.235,2.45365250991046,6041478436.08043
1998-01-01,0.218,0.0,0.235,2.45365250991046,6041478436.08043,0.222,0.0,0.235,2.515370972921098,6559712550.65952,0.182,0.0,0.231,2.5802744473925094,6326342962.93447,0.139,0.0,0.231,2.648616009495069,5034588159.28612,0.178,0.0,0.231,2.720676276932424,7367985694.79161,0.212,0.0,0.235,2.394890225776125,6505607633.36937
1999-01-01,0.212,0.0,0.235,2.394890225776125,6505607633.36937,0.218,0.0,0.235,2.45365250991046,6041478436.08043,0.222,0.0,0.235,2.515370972921098,6559712550.65952,0.182,0.0,0.231,2.5802744473925094,6326342962.93447,0.139,0.0,0.231,2.648616009495069,5034588159.28612,0.266,0.0,0.27,2.338876696381508,6592835457.6876
2000-01-01,0.266,0.0,0.27,2.338876696381508,6592835457.6876,0.212,0.0,0.235,2.394890225776125,6505607633.36937,0.218,0.0,0.235,2.45365250991046,6041478436.08043,0.222,0.0,0.235,2.515370972921098,6559712550.65952,0.182,0.0,0.231,2.5802744473925094,6326342962.93447,0.599,0.0,0.292,2.2854234596696585,6013184809.23898
2001-01-01,0.599,0.0,0.292,2.2854234596696585,6013184809.23898,0.266,0.0,0.27,2.338876696381508,6592835457.6876,0.212,0.0,0.235,2.394890225776125,6505607633.36937,0.218,0.0,0.235,2.45365250991046,6041478436.08043,0.222,0.0,0.235,2.515370972921098,6559712550.65952,0.642,0.0,0.3121,2.911943968681062,6507824767.06303
2002-01-01,0.642,0.0,0.3121,2.911943968681062,6507824767.06303,0.599,0.0,0.292,2.2854234596696585,6013184809.23898,0.266,0.0,0.27,2.338876696381508,6592835457.6876,0.212,0.0,0.235,2.394890225776125,6505607633.36937,0.218,0.0,0.235,2.45365250991046,6041478436.08043,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463
2003-01-01,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463,0.642,0.0,0.3121,2.911943968681062,6507824767.06303,0.599,0.0,0.292,2.2854234596696585,6013184809.23898,0.266,0.0,0.27,2.338876696381508,6592835457.6876,0.212,0.0,0.235,2.394890225776125,6505607633.36937,0.804,0.0,0.4674,2.7516887022754655,8768721956.33228
2004-01-01,0.804,0.0,0.4674,2.7516887022754655,8768721956.33228,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463,0.642,0.0,0.3121,2.911943968681062,6507824767.06303,0.599,0.0,0.292,2.2854234596696585,6013184809.23898,0.266,0.0,0.27,2.338876696381508,6592835457.6876,0.747,0.0,0.5026,2.6779985195654956,10076817278.1025
2005-01-01,0.747,0.0,0.5026,2.6779985195654956,10076817278.1025,0.804,0.0,0.4674,2.7516887022754655,8768721956.33228,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463,0.642,0.0,0.3121,2.911943968681062,6507824767.06303,0.599,0.0,0.292,2.2854234596696585,6013184809.23898,0.767,0.0,0.584,2.608152241159237,11009032665.3876
2006-01-01,0.767,0.0,0.584,2.608152241159237,11009032665.3876,0.747,0.0,0.5026,2.6779985195654956,10076817278.1025,0.804,0.0,0.4674,2.7516887022754655,8768721956.33228,0.529,0.0,0.4983,2.8295490847663385,7006402592.45463,0.642,0.0,0.3121,2.911943968681062,6507824767.06303,0.623,0.0,0.563,2.54185674743398,11697918802.7922
