,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.01512,0.126,0.20088,0.216,61.013713409534425,0.5909794006740311,679997997.597117
1993-01-01,0.01533,0.126,0.20367,0.219,61.374291887371065,0.5909794006740311,768812334.801762
1994-01-01,0.01561,0.126,0.20739,0.223,61.73487036520769,0.5875073532389226,911915970.683484
1995-01-01,0.0063,0.084,0.0837,0.09,62.09544884304432,0.5840758645860071,870758739.40678
1996-01-01,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895
1997-01-01,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007
1998-01-01,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148
1999-01-01,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263
2000-01-01,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748
2001-01-01,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773
2002-01-01,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311
2003-01-01,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217
2004-01-01,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143
2005-01-01,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875
2006-01-01,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278
2007-01-01,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796
2008-01-01,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338
2009-01-01,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317
2010-01-01,0.0,0.0805,0.163,0.163,89.72258154446612,2.963529221107295,2578026297.15912
2011-01-01,0.0,0.0805,0.172,0.172,92.17051853916922,2.728339903472246,2942546781.04548
2012-01-01,0.0,0.0805,0.173,0.173,94.61845553387232,2.6558785102883062,3801862611.36414
2013-01-01,0.0,0.080884,0.16,0.16,97.0663925285754,2.5871665108999387,4920343194.99339
2014-01-01,0.0,0.116895,0.181844,0.181844,99.5143295232785,2.521920235144667,5015157815.73406
2015-01-01,0.0,0.16827,0.196022,0.196022,101.9622665179816,2.459883924686917,4218723875.1379
2016-01-01,0.0,0.168654,0.209584,0.209584,104.52484248675772,2.5132591264281228,3674794530.18956
2017-01-01,0.09,0.17597,0.128866,0.218866,107.08741845553388,2.451642985351345,3719369107.34992
2018-01-01,0.072,0.174411,0.182672,0.254672,109.64999442431,2.3929757629185815,4085114794.22324
2019-01-01,0.077,0.176381,0.130708,0.207708,112.21257039308614,2.3370507059579033,4076578542.56207
2020-01-01,0.077,0.180381,0.12981017,0.20681017,114.77514636186228,2.283679947620226,4063289449.58795
2021-01-01,0.077,0.180381,0.130889733,0.207889733,117.36609283523836,2.257410733511384,4063289449.58795
