,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895,0.0063,0.084,0.0837,0.09,62.09544884304432,0.5840758645860071,870758739.40678,0.01561,0.126,0.20739,0.223,61.73487036520769,0.5875073532389226,911915970.683484,0.01533,0.126,0.20367,0.219,61.374291887371065,0.5909794006740311,768812334.801762,0.01512,0.126,0.20088,0.216,61.013713409534425,0.5909794006740311,679997997.597117,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007
1998-01-01,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895,0.0063,0.084,0.0837,0.09,62.09544884304432,0.5840758645860071,870758739.40678,0.01561,0.126,0.20739,0.223,61.73487036520769,0.5875073532389226,911915970.683484,0.01533,0.126,0.20367,0.219,61.374291887371065,0.5909794006740311,768812334.801762,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148
1999-01-01,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895,0.0063,0.084,0.0837,0.09,62.09544884304432,0.5840758645860071,870758739.40678,0.01561,0.126,0.20739,0.223,61.73487036520769,0.5875073532389226,911915970.683484,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263
2000-01-01,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895,0.0063,0.084,0.0837,0.09,62.09544884304432,0.5840758645860071,870758739.40678,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748
2001-01-01,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007,0.00945,0.068,0.12555,0.135,62.45602732088096,0.5806842281598678,941742152.709895,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773
2002-01-01,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148,0.0063,0.068,0.0837,0.09,62.81660579871759,0.5773317537218254,850218033.622007,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311
2003-01-01,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263,0.00721,0.059,0.09579,0.103,63.17718427655423,0.5740177668816336,672375927.347148,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217
2004-01-01,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748,0.00476,0.059,0.06324,0.068,63.53776275439085,0.5707416086450046,669384768.87263,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143
2005-01-01,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773,0.0,0.055,0.089,0.089,63.89834123222749,0.5675026349770543,635874002.198748,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875
2006-01-01,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311,0.0,0.0334,0.131,0.131,66.48076526345135,4.04145707294417,1090467712.30773,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278
2007-01-01,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217,0.0,0.0415,0.148,0.148,69.06318929467521,3.884467967524424,1253340519.53311,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796
2008-01-01,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143,0.0,0.0415,0.135,0.135,71.64561332589908,3.739219195634459,1385810072.19217,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338
2009-01-01,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875,0.0,0.0405,0.112,0.112,74.22803735712294,3.6044412370050223,1448536630.88143,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317
2010-01-01,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278,0.0,0.0405,0.078,0.078,76.81046138834681,3.4790412399015804,1650494366.99875,0.0,0.0805,0.163,0.163,89.72258154446612,2.963529221107295,2578026297.15912
2011-01-01,0.0,0.0805,0.163,0.163,89.72258154446612,2.963529221107295,2578026297.15912,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796,0.0,0.0462,0.039,0.039,79.39288541957066,3.3620733224962085,1885112201.85278,0.0,0.0805,0.172,0.172,92.17051853916922,2.728339903472246,2942546781.04548
2012-01-01,0.0,0.0805,0.172,0.172,92.17051853916922,2.728339903472246,2942546781.04548,0.0,0.0805,0.163,0.163,89.72258154446612,2.963529221107295,2578026297.15912,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338,0.0,0.0305,0.057,0.057,81.97530945079454,3.252714670308851,2158496872.85796,0.0,0.0805,0.173,0.173,94.61845553387232,2.6558785102883062,3801862611.36414
2013-01-01,0.0,0.0805,0.173,0.173,94.61845553387232,2.6558785102883062,3801862611.36414,0.0,0.0805,0.172,0.172,92.17051853916922,2.728339903472246,2942546781.04548,0.0,0.0805,0.163,0.163,89.72258154446612,2.963529221107295,2578026297.15912,0.0,0.0305,0.06,0.06,87.14015751324227,3.0540364847563426,2453899846.88317,0.0,0.0305,0.058,0.058,84.55773348201839,3.1502461515853772,2505458705.03338,0.0,0.080884,0.16,0.16,97.0663925285754,2.5871665108999387,4920343194.99339
