,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Economics: GDP
1997-01-01,0.928,0.0,5.255,96295886524.8227,0.853,0.0,4.678,87810991957.1046,0.782,0.091,4.553,73690847191.3055,0.686,0.052,4.513,60603478153.2368,0.756,0.0,4.1,52130263965.6231,0.974,0.0,5.765,100124191810.345
1998-01-01,0.974,0.0,5.765,100124191810.345,0.928,0.0,5.255,96295886524.8227,0.853,0.0,4.678,87810991957.1046,0.782,0.091,4.553,73690847191.3055,0.686,0.052,4.513,60603478153.2368,1.019,0.0,5.521,85728310229.4455
1999-01-01,1.019,0.0,5.521,85728310229.4455,0.974,0.0,5.765,100124191810.345,0.928,0.0,5.255,96295886524.8227,0.853,0.0,4.678,87810991957.1046,0.782,0.091,4.553,73690847191.3055,0.976,0.0,6.73,86284660766.9617
2000-01-01,0.976,0.0,6.73,86284660766.9617,1.019,0.0,5.521,85728310229.4455,0.974,0.0,5.765,100124191810.345,0.928,0.0,5.255,96295886524.8227,0.853,0.0,4.678,87810991957.1046,1.152,0.0,6.73,96074477958.2367
2001-01-01,1.152,0.0,6.73,96074477958.2367,0.976,0.0,6.73,86284660766.9617,1.019,0.0,5.521,85728310229.4455,0.974,0.0,5.765,100124191810.345,0.928,0.0,5.255,96295886524.8227,1.987,0.0,7.642,89794943349.8912
2002-01-01,1.987,0.0,7.642,89794943349.8912,1.152,0.0,6.73,96074477958.2367,0.976,0.0,6.73,86284660766.9617,1.019,0.0,5.521,85728310229.4455,0.974,0.0,5.765,100124191810.345,2.274,0.0,8.968,92537752708.5893
2003-01-01,2.274,0.0,8.968,92537752708.5893,1.987,0.0,7.642,89794943349.8912,1.152,0.0,6.73,96074477958.2367,0.976,0.0,6.73,86284660766.9617,1.019,0.0,5.521,85728310229.4455,1.946,0.0,8.968,97645448283.7791
2004-01-01,1.946,0.0,8.968,97645448283.7791,2.274,0.0,8.968,92537752708.5893,1.987,0.0,7.642,89794943349.8912,1.152,0.0,6.73,96074477958.2367,0.976,0.0,6.73,86284660766.9617,2.168,0.0,8.968,115035498757.543
2005-01-01,2.168,0.0,8.968,115035498757.543,1.946,0.0,8.968,97645448283.7791,2.274,0.0,8.968,92537752708.5893,1.987,0.0,7.642,89794943349.8912,1.152,0.0,6.73,96074477958.2367,1.194,0.0,9.8598,127807618360.971
2006-01-01,1.194,0.0,9.8598,127807618360.971,2.168,0.0,8.968,115035498757.543,1.946,0.0,8.968,97645448283.7791,2.274,0.0,8.968,92537752708.5893,1.987,0.0,7.642,89794943349.8912,1.062,0.0,9.6448,148630373214.173
2007-01-01,1.062,0.0,9.6448,148630373214.173,1.194,0.0,9.8598,127807618360.971,2.168,0.0,8.968,115035498757.543,1.946,0.0,8.968,97645448283.7791,2.274,0.0,8.968,92537752708.5893,1.182,0.0,10.1698,180941941477.009
2008-01-01,1.182,0.0,10.1698,180941941477.009,1.062,0.0,9.6448,148630373214.173,1.194,0.0,9.8598,127807618360.971,2.168,0.0,8.968,115035498757.543,1.946,0.0,8.968,97645448283.7791,1.061,0.0,10.5118,193611986712.842
2009-01-01,1.061,0.0,10.5118,193611986712.842,1.182,0.0,10.1698,180941941477.009,1.062,0.0,9.6448,148630373214.173,1.194,0.0,9.8598,127807618360.971,2.168,0.0,8.968,115035498757.543,1.327,0.0,10.4888,194152286008.938
2010-01-01,1.327,0.0,10.4888,194152286008.938,1.061,0.0,10.5118,193611986712.842,1.182,0.0,10.1698,180941941477.009,1.062,0.0,9.6448,148630373214.173,1.194,0.0,9.8598,127807618360.971,2.279,0.0,10.4122,239809387605.427
2011-01-01,2.279,0.0,10.4122,239809387605.427,1.327,0.0,10.4888,194152286008.938,1.061,0.0,10.5118,193611986712.842,1.182,0.0,10.1698,180941941477.009,1.062,0.0,9.6448,148630373214.173,1.168,0.0,10.3192,279351168707.267
2012-01-01,1.168,0.0,10.3192,279351168707.267,2.279,0.0,10.4122,239809387605.427,1.327,0.0,10.4888,194152286008.938,1.061,0.0,10.5118,193611986712.842,1.182,0.0,10.1698,180941941477.009,0.859,0.0,10.4872,295087220933.024
2013-01-01,0.859,0.0,10.4872,295087220933.024,1.168,0.0,10.3192,279351168707.267,2.279,0.0,10.4122,239809387605.427,1.327,0.0,10.4888,194152286008.938,1.061,0.0,10.5118,193611986712.842,1.103,0.0,11.4685,307576360584.992
