,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.662,2.142,2.531,-1.842,-0.0084857281132424,21352224019.4096
1993-01-01,0.667,2.124,2.469,-1.419,-0.0084857281132424,21352224019.4096
1994-01-01,0.536,2.3,2.48,-1.4,-0.0084864482501674,21352224019.4096
1995-01-01,0.689,2.392,2.474,-1.652,-0.0084871685093308,21352224019.4096
1996-01-01,0.726,2.53,2.451,-1.675,-0.0084878888907638,21507232648.7252
1997-01-01,0.687,2.52,2.451,-1.696,-0.0084886093944976,20763101740.6963
1998-01-01,0.762,2.609,2.578,-1.809,-0.0084893300205633,22146231967.6861
1999-01-01,0.669,1.935,2.563,-1.34,-0.008490050768992,22711384311.1404
2000-01-01,0.811,5.552,2.654,-1.252,-0.0084907716398149,20289627636.6767
2001-01-01,0.729,7.461,2.85,-1.787,0.3676135982813397,20876309970.385
2002-01-01,0.737,4.914,3.015,-1.13,0.3662671504303202,23489890274.3142
2003-01-01,0.856,5.811,3.008,0.164,0.3649305297778643,29634713641.0968
2004-01-01,0.874,7.094,3.005,-0.78,0.3636036291277851,34414784504.2352
2005-01-01,0.953,7.558,3.012,-0.324,0.362286342837394,36206395970.6504
2006-01-01,0.863,7.02,3.06,0.051,0.360978566789346,39481045038.2637
2007-01-01,0.867,5.911,3.059,0.229,0.3596801983642656,48006372844.2376
2008-01-01,0.812,7.824,3.048,-1.599,0.3583911364139036,55552509154.8264
2009-01-01,0.893,10.839,3.102,-3.059,0.3571112812348125,50368056404.5568
2010-01-01,0.982,10.745,3.242,-2.120001,0.3558405345427541,48161250405.2468
2011-01-01,0.824,8.407999,3.326,-1.372,0.229195162947687,51516366654.8197
2012-01-01,0.875,8.490999,3.412,-1.039,0.2286710599392451,46580457470.2769
2013-01-01,0.848,8.810999,3.491,-1.289998,0.2281493484060119,48401896808.3064
2014-01-01,0.821,9.996999,3.514,-2.742998,0.2276300120168077,49930685013.4603
2015-01-01,0.864,9.093002,3.42,-0.048002,0.2271130345888813,43090173394.6913
2016-01-01,0.876,9.535,3.595,-1.176001,0.3534977331509752,44736333522.4522
2017-01-01,0.89329,9.648193,3.679053,-0.515661,0.3522525284479447,48469082710.3089
2018-01-01,0.879694,9.4324018,3.85565,-0.5021626,0.3510160654820147,54137142149.4799
2019-01-01,0.858347,9.2596757,3.884075,-0.2384027,0.3497882525205211,54178877605.9999
2020-01-01,0.848755,9.1230559,3.987467,-2.0031072,0.3485689991096849,53589609580.7099
2021-01-01,0.854165,8.6575717,3.952467,-0.2704215,0.0520154265996927,53589609580.7099
