,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
2022-01-01,19.44434321459703,0.37325534194705534,1669476872068.9612
2023-01-01,19.492744379475667,0.37149969653224607,1680701893190.817
2024-01-01,19.893117215860357,0.34697102494644644,1746268436625.6362
2025-01-01,19.683247459830895,0.3776746667375368,1696642911528.9805
2026-01-01,19.36654177426511,0.399838071100904,1629489768458.1357
2027-01-01,19.941413058936444,0.4016777914138231,1729158082187.9739
2028-01-01,19.91543904366867,0.3949631053612741,1732483249726.5044
2029-01-01,20.31891528954846,0.3838678812055391,1793077800889.18
2030-01-01,20.157016677037966,0.39946779015800665,1763368674404.3906
2031-01-01,20.021326593872267,0.4185865083358066,1729915402779.7998
