,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,14.844,4.351,0.641,0.4716634269090434,0.7388188232758048,630916018202.503
1993-01-01,14.848,4.606,1.267,0.4716634269090434,0.7313158864221957,525075636030.854
1994-01-01,15.155,5.12,1.875,0.4694492066931382,0.7240318286101983,530562634455.347
1995-01-01,15.959,7.635,4.488,0.4672556786166625,0.7169572096796388,614609020549.773
1996-01-01,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807
1997-01-01,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273
1998-01-01,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099
1999-01-01,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57
2000-01-01,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072
2001-01-01,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855
2002-01-01,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098
2003-01-01,22.527,9.52,1.263,1.3914141368827833,0.6862306587523544,905492099322.799
2004-01-01,24.07,8.111,-3.028,1.3723194895026634,0.6868001062945096,1067093369754.16
2005-01-01,25.96,10.212,-1.343,1.353741826578971,0.6873552503446424,1153285660987.44
2006-01-01,25.125,9.093,-3.28,1.335660432641241,0.6878966231351582,1259343871534.31
2007-01-01,25.481,8.773,-5.751,1.318055684384735,0.6884247308161724,1472131125102.66
2008-01-01,25.81,5.881,-11.039,1.300908979630033,0.6889400550338899,1625224842536.99
2009-01-01,24.445,6.751,-8.104,1.2842026717565205,0.6894430543957388,1485583495415.39
2010-01-01,27.4,5.206,-8.333,1.2679200091236194,0.6899341658316197,1420722034063.0
2011-01-01,26.027,7.932,-6.090999,-0.0607350578144672,0.6808880234031393,1478772824224.03
2012-01-01,25.675,7.787,-11.199,-0.0607719677041873,0.6720654516612296,1324820091194.67
2013-01-01,26.694,9.886999,-6.751,-0.0608089224829199,0.6634582636251989,1354757433212.72
2014-01-01,26.393,12.31,-3.405999,-0.0608459222326043,0.6550586672281733,1369398844599.58
2015-01-01,26.509,14.956,-0.133,-0.0608829670353796,0.6468592417890962,1195119269971.52
2016-01-01,26.72,21.844999,7.666999,0.4016532625742327,0.642285411598084,1232076017361.53
2017-01-01,23.823,23.762,9.169001,0.4000464629041653,0.6378114957180546,1309297246509.31
2018-01-01,25.596,24.0179999,11.1019999,0.3984524678999771,0.6334342556124604,1420300232663.59
2019-01-01,24.79,18.7208398,6.8623256,0.3968711251076035,0.6291505912102385,1393046093137.25
2020-01-01,25.631,17.928364,3.279584,0.3953022844835973,0.6249575335838596,1281484640043.58
2021-01-01,26.3089219,17.3881669,0.8820084,0.2056665335199934,0.6210408927177733,1281484640043.58
