,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807,15.959,7.635,4.488,0.4672556786166625,0.7169572096796388,614609020549.773,15.155,5.12,1.875,0.4694492066931382,0.7240318286101983,530562634455.347,14.848,4.606,1.267,0.4716634269090434,0.7313158864221957,525075636030.854,14.844,4.351,0.641,0.4716634269090434,0.7388188232758048,630916018202.503,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273
1998-01-01,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807,15.959,7.635,4.488,0.4672556786166625,0.7169572096796388,614609020549.773,15.155,5.12,1.875,0.4694492066931382,0.7240318286101983,530562634455.347,14.848,4.606,1.267,0.4716634269090434,0.7313158864221957,525075636030.854,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099
1999-01-01,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807,15.959,7.635,4.488,0.4672556786166625,0.7169572096796388,614609020549.773,15.155,5.12,1.875,0.4694492066931382,0.7240318286101983,530562634455.347,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57
2000-01-01,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807,15.959,7.635,4.488,0.4672556786166625,0.7169572096796388,614609020549.773,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072
2001-01-01,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273,15.597,6.75,1.06,0.4650825539729684,0.7100831246432183,642588992512.807,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855
2002-01-01,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099,14.098,4.597,-3.073,0.4629295494014976,0.7034011662920865,590077272727.273,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098
2003-01-01,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57,18.448,8.965,3.403,0.4607963867646085,0.6969033908936593,619214834614.099,22.527,9.52,1.263,1.3914141368827833,0.6862306587523544,905492099322.799
2004-01-01,22.527,9.52,1.263,1.3914141368827833,0.6862306587523544,905492099322.799,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072,19.478,11.955,5.715,0.4586827930276078,0.6905822866874091,634693160025.57,24.07,8.111,-3.028,1.3723194895026634,0.6868001062945096,1067093369754.16
2005-01-01,24.07,8.111,-3.028,1.3723194895026634,0.6868001062945096,1067093369754.16,22.527,9.52,1.263,1.3914141368827833,0.6862306587523544,905492099322.799,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855,19.266,12.268,4.441,0.4565885001425296,0.6844307449159444,596877648793.072,25.96,10.212,-1.343,1.353741826578971,0.6873552503446424,1153285660987.44
2006-01-01,25.96,10.212,-1.343,1.353741826578971,0.6873552503446424,1153285660987.44,24.07,8.111,-3.028,1.3723194895026634,0.6868001062945096,1067093369754.16,22.527,9.52,1.263,1.3914141368827833,0.6862306587523544,905492099322.799,19.247,12.504,5.329,1.411047653410508,0.6856463477015059,705394315829.098,17.981,10.177,3.45,1.431243176669501,0.6850465835040153,627286800894.855,25.125,9.093,-3.28,1.335660432641241,0.6878966231351582,1259343871534.31
