,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
2022-01-01,1.232252479915621,4.182031951295366,0.40066461927762675,80568776750.24104
2023-01-01,1.1997074855678265,4.1290519894866025,0.3616254209469386,82471133916.36856
2024-01-01,1.21920873609008,4.2858693565468595,0.3623761933523517,87439491563.65866
2025-01-01,1.240559458852784,4.324860744558965,0.3826350446360538,87838832836.39851
2026-01-01,1.249414539029082,4.157062602153179,0.4264989816476186,83070206252.139
2027-01-01,1.256345280197266,4.102642465492838,0.4463751631622838,81498160409.50293
2028-01-01,1.255732806751603,4.166749423410669,0.43311165787734696,83422528039.36551
2029-01-01,1.247774410829427,4.324834698277513,0.39204109369334667,88167546140.5104
2030-01-01,1.2471040450396185,4.339498743464754,0.38856384909409497,88549300180.71252
2031-01-01,1.2552877128867563,4.1897552975792784,0.428360518062463,84019629302.5636
