,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.339,2.3530534789001525,7034219712.52567
1993-01-01,0.416,2.3530534789001525,8881785938.48085
1994-01-01,0.514,2.2989577730431,12794192334.2541
1995-01-01,0.503,2.247293445690314,13829744878.6366
1996-01-01,0.651,2.197900179024286,9018243044.45155
1997-01-01,0.791,2.1506314466091117,11681494637.3041
1998-01-01,0.612,2.105353061604121,11250327988.0478
1999-01-01,0.37,2.061941904587377,10682045258.3647
2000-01-01,0.315,2.0202848055889273,12257418326.0734
2001-01-01,0.879,2.829470409132776,15716489369.9266
2002-01-01,0.746,2.75161429683049,18136839087.0077
2003-01-01,0.809,2.6779280458617256,21355576672.542
2004-01-01,0.95,2.6080853955931143,26645490675.0417
2005-01-01,0.784,2.541793256874402,35182105414.3919
2006-01-01,1.045,2.4787876007853997,45264519502.6479
2007-01-01,1.177,2.4188299440482477,59440139774.8128
2008-01-01,1.207,2.3617043324647065,64831935604.2484
2009-01-01,1.423,2.3072147419449287,51621044076.9231
2010-01-01,1.448,2.255182831205543,58962978034.4828
2011-01-01,1.737,2.626706460857525,55018567210.5263
2012-01-01,1.794,2.559476525595574,37632919966.6667
2013-01-01,2.365,2.495602173785287,43024018082.1918
2014-01-01,2.502,2.434838296333823,49516748617.9775
2015-01-01,2.87,2.3769630887589996,51726758676.7677
2016-01-01,3.03,3.284838628768547,42630376000.0
2017-01-01,3.14,3.1803686507901476,41283617976.1905
2018-01-01,3.0277,3.0823389103735033,30964349684.7059
2019-01-01,3.250027,2.9901716850386055,26155799324.8663
2020-01-01,3.2,2.903356345674476,21329109521.8077
2021-01-01,3.353928571,2.738176625701168,21329109521.8077
