,Electricity: Distribution Losses_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1997-01-01,0.651,2.197900179024286,9018243044.45155,0.503,2.247293445690314,13829744878.6366,0.514,2.2989577730431,12794192334.2541,0.416,2.3530534789001525,8881785938.48085,0.339,2.3530534789001525,7034219712.52567,0.791,2.1506314466091117,11681494637.3041
1998-01-01,0.791,2.1506314466091117,11681494637.3041,0.651,2.197900179024286,9018243044.45155,0.503,2.247293445690314,13829744878.6366,0.514,2.2989577730431,12794192334.2541,0.416,2.3530534789001525,8881785938.48085,0.612,2.105353061604121,11250327988.0478
1999-01-01,0.612,2.105353061604121,11250327988.0478,0.791,2.1506314466091117,11681494637.3041,0.651,2.197900179024286,9018243044.45155,0.503,2.247293445690314,13829744878.6366,0.514,2.2989577730431,12794192334.2541,0.37,2.061941904587377,10682045258.3647
2000-01-01,0.37,2.061941904587377,10682045258.3647,0.612,2.105353061604121,11250327988.0478,0.791,2.1506314466091117,11681494637.3041,0.651,2.197900179024286,9018243044.45155,0.503,2.247293445690314,13829744878.6366,0.315,2.0202848055889273,12257418326.0734
2001-01-01,0.315,2.0202848055889273,12257418326.0734,0.37,2.061941904587377,10682045258.3647,0.612,2.105353061604121,11250327988.0478,0.791,2.1506314466091117,11681494637.3041,0.651,2.197900179024286,9018243044.45155,0.879,2.829470409132776,15716489369.9266
2002-01-01,0.879,2.829470409132776,15716489369.9266,0.315,2.0202848055889273,12257418326.0734,0.37,2.061941904587377,10682045258.3647,0.612,2.105353061604121,11250327988.0478,0.791,2.1506314466091117,11681494637.3041,0.746,2.75161429683049,18136839087.0077
2003-01-01,0.746,2.75161429683049,18136839087.0077,0.879,2.829470409132776,15716489369.9266,0.315,2.0202848055889273,12257418326.0734,0.37,2.061941904587377,10682045258.3647,0.612,2.105353061604121,11250327988.0478,0.809,2.6779280458617256,21355576672.542
2004-01-01,0.809,2.6779280458617256,21355576672.542,0.746,2.75161429683049,18136839087.0077,0.879,2.829470409132776,15716489369.9266,0.315,2.0202848055889273,12257418326.0734,0.37,2.061941904587377,10682045258.3647,0.95,2.6080853955931143,26645490675.0417
2005-01-01,0.95,2.6080853955931143,26645490675.0417,0.809,2.6779280458617256,21355576672.542,0.746,2.75161429683049,18136839087.0077,0.879,2.829470409132776,15716489369.9266,0.315,2.0202848055889273,12257418326.0734,0.784,2.541793256874402,35182105414.3919
2006-01-01,0.784,2.541793256874402,35182105414.3919,0.95,2.6080853955931143,26645490675.0417,0.809,2.6779280458617256,21355576672.542,0.746,2.75161429683049,18136839087.0077,0.879,2.829470409132776,15716489369.9266,1.045,2.4787876007853997,45264519502.6479
2007-01-01,1.045,2.4787876007853997,45264519502.6479,0.784,2.541793256874402,35182105414.3919,0.95,2.6080853955931143,26645490675.0417,0.809,2.6779280458617256,21355576672.542,0.746,2.75161429683049,18136839087.0077,1.177,2.4188299440482477,59440139774.8128
2008-01-01,1.177,2.4188299440482477,59440139774.8128,1.045,2.4787876007853997,45264519502.6479,0.784,2.541793256874402,35182105414.3919,0.95,2.6080853955931143,26645490675.0417,0.809,2.6779280458617256,21355576672.542,1.207,2.3617043324647065,64831935604.2484
2009-01-01,1.207,2.3617043324647065,64831935604.2484,1.177,2.4188299440482477,59440139774.8128,1.045,2.4787876007853997,45264519502.6479,0.784,2.541793256874402,35182105414.3919,0.95,2.6080853955931143,26645490675.0417,1.423,2.3072147419449287,51621044076.9231
2010-01-01,1.423,2.3072147419449287,51621044076.9231,1.207,2.3617043324647065,64831935604.2484,1.177,2.4188299440482477,59440139774.8128,1.045,2.4787876007853997,45264519502.6479,0.784,2.541793256874402,35182105414.3919,1.448,2.255182831205543,58962978034.4828
2011-01-01,1.448,2.255182831205543,58962978034.4828,1.423,2.3072147419449287,51621044076.9231,1.207,2.3617043324647065,64831935604.2484,1.177,2.4188299440482477,59440139774.8128,1.045,2.4787876007853997,45264519502.6479,1.737,2.626706460857525,55018567210.5263
2012-01-01,1.737,2.626706460857525,55018567210.5263,1.448,2.255182831205543,58962978034.4828,1.423,2.3072147419449287,51621044076.9231,1.207,2.3617043324647065,64831935604.2484,1.177,2.4188299440482477,59440139774.8128,1.794,2.559476525595574,37632919966.6667
2013-01-01,1.794,2.559476525595574,37632919966.6667,1.737,2.626706460857525,55018567210.5263,1.448,2.255182831205543,58962978034.4828,1.423,2.3072147419449287,51621044076.9231,1.207,2.3617043324647065,64831935604.2484,2.365,2.495602173785287,43024018082.1918
