,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Percentage,Economics: GDP
1997-01-01,10.345,9.75,15.885,32.521,131.4086,135.6186,0.1551847865201284,291743811512.079,10.072,9.401,7.72,32.268,131.873,143.626,0.1568348364127678,267305875261.099,9.052,6.4,6.7,33.196,129.062,137.814,0.1585330223015057,229033566614.826,10.026,8.566,7.978,33.538,130.16,140.774,0.1602814817323951,212953336588.123,9.569,10.995,8.845,33.486,129.713,141.432,0.162082480713959,284321115594.629,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73
1998-01-01,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73,10.345,9.75,15.885,32.521,131.4086,135.6186,0.1551847865201284,291743811512.079,10.072,9.401,7.72,32.268,131.873,143.626,0.1568348364127678,267305875261.099,9.052,6.4,6.7,33.196,129.062,137.814,0.1585330223015057,229033566614.826,10.026,8.566,7.978,33.538,130.16,140.774,0.1602814817323951,212953336588.123,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714
1999-01-01,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73,10.345,9.75,15.885,32.521,131.4086,135.6186,0.1551847865201284,291743811512.079,10.072,9.401,7.72,32.268,131.873,143.626,0.1568348364127678,267305875261.099,9.052,6.4,6.7,33.196,129.062,137.814,0.1585330223015057,229033566614.826,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731
2000-01-01,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73,10.345,9.75,15.885,32.521,131.4086,135.6186,0.1551847865201284,291743811512.079,10.072,9.401,7.72,32.268,131.873,143.626,0.1568348364127678,267305875261.099,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855
2001-01-01,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73,10.345,9.75,15.885,32.521,131.4086,135.6186,0.1551847865201284,291743811512.079,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409
2002-01-01,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714,10.216,12.961,10.253,32.958,131.792,144.716,0.1535808545638769,268146144677.73,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659
2003-01-01,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731,10.747,16.799,6.105,31.414,132.67,154.111,0.1520211337367757,270809066780.714,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076
2004-01-01,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855,10.338,16.1,8.5,31.656,132.392,150.33,0.1505038209218158,274072182416.731,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465
2005-01-01,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409,10.815,13.63,18.308,35.257,135.15614,141.29314,0.1490272097385394,262835454366.855,11.708,21.968,14.576,35.803,135.48029,154.58029,0.1436891894428905,392218088878.779
2006-01-01,11.708,21.968,14.576,35.803,135.48029,154.58029,0.1436891894428905,392218088878.779,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659,11.805,18.454,11.164,35.78,137.73874,156.83374,0.1479031362970243,242395852494.409,10.864,11.497,17.537,37.645,135.60741,140.43141,0.1427010363983012,423093437423.762
2007-01-01,10.864,11.497,17.537,37.645,135.60741,140.43141,0.1427010363983012,423093437423.762,11.708,21.968,14.576,35.803,135.48029,154.58029,0.1436891894428905,392218088878.779,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076,11.885,14.754,20.11,34.359,135.6542,142.1832,0.1468084030038694,266849061835.659,10.657,14.736,16.052,37.468,135.92044,145.26144,0.1417370957976521,491252589217.021
2008-01-01,10.657,14.736,16.052,37.468,135.92044,145.26144,0.1417370957976521,491252589217.021,10.864,11.497,17.537,37.645,135.60741,140.43141,0.1427010363983012,423093437423.762,11.708,21.968,14.576,35.803,135.48029,154.58029,0.1436891894428905,392218088878.779,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465,10.667,11.457,24.287,35.228,133.07658,130.91358,0.1457418759193939,334337212322.076,10.987,14.715,12.754,37.298,133.41521,146.36321,0.1407964885052114,517706149201.196
2009-01-01,10.987,14.715,12.754,37.298,133.41521,146.36321,0.1407964885052114,517706149201.196,10.657,14.736,16.052,37.468,135.92044,145.26144,0.1417370957976521,491252589217.021,10.864,11.497,17.537,37.645,135.60741,140.43141,0.1427010363983012,423093437423.762,11.708,21.968,14.576,35.803,135.48029,154.58029,0.1436891894428905,392218088878.779,10.945,17.75,15.646,35.647,135.38929,148.43829,0.1447024787934722,385118044877.465,9.911,9.08,13.765,39.395,128.30426,133.53026,0.1398783774373023,436537014293.554
