,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,3.839,23.86,19.5,15.121,48.24,56.439,-4.36,0.691128649115211,280156819798.037
1993-01-01,3.873,26.719,19.52,15.169,47.782,58.854,-7.199,0.691128649115211,272466458446.129
1994-01-01,3.537,28.08,16.3,15.335,48.229,63.546,-11.78,0.6863848467958331,301628489434.818
1995-01-01,3.669,26.69,19.5,15.383,49.073,59.932,-7.19,0.6817057220201331,353132515010.571
1996-01-01,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385
1997-01-01,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67
1998-01-01,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809
1999-01-01,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412
2000-01-01,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353
2001-01-01,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523
2002-01-01,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13
2003-01-01,4.189,33.196,30.084,17.725,52.9348,60.2358,-3.112,0.8760112776041735,363063293977.872
2004-01-01,4.244,27.759,27.056,17.734,53.97618,58.92318,-0.703,0.8684039609709195,405531321270.607
2005-01-01,4.229,31.996,38.346,17.783,55.27757,53.15657,6.35,0.8609276313194358,420544947799.55
2006-01-01,4.193,31.1,33.803,17.823,55.65783,57.14783,2.703,0.85357893441791,443801905407.561
2007-01-01,4.222,36.88,34.818,17.94,55.15804,61.44204,-2.062,0.8463546295892777,493537376707.764
2008-01-01,4.284,32.736,31.601,17.981,56.52986,61.94886,-1.135,0.8392515849461721,570304197211.707
2009-01-01,4.188,33.525,31.368,18.144,55.2259,61.5709,-2.157,0.8322667728639432,558199868578.256
2010-01-01,4.372,32.881,33.400998,18.44,57.480367,61.332369,0.519998,0.8253972656775693,603434493402.679
2011-01-01,4.481,32.237001,34.824002,17.5875,56.578672,58.472671,2.587001,1.174306977303108,722038242134.62
2012-01-01,4.576,33.749,31.549,18.953,56.690307,63.466307,-2.2,1.16067706553852,692109693986.886
2013-01-01,4.664,32.27,29.874,19.33,57.029035,64.089035,-2.396,1.1473599220639552,712748124222.61
2014-01-01,4.674,34.021,28.53,19.559,55.095366,65.260366,-5.491,1.1343449032658954,734396591036.932
2015-01-01,4.54,35.067999,34.033,19.986,55.903907,61.478906,-1.034999,1.1216218430552922,702149580770.901
2016-01-01,4.456,30.173,34.096,21.207,56.112644,56.645644,3.923,0.861851120031416,695600652899.283
2017-01-01,4.558714,30.946,36.496,21.981425,56.394007,55.402721,5.55,0.8544867166930771,704478516963.855
2018-01-01,4.228349,32.607,31.02,22.429993,55.2878937,61.1032427,-1.587,0.8472471027425637,735539301552.674
2019-01-01,4.148986,35.7649999,29.505,22.384798,54.8775489,65.2865348,-6.2599999,0.840129133003914,731767398052.879
2020-01-01,4.271825,32.548,26.988,23.38668,56.2586887,66.0905137,-5.56,0.8331297671146343,752248045730.11
2021-01-01,4.4666944,28.9682098,31.626,23.87568,57.6972307,59.5061349,2.6577902,0.5895564484715313,752248045730.11
