,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385,3.669,26.69,19.5,15.383,49.073,59.932,-7.19,0.6817057220201331,353132515010.571,3.537,28.08,16.3,15.335,48.229,63.546,-11.78,0.6863848467958331,301628489434.818,3.873,26.719,19.52,15.169,47.782,58.854,-7.199,0.691128649115211,272466458446.129,3.839,23.86,19.5,15.121,48.24,56.439,-4.36,0.691128649115211,280156819798.037,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67
1998-01-01,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385,3.669,26.69,19.5,15.383,49.073,59.932,-7.19,0.6817057220201331,353132515010.571,3.537,28.08,16.3,15.335,48.229,63.546,-11.78,0.6863848467958331,301628489434.818,3.873,26.719,19.52,15.169,47.782,58.854,-7.199,0.691128649115211,272466458446.129,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809
1999-01-01,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385,3.669,26.69,19.5,15.383,49.073,59.932,-7.19,0.6817057220201331,353132515010.571,3.537,28.08,16.3,15.335,48.229,63.546,-11.78,0.6863848467958331,301628489434.818,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412
2000-01-01,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385,3.669,26.69,19.5,15.383,49.073,59.932,-7.19,0.6817057220201331,353132515010.571,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353
2001-01-01,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67,4.011,24.19,23.241,15.429,48.918,53.878,-0.949,0.6770899610126858,340471241909.385,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523
2002-01-01,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809,4.101,27.502,20.748,15.45,48.92457,59.77957,-6.754,0.6725362853404911,295121356714.67,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13
2003-01-01,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412,4.309,29.561,23.61,15.535,49.622,59.882,-5.951,0.6680434507324613,303882354117.809,4.189,33.196,30.084,17.725,52.9348,60.2358,-3.112,0.8760112776041735,363063293977.872
2004-01-01,4.189,33.196,30.084,17.725,52.9348,60.2358,-3.112,0.8760112776041735,363063293977.872,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353,3.981,31.952,21.72,16.535,49.78,63.993,-10.232,0.6636102459460425,298520480628.412,4.244,27.759,27.056,17.734,53.97618,58.92318,-0.703,0.8684039609709195,405531321270.607
2005-01-01,4.244,27.759,27.056,17.734,53.97618,58.92318,-0.703,0.8684039609709195,405531321270.607,4.189,33.196,30.084,17.725,52.9348,60.2358,-3.112,0.8760112776041735,363063293977.872,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523,4.087,31.4,24.33,17.54,50.02196,61.17896,-7.07,0.6592354916783391,279841151705.353,4.229,31.996,38.346,17.783,55.27757,53.15657,6.35,0.8609276313194358,420544947799.55
2006-01-01,4.229,31.996,38.346,17.783,55.27757,53.15657,6.35,0.8609276313194358,420544947799.55,4.244,27.759,27.056,17.734,53.97618,58.92318,-0.703,0.8684039609709195,405531321270.607,4.189,33.196,30.084,17.725,52.9348,60.2358,-3.112,0.8760112776041735,363063293977.872,4.165,32.308,27.8,17.628,51.76598,60.43898,-4.508,0.8837530540236045,310175772488.13,4.196,34.54,24.096,17.61,51.41242,66.05242,-10.444,0.8916328868921799,287226531168.523,4.193,31.1,33.803,17.823,55.65783,57.14783,2.703,0.85357893441791,443801905407.561
