,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,1.761,4.61,4.443,13.401,14.842,0.32,1.46291743514462,1043654822.33503,1.619,4.198,4.443,13.655,14.612,0.662,1.484636440480926,1231040564.3739,2.155,5.8,4.443,13.783,16.798,-0.86,1.50701006100837,1518796992.4812,2.196,6.386,4.443,14.165,17.533,-1.172,1.530068344906431,1644325581.39535,1.2,5.596,4.442,16.213,16.609,0.804,1.530068344906431,2156666666.66667,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611
1998-01-01,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611,1.761,4.61,4.443,13.401,14.842,0.32,1.46291743514462,1043654822.33503,1.619,4.198,4.443,13.655,14.612,0.662,1.484636440480926,1231040564.3739,2.155,5.8,4.443,13.783,16.798,-0.86,1.50701006100837,1518796992.4812,2.196,6.386,4.443,14.165,17.533,-1.172,1.530068344906431,1644325581.39535,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531
1999-01-01,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611,1.761,4.61,4.443,13.401,14.842,0.32,1.46291743514462,1043654822.33503,1.619,4.198,4.443,13.655,14.612,0.662,1.484636440480926,1231040564.3739,2.155,5.8,4.443,13.783,16.798,-0.86,1.50701006100837,1518796992.4812,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992
2000-01-01,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611,1.761,4.61,4.443,13.401,14.842,0.32,1.46291743514462,1043654822.33503,1.619,4.198,4.443,13.655,14.612,0.662,1.484636440480926,1231040564.3739,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753
2001-01-01,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611,1.761,4.61,4.443,13.401,14.842,0.32,1.46291743514462,1043654822.33503,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003
2002-01-01,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531,1.951,3.9,4.443,12.899,13.85,1.0,1.44182472978832,921572114.529611,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336
2003-01-01,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992,2.093,3.7,4.443,12.772,14.265,0.6,1.421331619013104,1320242080.86531,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756
2004-01-01,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753,2.219,3.834,4.443,13.118,15.621,-0.284,1.401412894431605,1086605267.40992,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517
2005-01-01,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003,2.143,3.85,4.443,13.29,13.983,1.45,1.382044741221316,860521119.298753,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789
2006-01-01,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336,2.189,4.047,4.443,13.235,14.229,1.195,2.1501377810099673,1080768906.5003,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301
2007-01-01,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756,2.331,3.874,4.443,14.137,15.142,1.326,2.104879961708382,1221120798.81336,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951
2008-01-01,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517,2.527,4.597,4.443,13.817,16.336,0.008,2.061488111535654,1555301496.04756,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365
2009-01-01,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789,2.455,4.451,4.443,14.223,16.319,0.359,2.019849161206444,2076182460.86517,2.099,4.247,5.049,13.916,15.958,0.057,1.8345712964872816,4979481980.35098
2010-01-01,2.099,4.247,5.049,13.916,15.958,0.057,1.8345712964872816,4979481980.35098,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301,2.746,4.257,4.426,14.425,16.92,0.251,1.9798589958849768,2312327536.41789,2.33,0.286,5.048,14.0849,16.2689,0.146,1.801521107351636,5642178579.58438
2011-01-01,2.33,0.286,5.048,14.0849,16.2689,0.146,1.801521107351636,5642178579.58438,2.099,4.247,5.049,13.916,15.958,0.057,1.8345712964872816,4979481980.35098,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951,2.745,4.231,4.426,14.632,16.768,0.609,1.9414215859671533,2830220713.07301,2.271,0.197,5.174,13.77772,16.07372,-0.025,2.3676467134510175,6522732202.50748
2012-01-01,2.271,0.197,5.174,13.77772,16.07372,-0.025,2.3676467134510175,6522732202.50748,2.33,0.286,5.048,14.0849,16.2689,0.146,1.801521107351636,5642178579.58438,2.099,4.247,5.049,13.916,15.958,0.057,1.8345712964872816,4979481980.35098,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365,2.954,4.259,4.359,14.471,17.323,0.102,1.904448217185167,3719506172.83951,2.445,0.775,5.164,13.69456,16.80056,-0.661,2.312885750005144,7633049792.09321
2013-01-01,2.445,0.775,5.164,13.69456,16.80056,-0.661,2.312885750005144,7633049792.09321,2.271,0.197,5.174,13.77772,16.07372,-0.025,2.3676467134510175,6522732202.50748,2.33,0.286,5.048,14.0849,16.2689,0.146,1.801521107351636,5642178579.58438,2.099,4.247,5.049,13.916,15.958,0.057,1.8345712964872816,4979481980.35098,2.985,4.421,4.379,14.88,16.989,0.876,1.8688568070417049,5161337336.40365,2.528,1.061,5.168,13.46936,16.94136,-0.944,2.2606006399394705,8448469837.53831
