,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.00175,0.007,133.2024096385542,0.3895391257680793,137066290.550071
1993-01-01,0.00175,0.007,133.72128514056226,0.3895391257680793,138489884.393064
1994-01-01,0.00189,0.007,134.24016064257026,0.3880276064222686,195990986.21421
1995-01-01,0.00196,0.007,134.75903614457832,0.3865277719605872,208871665.748682
1996-01-01,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483
1997-01-01,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998
1998-01-01,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394
1999-01-01,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171
2000-01-01,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276
2001-01-01,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897
2002-01-01,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873
2003-01-01,0.004,0.0121,139.27309236947792,0.4615726300949218,202246959.690276
2004-01-01,0.004,0.0123,139.9129852744311,0.4594519257571825,230657965.488586
2005-01-01,0.008,0.0123,140.5528781793842,0.4573506195282973,261797606.149719
2006-01-01,0.008,0.0123,141.19277108433735,0.4552684464678597,292232117.078998
2007-01-01,0.008,0.0123,141.8326639892905,0.4532051464383574,298513956.159185
2008-01-01,0.008,0.0123,142.47255689424364,0.4511604639968286,344428609.006734
2009-01-01,0.00812,0.0123,143.11244979919678,0.4491341482894378,312377379.297118
2010-01-01,0.00722,0.0143,143.75234270414992,0.4471259529488798,366840012.442325
2011-01-01,0.00659,0.0145,143.41472556894243,-0.2348602665226312,414523388.461329
2012-01-01,0.00566,0.0155,143.07710843373494,-0.2354131584940998,470714083.426751
2013-01-01,0.004925,0.016011,142.73949129852744,-0.2359686597691321,450643615.180528
2014-01-01,0.004743,0.016011,142.40187416331997,-0.236526788862793,439878828.008608
2015-01-01,0.00486,0.01822,142.06425702811245,-0.237087564465817,437006227.162781
2016-01-01,0.004923,0.02052,141.83186077643907,-0.1635853074763063,420540178.571429
2017-01-01,0.0057,0.02422,141.59946452476572,-0.1638533474785757,460379144.989821
2018-01-01,0.0057,0.02422,141.36706827309237,-0.1641222673075305,489235527.395387
2019-01-01,0.0059,0.0257,141.13467202141902,-0.1643920713022117,512350059.421629
2020-01-01,0.0059,0.0257,140.90227576974564,-0.1646627638303497,488829964.070819
2021-01-01,0.0059,0.0257,141.97590361445782,0.7619662910673228,488829964.070819
