,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.454,1.15,0.5133024135411498,5439552941.17647
1993-01-01,0.315,1.15,0.5133024135411498,4669488516.37981
1994-01-01,0.458,1.15,0.510681075256361,4947205860.01451
1995-01-01,0.415,1.15,0.5080863742968706,5329214163.22001
1996-01-01,0.45,1.253,0.5055179066933311,5759537726.26601
1997-01-01,0.401,1.253,0.5029752766038582,5737751331.63779
1998-01-01,0.418,1.253,0.5004580961106593,6043694330.21609
1999-01-01,0.428,1.417,0.4979659850227358,6808982520.75759
2000-01-01,0.399,1.4221,0.4954985706844533,8154338232.95978
2001-01-01,0.428,1.4224,0.5861944463418898,8824873259.32105
2002-01-01,0.428,1.4756,0.5827782327072704,9008273720.93395
2003-01-01,0.312,1.464,0.5794016062659786,11305459802.0683
2004-01-01,0.368,1.4644,0.5760638828754971,13280275123.0354
2005-01-01,0.389,1.4635,0.5727643940673046,15982282462.3786
2006-01-01,0.274,1.4277,0.5695024866007278,18369361094.3886
2007-01-01,0.254,1.4719,0.5662775220316962,21641620049.9352
2008-01-01,0.224,1.658,0.5630888762961533,27871587349.5413
2009-01-01,0.291,1.6583,0.559935939307545,19172165225.5015
2010-01-01,0.265,1.77,0.556818114567507,22157948396.2042
2011-01-01,0.243,2.222,0.7073834145455956,25433011405.3017
2012-01-01,0.239,2.496,0.7024146498114906,25763220107.0051
2013-01-01,0.234,2.499,0.6975152008560321,27268478564.5547
2014-01-01,0.245,2.504,0.6926836272620224,27615843098.0949
2015-01-01,0.248,2.50801,0.687918528247947,24959858249.4433
2016-01-01,0.253,2.51101,0.7940133285211313,22386264807.3174
2017-01-01,0.274864,2.51501,0.78775842165663,22385426653.883
2018-01-01,0.425807,2.16201,0.7816012916578186,23679919654.9891
2019-01-01,0.424101,2.12401,0.775539663629571,23208326547.5327
2020-01-01,0.422757,2.12401,0.7695713327045248,21588037504.9992
2021-01-01,0.422757,2.12401,0.4247612385361892,21588037504.9992
