,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.45,1.253,0.5055179066933311,5759537726.26601,0.415,1.15,0.5080863742968706,5329214163.22001,0.458,1.15,0.510681075256361,4947205860.01451,0.315,1.15,0.5133024135411498,4669488516.37981,0.454,1.15,0.5133024135411498,5439552941.17647,0.401,1.253,0.5029752766038582,5737751331.63779
1998-01-01,0.401,1.253,0.5029752766038582,5737751331.63779,0.45,1.253,0.5055179066933311,5759537726.26601,0.415,1.15,0.5080863742968706,5329214163.22001,0.458,1.15,0.510681075256361,4947205860.01451,0.315,1.15,0.5133024135411498,4669488516.37981,0.418,1.253,0.5004580961106593,6043694330.21609
1999-01-01,0.418,1.253,0.5004580961106593,6043694330.21609,0.401,1.253,0.5029752766038582,5737751331.63779,0.45,1.253,0.5055179066933311,5759537726.26601,0.415,1.15,0.5080863742968706,5329214163.22001,0.458,1.15,0.510681075256361,4947205860.01451,0.428,1.417,0.4979659850227358,6808982520.75759
2000-01-01,0.428,1.417,0.4979659850227358,6808982520.75759,0.418,1.253,0.5004580961106593,6043694330.21609,0.401,1.253,0.5029752766038582,5737751331.63779,0.45,1.253,0.5055179066933311,5759537726.26601,0.415,1.15,0.5080863742968706,5329214163.22001,0.399,1.4221,0.4954985706844533,8154338232.95978
2001-01-01,0.399,1.4221,0.4954985706844533,8154338232.95978,0.428,1.417,0.4979659850227358,6808982520.75759,0.418,1.253,0.5004580961106593,6043694330.21609,0.401,1.253,0.5029752766038582,5737751331.63779,0.45,1.253,0.5055179066933311,5759537726.26601,0.428,1.4224,0.5861944463418898,8824873259.32105
2002-01-01,0.428,1.4224,0.5861944463418898,8824873259.32105,0.399,1.4221,0.4954985706844533,8154338232.95978,0.428,1.417,0.4979659850227358,6808982520.75759,0.418,1.253,0.5004580961106593,6043694330.21609,0.401,1.253,0.5029752766038582,5737751331.63779,0.428,1.4756,0.5827782327072704,9008273720.93395
2003-01-01,0.428,1.4756,0.5827782327072704,9008273720.93395,0.428,1.4224,0.5861944463418898,8824873259.32105,0.399,1.4221,0.4954985706844533,8154338232.95978,0.428,1.417,0.4979659850227358,6808982520.75759,0.418,1.253,0.5004580961106593,6043694330.21609,0.312,1.464,0.5794016062659786,11305459802.0683
2004-01-01,0.312,1.464,0.5794016062659786,11305459802.0683,0.428,1.4756,0.5827782327072704,9008273720.93395,0.428,1.4224,0.5861944463418898,8824873259.32105,0.399,1.4221,0.4954985706844533,8154338232.95978,0.428,1.417,0.4979659850227358,6808982520.75759,0.368,1.4644,0.5760638828754971,13280275123.0354
2005-01-01,0.368,1.4644,0.5760638828754971,13280275123.0354,0.312,1.464,0.5794016062659786,11305459802.0683,0.428,1.4756,0.5827782327072704,9008273720.93395,0.428,1.4224,0.5861944463418898,8824873259.32105,0.399,1.4221,0.4954985706844533,8154338232.95978,0.389,1.4635,0.5727643940673046,15982282462.3786
2006-01-01,0.389,1.4635,0.5727643940673046,15982282462.3786,0.368,1.4644,0.5760638828754971,13280275123.0354,0.312,1.464,0.5794016062659786,11305459802.0683,0.428,1.4756,0.5827782327072704,9008273720.93395,0.428,1.4224,0.5861944463418898,8824873259.32105,0.274,1.4277,0.5695024866007278,18369361094.3886
