,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,2.611232934489952,0.35516956504333136,0.2512176019774722,-0.10395196306585913,1.0224223807289314,42783497017.09963
2023-01-01,2.610361958026529,0.35492610106899886,0.2529145813580824,-0.10201151971091646,1.0269963196416527,42941663563.467514
2024-01-01,2.6815669770320056,0.37331516342146315,0.26533170952307195,-0.1079834538983912,1.0298642943410388,43481489535.230995
2025-01-01,2.63714378196435,0.36306210063518873,0.2591513891910842,-0.10391071144410449,1.03442375344885,43128664615.66722
2026-01-01,2.8046644882677487,0.39928551561276576,0.2846619904914022,-0.11462352512136353,1.031889702124269,44570482245.256226
2027-01-01,2.6947629442427807,0.374929178579348,0.2666053038232832,-0.10832387475606484,1.0295620768823024,43562497451.92249
2028-01-01,2.7006896544521473,0.3764217131757387,0.26816818569147444,-0.10825352748426426,1.0309264371084899,43665824255.5998
2029-01-01,2.752314571624823,0.38882178759152175,0.2766214524642644,-0.1122003351272573,1.0331369882494015,44022404898.78777
2030-01-01,2.7192051131310584,0.3808454395781717,0.2711174341696223,-0.10972800540854939,1.0320589443491448,43771112842.66067
2031-01-01,2.8245985633160284,0.4042378473089356,0.2883977639023909,-0.11584008340654468,1.0350907418452102,44695401324.64828
