,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.798,0.0,0.165,0.165,1.5854100554187185,19587322786.1105,0.759,0.0,0.08,0.08,1.6109502222297387,18030876599.3444,0.714,0.122,0.135,0.013,1.637326741002525,15632463424.2784,0.691,0.14,0.13,-0.01,1.664581377014147,14608946896.483,0.649,0.125,0.121,-0.004,1.664581377014147,15497286295.7938,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187
1998-01-01,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187,0.798,0.0,0.165,0.165,1.5854100554187185,19587322786.1105,0.759,0.0,0.08,0.08,1.6109502222297387,18030876599.3444,0.714,0.122,0.135,0.013,1.637326741002525,15632463424.2784,0.691,0.14,0.13,-0.01,1.664581377014147,14608946896.483,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198
1999-01-01,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187,0.798,0.0,0.165,0.165,1.5854100554187185,19587322786.1105,0.759,0.0,0.08,0.08,1.6109502222297387,18030876599.3444,0.714,0.122,0.135,0.013,1.637326741002525,15632463424.2784,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103
2000-01-01,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187,0.798,0.0,0.165,0.165,1.5854100554187185,19587322786.1105,0.759,0.0,0.08,0.08,1.6109502222297387,18030876599.3444,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176
2001-01-01,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187,0.798,0.0,0.165,0.165,1.5854100554187185,19587322786.1105,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948
2002-01-01,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198,0.877,0.0,0.165,0.165,1.560667082560179,20746360430.4187,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836
2003-01-01,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103,0.963,0.019,0.0,-0.019,1.5366845525852144,21803372266.6198,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142
2004-01-01,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176,1.04,0.019,0.002,-0.017,1.5134279392285606,22943685719.103,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448
2005-01-01,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948,1.117,0.0,0.001,0.001,1.490864775184816,21473261837.0176,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687
2006-01-01,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836,1.262,0.01,0.01,0.0,1.0125492807467107,22066031834.2948,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128
2007-01-01,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142,1.258,0.059,0.0,-0.059,1.0023994919012746,23142153759.5836,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027
2008-01-01,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448,1.389,0.02,0.0,-0.02,0.992451166451379,27453007372.9142,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853
2009-01-01,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687,1.543,0.028,0.0,-0.028,0.982698365064615,31183059012.4448,1.882,0.081,0.122,0.041,0.9366749194667644,43454935940.1614
2010-01-01,1.882,0.081,0.122,0.041,0.9366749194667644,43454935940.1614,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128,1.707,0.142,0.139,-0.003,0.973135379599408,32273007553.5687,1.874,0.122,0.141,0.019,0.9279827379038212,46206331261.1019
2011-01-01,1.874,0.122,0.141,0.019,0.9279827379038212,46206331261.1019,1.882,0.081,0.122,0.041,0.9366749194667644,43454935940.1614,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027,1.769,0.135,0.142,0.007,0.963756721964702,34377310293.0128,2.255,0.161,0.131,-0.03,1.216543676709343,48122838144.5183
2012-01-01,2.255,0.161,0.131,-0.03,1.216543676709343,48122838144.5183,1.874,0.122,0.141,0.019,0.9279827379038212,46206331261.1019,1.882,0.081,0.122,0.041,0.9366749194667644,43454935940.1614,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853,1.87,0.13,0.122,-0.008,0.9545571136172416,38914078351.8027,2.737,0.426,0.384,-0.042,1.2019217733763572,47311196335.2884
2013-01-01,2.737,0.426,0.384,-0.042,1.2019217733763572,47311196335.2884,2.255,0.161,0.131,-0.03,1.216543676709343,48122838144.5183,1.874,0.122,0.141,0.019,0.9279827379038212,46206331261.1019,1.882,0.081,0.122,0.041,0.9366749194667644,43454935940.1614,1.974,0.129,0.122,-0.007,0.9455314756548702,44860969077.1853,2.707,0.233,0.177,-0.056,1.187647183289493,48683848563.8515
