,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,3.007687682552845,3.130025266629355,-0.04622535095127636,5.043182936772233,-3.17625061758063,1.4935631200578132,44984598219.37993
2023-01-01,3.074525331950628,3.097805374019118,-0.06813273643991494,5.309468932750538,-3.165938110459032,1.4377547044771877,45557656787.280716
2024-01-01,3.0098315729514487,2.87820847694092,-0.07581287182550248,4.997900725468498,-2.9540213487664206,1.36438356575161,44572063195.31665
2025-01-01,2.9739679551449614,2.8630023021374646,-0.07386060672166087,4.824067411247027,-2.9368629088591236,1.3796229942384968,44141923090.18439
2026-01-01,2.9579853449701186,2.831469508985996,-0.08711416171932923,4.651610427525633,-2.918583670705323,1.3750605885384932,44056229600.84047
2027-01-01,3.1459344810901513,3.0590763551073272,-0.1680418783332285,4.771607847215956,-3.2271182334405544,1.4061404512145963,48908866076.28621
2028-01-01,3.2031713019977763,3.028670469189186,-0.21570654785384,4.867007335792212,-3.244377017043025,1.367497287296295,49586784493.92345
2029-01-01,3.188644716985654,2.938763587524587,-0.23140820460559838,4.923548862984289,-3.170171792130184,1.3454632994464522,48652575038.66832
2030-01-01,3.2154957808632583,2.908500371177867,-0.2504115971185783,4.869405140340675,-3.158911968296444,1.30838779100302,49112245030.82068
2031-01-01,3.22163950606799,2.9468327985337903,-0.2358044845722648,4.853334421444858,-3.1826372831060534,1.3218975158205304,49672482809.19758
