,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,15.854,0.345,0.27,21.218,-0.075,1.6530894992387093,181475555282.555,13.769,0.696,0.0,20.923,-0.696,1.680875881938267,169485941048.035,11.842,0.55,0.033,20.829,-0.517,1.709612343494709,130690172297.297,10.252,0.589,0.213,20.306,-0.376,1.739348459453918,180169736363.636,8.995,0.314,0.189,18.688,-0.125,1.739348459453918,158459130434.783,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257
1998-01-01,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257,15.854,0.345,0.27,21.218,-0.075,1.6530894992387093,181475555282.555,13.769,0.696,0.0,20.923,-0.696,1.680875881938267,169485941048.035,11.842,0.55,0.033,20.829,-0.517,1.709612343494709,130690172297.297,10.252,0.589,0.213,20.306,-0.376,1.739348459453918,180169736363.636,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394
1999-01-01,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257,15.854,0.345,0.27,21.218,-0.075,1.6530894992387093,181475555282.555,13.769,0.696,0.0,20.923,-0.696,1.680875881938267,169485941048.035,11.842,0.55,0.033,20.829,-0.517,1.709612343494709,130690172297.297,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633
2000-01-01,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257,15.854,0.345,0.27,21.218,-0.075,1.6530894992387093,181475555282.555,13.769,0.696,0.0,20.923,-0.696,1.680875881938267,169485941048.035,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103
2001-01-01,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257,15.854,0.345,0.27,21.218,-0.075,1.6530894992387093,181475555282.555,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102
2002-01-01,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394,18.582,0.271,2.492,21.86,2.221,1.6262068446538356,189834649111.257,23.932,0.435,3.588,31.9186,3.153,1.3967328225432558,240253216295.117
2003-01-01,23.932,0.435,3.588,31.9186,3.153,1.3967328225432558,240253216295.117,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633,20.795,0.298,3.3,23.306,3.002,1.6001845342310776,275967393939.394,24.052,0.588,1.158,35.66,0.57,1.377492926707706,314592428076.487
2004-01-01,24.052,0.588,1.158,35.66,0.57,1.377492926707706,314592428076.487,23.932,0.435,3.588,31.9186,3.153,1.3967328225432558,240253216295.117,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103,21.545,0.285,2.33,25.999,2.045,1.5749819171754993,256385525071.633,23.243,1.144,0.463,36.8975,-0.681,1.3587758850020046,408876042651.701
2005-01-01,23.243,1.144,0.463,36.8975,-0.681,1.3587758850020046,408876042651.701,24.052,0.588,1.158,35.66,0.57,1.377492926707706,314592428076.487,23.932,0.435,3.588,31.9186,3.153,1.3967328225432558,240253216295.117,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102,23.756,0.437,3.791,27.3311,3.354,1.5505608639534323,274302959053.103,24.044,1.798,0.636,38.909,-1.162,1.3405606698956305,506308311476.63
2006-01-01,24.044,1.798,0.636,38.909,-1.162,1.3405606698956305,506308311476.63,23.243,1.144,0.463,36.8975,-0.681,1.3587758850020046,408876042651.701,24.052,0.588,1.158,35.66,0.57,1.377492926707706,314592428076.487,23.932,0.435,3.588,31.9186,3.153,1.3967328225432558,240253216295.117,23.329,0.433,4.579,28.3993,4.146,1.416517791473925,201751148417.102,24.81,2.236,0.573,40.659,-1.663,1.322827366489851,557057829051.453
