,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,14.494924015467678,3.749383525855929,0.7222012375311337,56.94209909383283,131.2581943324292,-3.0271822883247834,71.09779516748692,-2.330602612746781,149559046855.90128
2023-01-01,15.540224800982955,4.146422687692616,0.8280516933203628,56.58335119915842,130.58936363672512,-3.3183709943722426,71.31298306074387,-1.8244863191986918,156977736464.71286
2024-01-01,27.516564921460013,15.122871952294581,-3.4971506311668166,55.46524340972811,178.8668760879244,-18.620022583461385,74.0189352051949,-2.129517337491415,254514160552.23425
2025-01-01,24.02703226543472,11.167269266783672,0.9482410434244741,61.86835562723418,213.42432878460085,-10.219028223359206,72.46726105164264,-3.8197551267836847,463303320869.1303
2026-01-01,25.94254969779076,13.774980844761117,0.9610142712258432,61.29882383631529,217.66293796386105,-12.813966573535279,73.92281102454385,-3.6054405663862035,390318719745.9676
2027-01-01,32.74733980068106,18.712751023949185,-0.9428076340280707,57.25923934348582,272.98592440114965,-19.655558657977284,76.41763243818421,-4.856399672425339,504537345486.9243
2028-01-01,31.26297141213822,15.655025512624281,2.0670551321134085,66.6658002453981,319.47386284422043,-13.58797038051092,75.15939917140271,-5.472536660552158,716360663686.0355
2029-01-01,47.259566762937006,31.671804158305523,5.585243775409372,61.742101807125735,350.189320359904,-26.086560382896195,84.35711121369272,-3.979981593382621,685844766206.3503
2030-01-01,43.01014241229376,30.957056241413323,6.7970632863530565,63.11654936300266,417.7567126955938,-24.159992955060346,82.87158758847312,-6.170115387636959,914065050308.8486
2031-01-01,36.28450682463333,25.789812694994858,13.354074679669763,66.01570458741578,405.35433984192184,-12.4357380153252,83.74910293125524,-4.700298324831878,889214889609.6351
