,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.682,0.0,0.0,0.0,6.322131141436374,54239171887.769
1993-01-01,1.956,0.0,0.0,0.0,6.322131141436374,55625170253.337
1994-01-01,2.136,0.0,0.0,0.0,5.946204307197584,59305093979.842
1995-01-01,2.273,0.0,0.0,0.0,5.612475072685205,65743666575.8649
1996-01-01,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863
1997-01-01,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655
1998-01-01,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858
1999-01-01,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598
2000-01-01,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151
2001-01-01,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818
2002-01-01,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617
2003-01-01,3.548,0.0,0.0,0.0,12.06137504880556,124346358066.712
2004-01-01,3.761,0.0,0.0,0.0,10.76318673008653,147824370319.946
2005-01-01,3.757,0.0,0.0,0.0,9.717296014888792,180617467964.602
2006-01-01,4.132,0.0,0.0,0.0,8.856667424222833,222116541865.214
2007-01-01,4.875,0.0,0.0,0.0,8.136081724519194,257916133424.098
2008-01-01,4.98,0.0,0.0,0.0,7.523928733839448,315474615738.598
2009-01-01,5.304,0.0,0.0,0.0,6.997445891754826,253547358747.447
2010-01-01,5.815,0.0,0.0,0.0,6.539825164456609,289787338325.391
2011-01-01,6.136,0.036,0.016,-0.02,1.026031002251766,350666031313.819
2012-01-01,6.574,0.249,0.215,-0.034,1.015610523419352,374590605854.323
2013-01-01,6.807,0.242,0.226,-0.016,1.0053995794876829,390107556160.654
2014-01-01,7.212,0.276,0.248,-0.028,0.9953919133763214,403137100068.074
2015-01-01,7.883,0.249,0.234,-0.015,0.98558151467947,358135057862.492
2016-01-01,8.022,0.506,1.141,0.635,0.830759662075347,357045064669.843
2017-01-01,8.219,0.617,0.514,-0.103,0.8239149093585714,385605506848.196
2018-01-01,7.909,0.517,0.488,-0.029,0.8171820248194853,422215043594.282
2019-01-01,7.011,0.257,0.245,-0.012,0.8105582881877307,417215559513.364
2020-01-01,7.0,0.235,0.206,-0.029,0.8040410666813124,358868765174.924
2021-01-01,6.989,0.235,0.206,-0.029,0.8282287759108174,358868765174.924
