,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
1997-01-01,29.335,0.04,16.71,72.844,315.792,0.2825425035919873,1421514820592.82,26.851,0.023,16.4,69.758,297.159,0.2833430681906074,1346422597443.59,32.041,0.0,16.9,68.184,287.214,0.2841481823687389,1140489745944.29,22.828,0.005,16.721,68.113,293.93,0.2849578850195253,1061388722255.55,23.786,0.032,16.7,67.511,292.523,0.2849578850195253,1179659529659.53,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83
1998-01-01,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83,29.335,0.04,16.71,72.844,315.792,0.2825425035919873,1421514820592.82,26.851,0.023,16.4,69.758,297.159,0.2833430681906074,1346422597443.59,32.041,0.0,16.9,68.184,287.214,0.2841481823687389,1140489745944.29,22.828,0.005,16.721,68.113,293.93,0.2849578850195253,1061388722255.55,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49
1999-01-01,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83,29.335,0.04,16.71,72.844,315.792,0.2825425035919873,1421514820592.82,26.851,0.023,16.4,69.758,297.159,0.2833430681906074,1346422597443.59,32.041,0.0,16.9,68.184,287.214,0.2841481823687389,1140489745944.29,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91
2000-01-01,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83,29.335,0.04,16.71,72.844,315.792,0.2825425035919873,1421514820592.82,26.851,0.023,16.4,69.758,297.159,0.2833430681906074,1346422597443.59,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54
2001-01-01,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83,29.335,0.04,16.71,72.844,315.792,0.2825425035919873,1421514820592.82,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46
2002-01-01,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49,27.138,0.041,16.615,72.21,315.979,0.2817464501180423,1559569417157.83,30.963,0.7677,9.1825,77.8195,339.88031,0.6600147175667727,1784076738609.11
2003-01-01,30.963,0.7677,9.1825,77.8195,339.88031,0.6600147175667727,1784076738609.11,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91,29.818,0.131,12.599,72.496,322.783,0.2809548697460861,1653391851606.49,32.07,2.959,5.1193,79.8175,342.71895,0.6556870862960216,2057093877551.02
2004-01-01,32.07,2.959,5.1193,79.8175,342.71895,0.6556870862960216,2057093877551.02,30.963,0.7677,9.1825,77.8195,339.88031,0.6600147175667727,1784076738609.11,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54,29.862,0.263,14.507,74.446,328.406,0.2801677248795929,1685762821549.91,33.175,2.2942,9.7838,82.1835,343.05598,0.6514158367762053,2421814353716.59
2005-01-01,33.175,2.2942,9.7838,82.1835,343.05598,0.6514158367762053,2421814353716.59,32.07,2.959,5.1193,79.8175,342.71895,0.6556870862960216,2057093877551.02,30.963,0.7677,9.1825,77.8195,339.88031,0.6600147175667727,1784076738609.11,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46,31.143,0.134,14.308,79.182,335.61762,0.2793849783421164,1662127402027.54,27.901,2.8392,11.1601,84.0925,351.07049,0.6471998742994232,2544829090909.09
2006-01-01,27.901,2.8392,11.1601,84.0925,351.07049,0.6471998742994232,2544829090909.09,33.175,2.2942,9.7838,82.1835,343.05598,0.6514158367762053,2421814353716.59,32.07,2.959,5.1193,79.8175,342.71895,0.6556870862960216,2057093877551.02,30.963,0.7677,9.1825,77.8195,339.88031,0.6600147175667727,1784076738609.11,32.077,0.264,10.663,80.7825,338.5837,0.6643998543892338,1643908161796.46,27.515,2.7647,10.2817,85.3165,348.44823,0.6430381323153808,2717059797608.1
