,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1992-01-01,0.01085,0.052,0.14415,294.4812680115274,2742975773.98333
1993-01-01,0.0112,0.052,0.1488,296.64265129682997,2907993100.14897
1994-01-01,0.01148,0.052,0.15252,298.80403458213254,3426022249.72907
1995-01-01,0.01169,0.052,0.15531,300.9654178674352,3716833627.37317
1996-01-01,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481
1997-01-01,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541
1998-01-01,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195
1999-01-01,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358
2000-01-01,0.0,0.052,0.341,311.7723342939481,3444921969.80607
2001-01-01,0.0,0.052,0.348,311.1835734870317,3395627477.45142
2002-01-01,0.0,0.052,0.355,310.59481268011524,3564053883.49159
2003-01-01,0.0,0.052,0.354,310.0060518731989,4178053088.6359
2004-01-01,0.0,0.052,0.36,309.4172910662824,4818328915.49681
2005-01-01,0.0,0.052,0.365,308.828530259366,5329582223.84248
2006-01-01,0.0,0.052,0.386,308.23976945244954,5613654072.54709
2007-01-01,0.0,0.052,0.394,307.6510086455331,6192507725.47965
2008-01-01,0.0,0.052,0.394,307.0622478386167,6609313729.21647
2009-01-01,0.0,0.052,0.397,306.4734870317003,5916221065.02932
2010-01-01,0.0,0.07,0.529,305.8847262247839,6566818383.30086
2011-01-01,0.0,0.07,0.531,303.96023054755045,7713181064.07788
2012-01-01,0.0,0.07,0.528,302.03573487031696,8186804963.31876
2013-01-01,0.0,0.07,0.534,300.1112391930836,8498136739.25014
2014-01-01,0.0,0.07,0.542,298.18674351585014,9226234550.7989
2015-01-01,0.0,0.07,0.55,296.2622478386167,9019345253.78121
2016-01-01,0.0,0.07,0.515,294.9014409221902,9456355295.65444
2017-01-01,0.0,0.07,0.509,293.5406340057637,10212037558.4144
2018-01-01,0.0,0.07,0.519,292.17982708933715,10656209172.6383
2019-01-01,0.03563,0.07,0.48437,290.81902017291065,10641343380.1528
2020-01-01,0.03563,0.07,0.458091056,289.45821325648416,9530487871.90819
2021-01-01,0.03563,0.07,0.489689203,288.05043227665703,9530487871.90819
