,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1997-01-01,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481,0.01169,0.052,0.15531,300.9654178674352,3716833627.37317,0.01148,0.052,0.15252,298.80403458213254,3426022249.72907,0.0112,0.052,0.1488,296.64265129682997,2907993100.14897,0.01085,0.052,0.14415,294.4812680115274,2742975773.98333,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541
1998-01-01,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481,0.01169,0.052,0.15531,300.9654178674352,3716833627.37317,0.01148,0.052,0.15252,298.80403458213254,3426022249.72907,0.0112,0.052,0.1488,296.64265129682997,2907993100.14897,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195
1999-01-01,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481,0.01169,0.052,0.15531,300.9654178674352,3716833627.37317,0.01148,0.052,0.15252,298.80403458213254,3426022249.72907,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358
2000-01-01,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481,0.01169,0.052,0.15531,300.9654178674352,3716833627.37317,0.0,0.052,0.341,311.7723342939481,3444921969.80607
2001-01-01,0.0,0.052,0.341,311.7723342939481,3444921969.80607,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541,0.01183,0.052,0.15717,303.12680115273776,3978702321.32481,0.0,0.052,0.348,311.1835734870317,3395627477.45142
2002-01-01,0.0,0.052,0.348,311.1835734870317,3395627477.45142,0.0,0.052,0.341,311.7723342939481,3444921969.80607,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195,0.01176,0.052,0.15624,305.28818443804033,3985636450.96541,0.0,0.052,0.355,310.59481268011524,3564053883.49159
2003-01-01,0.0,0.052,0.355,310.59481268011524,3564053883.49159,0.0,0.052,0.348,311.1835734870317,3395627477.45142,0.0,0.052,0.341,311.7723342939481,3444921969.80607,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358,0.01197,0.052,0.15903,307.44956772334297,3413029075.30195,0.0,0.052,0.354,310.0060518731989,4178053088.6359
2004-01-01,0.0,0.052,0.354,310.0060518731989,4178053088.6359,0.0,0.052,0.355,310.59481268011524,3564053883.49159,0.0,0.052,0.348,311.1835734870317,3395627477.45142,0.0,0.052,0.341,311.7723342939481,3444921969.80607,0.02268,0.052,0.30132,309.61095100864554,3754359623.4358,0.0,0.052,0.36,309.4172910662824,4818328915.49681
2005-01-01,0.0,0.052,0.36,309.4172910662824,4818328915.49681,0.0,0.052,0.354,310.0060518731989,4178053088.6359,0.0,0.052,0.355,310.59481268011524,3564053883.49159,0.0,0.052,0.348,311.1835734870317,3395627477.45142,0.0,0.052,0.341,311.7723342939481,3444921969.80607,0.0,0.052,0.365,308.828530259366,5329582223.84248
2006-01-01,0.0,0.052,0.365,308.828530259366,5329582223.84248,0.0,0.052,0.36,309.4172910662824,4818328915.49681,0.0,0.052,0.354,310.0060518731989,4178053088.6359,0.0,0.052,0.355,310.59481268011524,3564053883.49159,0.0,0.052,0.348,311.1835734870317,3395627477.45142,0.0,0.052,0.386,308.23976945244954,5613654072.54709
2007-01-01,0.0,0.052,0.386,308.23976945244954,5613654072.54709,0.0,0.052,0.365,308.828530259366,5329582223.84248,0.0,0.052,0.36,309.4172910662824,4818328915.49681,0.0,0.052,0.354,310.0060518731989,4178053088.6359,0.0,0.052,0.355,310.59481268011524,3564053883.49159,0.0,0.052,0.394,307.6510086455331,6192507725.47965
2008-01-01,0.0,0.052,0.394,307.6510086455331,6192507725.47965,0.0,0.052,0.386,308.23976945244954,5613654072.54709,0.0,0.052,0.365,308.828530259366,5329582223.84248,0.0,0.052,0.36,309.4172910662824,4818328915.49681,0.0,0.052,0.354,310.0060518731989,4178053088.6359,0.0,0.052,0.394,307.0622478386167,6609313729.21647
2009-01-01,0.0,0.052,0.394,307.0622478386167,6609313729.21647,0.0,0.052,0.394,307.6510086455331,6192507725.47965,0.0,0.052,0.386,308.23976945244954,5613654072.54709,0.0,0.052,0.365,308.828530259366,5329582223.84248,0.0,0.052,0.36,309.4172910662824,4818328915.49681,0.0,0.052,0.397,306.4734870317003,5916221065.02932
