,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Economics: GDP
1997-01-01,230.6171225,3.301986,43.496528,760.03,40.194542,8073122000000.0,228.755098,3.622665,42.85353,753.614,39.230865,7639749000000.0,211.4574852,2.009882,46.833177,748.395,44.823295,7287236000000.0,224.3075139,3.54089,31.357525,739.375,27.816635,6858559000000.0,212.0955327,2.826579,28.246598,731.681,25.420019,6520327000000.0,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0
1998-01-01,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0,230.6171225,3.301986,43.496528,760.03,40.194542,8073122000000.0,228.755098,3.622665,42.85353,753.614,39.230865,7639749000000.0,211.4574852,2.009882,46.833177,748.395,44.823295,7287236000000.0,224.3075139,3.54089,31.357525,739.375,27.816635,6858559000000.0,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0
1999-01-01,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0,230.6171225,3.301986,43.496528,760.03,40.194542,8073122000000.0,228.755098,3.622665,42.85353,753.614,39.230865,7639749000000.0,211.4574852,2.009882,46.833177,748.395,44.823295,7287236000000.0,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0
2000-01-01,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0,230.6171225,3.301986,43.496528,760.03,40.194542,8073122000000.0,228.755098,3.622665,42.85353,753.614,39.230865,7639749000000.0,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0
2001-01-01,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0,230.6171225,3.301986,43.496528,760.03,40.194542,8073122000000.0,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0
2002-01-01,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0,224.3801505,8.974039,43.03123,762.524,34.057191,8577554457000.0,247.7853351,15.795681,36.779077,905.301,20.983396,10936419054000.0
2003-01-01,247.7853351,15.795681,36.779077,905.301,20.983396,10936419054000.0,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0,221.055744,13.656477,39.513358,759.615,25.856881,9062818202000.0,227.5760394,23.9747034,30.3945508,948.448,6.4198474,11458243878000.0
2004-01-01,227.5760394,23.9747034,30.3945508,948.448,6.4198474,11458243878000.0,247.7853351,15.795681,36.779077,905.301,20.983396,10936419054000.0,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0,240.0864186,14.221773,43.214747,768.962,28.992974,9630664202000.0,265.9179766,22.897863,34.210061,962.942,11.312198,12213729147000.0
2005-01-01,265.9179766,22.897863,34.210061,962.942,11.312198,12213729147000.0,227.5760394,23.9747034,30.3945508,948.448,6.4198474,11458243878000.0,247.7853351,15.795681,36.779077,905.301,20.983396,10936419054000.0,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0,243.5111602,14.829382,48.592276,811.719,33.762894,10252345464000.0,269.217052,19.150968,43.929314,978.019,24.778346,13036640230000.0
2006-01-01,269.217052,19.150968,43.929314,978.019,24.778346,13036640230000.0,265.9179766,22.897863,34.210061,962.942,11.312198,12213729147000.0,227.5760394,23.9747034,30.3945508,948.448,6.4198474,11458243878000.0,247.7853351,15.795681,36.779077,905.301,20.983396,10936419054000.0,201.563884,16.473292,38.500246,848.254,22.026954,10581821399000.0,266.2767508,24.271335,42.69131,986.214,18.419975,13814611414000.0
