,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.205,3.396,0.012,2.018,-3.384,0.5558660408906708,12878199880.9839
1993-01-01,1.114,2.256,0.015,2.037,-2.241,0.5558660408906708,15002106518.4847
1994-01-01,1.199,1.675,0.015,2.2,-1.66,0.5527932509323873,17474647792.3829
1995-01-01,1.173,0.233,0.22,2.142,-0.013,0.5497542465607002,19297663096.5506
1996-01-01,1.322,0.437,0.309,2.174,-0.128,0.5467484736090288,20515543039.2132
1997-01-01,1.34,0.415,0.271,2.187,-0.144,0.5437753899645217,23969823010.4429
1998-01-01,1.464,2.234,0.078,2.179,-2.156,0.5408344652421033,25385928188.7719
1999-01-01,1.347,0.215,0.715,2.178,0.5,0.5379251804688974,23983945190.6202
2000-01-01,1.406,0.942,1.328,2.19,0.386,0.5350470277791373,22823255801.8447
2001-01-01,1.478,1.377,0.335,2.18,-1.042,0.1835446190781728,20898788416.6348
2002-01-01,1.607,2.288,0.529,2.184,-1.759,0.1832083500100134,13606494599.4261
2003-01-01,1.792,1.139,0.434,2.183,-0.705,0.1828733108346387,12045631092.5353
2004-01-01,1.807,0.1,2.348,2.057,2.248,0.1825394948168722,13686329890.1191
2005-01-01,1.792,0.841,1.585,2.061,0.744,0.1822068952707375,17362857683.8545
2006-01-01,1.065,0.016,2.835,2.26045,2.819,0.1818755055588009,19579457966.0538
2007-01-01,1.18,0.995,0.789,2.60745,-0.206,0.1815453190918702,23410572634.3147
2008-01-01,1.077,0.029,0.963,2.7261,0.934,0.1812163293285581,30366213119.2928
2009-01-01,1.136,0.243,1.468,2.8199,1.225,0.18088852977471,31660911277.0294
2010-01-01,1.212,0.711,0.387,2.9198,-0.324,0.1805619139831867,40284481651.9021
2011-01-01,1.287,0.019,0.47,2.9408,0.451,0.2992676541638216,47962439303.7247
2012-01-01,1.292,0.194,0.742,3.1547,0.548,0.2983747151531647,51264390116.4909
2013-01-01,1.282,0.207,0.0,3.70145,-0.207,0.2974870888990585,57531233350.9101
2014-01-01,1.253,1.267,0.0,4.126778,-1.267,0.2966047281278004,57236013086.1223
2015-01-01,1.49,1.321,0.002,4.412866,-1.319,0.2957275861249755,53274304222.136
2016-01-01,1.608,0.779,0.024,4.3361,-0.755,0.1543896852549884,57236652490.1699
2017-01-01,1.694491,1.462,0.003,4.9701,-1.459,0.1541516909445239,64233966861.2518
2018-01-01,1.557257,1.196,0.013956,5.3415,-1.182044,0.153914429249215,64515038268.1373
2019-01-01,1.322331,3.011,0.0,5.3516,-3.011,0.1536778967914998,61231149880.5857
2020-01-01,1.129273,1.148,0.514,5.3556,-0.634,0.1534420902144653,53628827440.3582
2021-01-01,1.129273,1.594473638,0.514,5.3556,-1.080473638,-0.0917445640033525,53628827440.3582
