,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,4.061,12.83,11.713,40.047,43.02,1.088,1.9103338309088056,13948892215.5689,4.143,14.2,11.713,39.473,44.907,-1.291,1.9475383141947795,13350468917.4115,4.336,15.2,11.102,40.553,45.289,-0.4,1.9862207237951848,12899156990.6156,4.458,15.621,11.102,41.703,46.568,-0.407,2.026470908950422,13099013835.5111,4.77,16.404,11.102,42.796,48.17,-0.604,2.026470908950422,12941297376.0933,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849
1998-01-01,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849,4.061,12.83,11.713,40.047,43.02,1.088,1.9103338309088056,13948892215.5689,4.143,14.2,11.713,39.473,44.907,-1.291,1.9475383141947795,13350468917.4115,4.336,15.2,11.102,40.553,45.289,-0.4,1.9862207237951848,12899156990.6156,4.458,15.621,11.102,41.703,46.568,-0.407,2.026470908950422,13099013835.5111,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383
1999-01-01,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849,4.061,12.83,11.713,40.047,43.02,1.088,1.9103338309088056,13948892215.5689,4.143,14.2,11.713,39.473,44.907,-1.291,1.9475383141947795,13350468917.4115,4.336,15.2,11.102,40.553,45.289,-0.4,1.9862207237951848,12899156990.6156,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282
2000-01-01,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849,4.061,12.83,11.713,40.047,43.02,1.088,1.9103338309088056,13948892215.5689,4.143,14.2,11.713,39.473,44.907,-1.291,1.9475383141947795,13350468917.4115,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314
2001-01-01,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849,4.061,12.83,11.713,40.047,43.02,1.088,1.9103338309088056,13948892215.5689,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974
2002-01-01,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383,4.008,11.5,11.689,40.489,43.579,0.918,1.874524161679695,14744603773.5849,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184
2003-01-01,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282,4.152,11.3,11.689,40.343,43.433,1.062,1.8400323114194088,14988971210.8383,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603
2004-01-01,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314,4.11,11.1,11.689,39.961,42.866,1.205,1.806786849588519,17078465982.0282,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807
2005-01-01,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974,4.335,12.75,11.689,41.264,44.323,1.276,1.7747214164197995,13760513969.314,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053
2006-01-01,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184,7.359,12.959,11.709,38.084,44.949,0.494,1.479876034049236,11401421329.1974,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919
2007-01-01,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603,8.109,11.527,11.709,38.469,46.661,-0.083,1.4582950747325487,9687788512.80184,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817
2008-01-01,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807,8.591,11.548,11.709,38.143,46.817,-0.083,1.4373344965617425,10134453435.4603,7.399,11.768,11.58,32.9016,40.2006,0.1,1.3409638187921828,29549438883.8338
2009-01-01,7.399,11.768,11.58,32.9016,40.2006,0.1,1.3409638187921828,29549438883.8338,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053,9.105,11.677,12.484,38.226,47.404,-0.073,1.4169679277312597,12030023547.8807,7.668,10.97,11.6,36.8868,44.6008,-0.046,1.3232199184428266,33689223673.2577
2010-01-01,7.668,10.97,11.6,36.8868,44.6008,-0.046,1.3232199184428266,33689223673.2577,7.399,11.768,11.58,32.9016,40.2006,0.1,1.3409638187921828,29549438883.8338,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919,8.052,11.501,12.484,38.84,46.974,-0.082,1.3971704702717762,14307509838.8053,8.983,7.693,11.62,39.11402,49.26602,-1.169,1.3059394672888545,49765676402.4495
2011-01-01,8.983,7.693,11.62,39.11402,49.26602,-1.169,1.3059394672888545,49765676402.4495,7.668,10.97,11.6,36.8868,44.6008,-0.046,1.3232199184428266,33689223673.2577,7.399,11.768,11.58,32.9016,40.2006,0.1,1.3409638187921828,29549438883.8338,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817,6.625,11.903,12.484,37.197,43.907,-0.085,1.3779185985090254,17330833852.919,8.813,8.816,12.319,40.37394,49.92094,-0.734,1.6321880720384303,60178909297.208
2012-01-01,8.813,8.816,12.319,40.37394,49.92094,-0.734,1.6321880720384303,60178909297.208,8.983,7.693,11.62,39.11402,49.26602,-1.169,1.3059394672888545,49765676402.4495,7.668,10.97,11.6,36.8868,44.6008,-0.046,1.3232199184428266,33689223673.2577,7.399,11.768,11.58,32.9016,40.2006,0.1,1.3409638187921828,29549438883.8338,6.559,11.442,12.484,39.03,44.607,0.982,1.3591900658032356,22311393927.8817,8.668,8.6,12.617,40.8123,50.1503,-0.67,1.6059755309818882,67517349212.0609
