,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1992-01-01,0.00189,2.5887315517055085,209088824.608438
1993-01-01,0.00189,2.5887315517055085,200491853.167847
1994-01-01,0.00189,2.523407310481024,233701301.490486
1995-01-01,0.00196,2.4612987186810686,249333250.082507
1996-01-01,0.0021,2.402174039818526,261370044.486614
1997-01-01,0.00231,2.345823281920203,272771209.113662
1998-01-01,0.00245,2.292055705544965,262293410.708334
1999-01-01,0.00245,2.240697666828396,268006972.690296
2000-01-01,0.004,2.1915907441576445,272014693.050806
2001-01-01,0.004,2.7790851442673103,257926881.72043
2002-01-01,0.003,2.7039403399693707,262596597.803278
2003-01-01,0.003,2.632752288781554,314471328.071548
2004-01-01,0.003,2.5652164928537315,364996869.129618
2005-01-01,0.003,2.5010589170183866,394962552.336108
2006-01-01,0.003,2.44003227229405,439376794.094041
2007-01-01,0.0026,2.3819128305311765,516392922.513728
2008-01-01,0.00343,2.3264976837011027,590748237.021657
2009-01-01,0.00343,2.2736023770621654,592622502.360859
2010-01-01,0.00345,2.223058858022671,670713208.084552
2011-01-01,0.005412,2.524719600086371,770153304.153832
2012-01-01,0.004925,2.4625471885555332,747839697.746593
2013-01-01,0.004678,2.4033632347865206,758304466.245339
2014-01-01,0.005644,2.346957325294269,772315721.265827
2015-01-01,0.004974,2.293138346882967,730870581.672312
2016-01-01,0.00532,2.550083563041269,780889605.899977
2017-01-01,0.0052,2.4866713652881804,880043553.748442
2018-01-01,0.00623,2.426336353948974,914727908.137793
2019-01-01,0.0057,2.3688598463235073,934521604.602009
2020-01-01,0.0057,2.31404340136216,881547928.58381
2021-01-01,0.0057,2.4150985770890485,881547928.58381
