,Electricity: Distribution Losses_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1997-01-01,0.0021,2.402174039818526,261370044.486614,0.00196,2.4612987186810686,249333250.082507,0.00189,2.523407310481024,233701301.490486,0.00189,2.5887315517055085,200491853.167847,0.00189,2.5887315517055085,209088824.608438,0.00231,2.345823281920203,272771209.113662
1998-01-01,0.00231,2.345823281920203,272771209.113662,0.0021,2.402174039818526,261370044.486614,0.00196,2.4612987186810686,249333250.082507,0.00189,2.523407310481024,233701301.490486,0.00189,2.5887315517055085,200491853.167847,0.00245,2.292055705544965,262293410.708334
1999-01-01,0.00245,2.292055705544965,262293410.708334,0.00231,2.345823281920203,272771209.113662,0.0021,2.402174039818526,261370044.486614,0.00196,2.4612987186810686,249333250.082507,0.00189,2.523407310481024,233701301.490486,0.00245,2.240697666828396,268006972.690296
2000-01-01,0.00245,2.240697666828396,268006972.690296,0.00245,2.292055705544965,262293410.708334,0.00231,2.345823281920203,272771209.113662,0.0021,2.402174039818526,261370044.486614,0.00196,2.4612987186810686,249333250.082507,0.004,2.1915907441576445,272014693.050806
2001-01-01,0.004,2.1915907441576445,272014693.050806,0.00245,2.240697666828396,268006972.690296,0.00245,2.292055705544965,262293410.708334,0.00231,2.345823281920203,272771209.113662,0.0021,2.402174039818526,261370044.486614,0.004,2.7790851442673103,257926881.72043
2002-01-01,0.004,2.7790851442673103,257926881.72043,0.004,2.1915907441576445,272014693.050806,0.00245,2.240697666828396,268006972.690296,0.00245,2.292055705544965,262293410.708334,0.00231,2.345823281920203,272771209.113662,0.003,2.7039403399693707,262596597.803278
2003-01-01,0.003,2.7039403399693707,262596597.803278,0.004,2.7790851442673103,257926881.72043,0.004,2.1915907441576445,272014693.050806,0.00245,2.240697666828396,268006972.690296,0.00245,2.292055705544965,262293410.708334,0.003,2.632752288781554,314471328.071548
2004-01-01,0.003,2.632752288781554,314471328.071548,0.003,2.7039403399693707,262596597.803278,0.004,2.7790851442673103,257926881.72043,0.004,2.1915907441576445,272014693.050806,0.00245,2.240697666828396,268006972.690296,0.003,2.5652164928537315,364996869.129618
2005-01-01,0.003,2.5652164928537315,364996869.129618,0.003,2.632752288781554,314471328.071548,0.003,2.7039403399693707,262596597.803278,0.004,2.7790851442673103,257926881.72043,0.004,2.1915907441576445,272014693.050806,0.003,2.5010589170183866,394962552.336108
2006-01-01,0.003,2.5010589170183866,394962552.336108,0.003,2.5652164928537315,364996869.129618,0.003,2.632752288781554,314471328.071548,0.003,2.7039403399693707,262596597.803278,0.004,2.7790851442673103,257926881.72043,0.003,2.44003227229405,439376794.094041
2007-01-01,0.003,2.44003227229405,439376794.094041,0.003,2.5010589170183866,394962552.336108,0.003,2.5652164928537315,364996869.129618,0.003,2.632752288781554,314471328.071548,0.003,2.7039403399693707,262596597.803278,0.0026,2.3819128305311765,516392922.513728
2008-01-01,0.0026,2.3819128305311765,516392922.513728,0.003,2.44003227229405,439376794.094041,0.003,2.5010589170183866,394962552.336108,0.003,2.5652164928537315,364996869.129618,0.003,2.632752288781554,314471328.071548,0.00343,2.3264976837011027,590748237.021657
2009-01-01,0.00343,2.3264976837011027,590748237.021657,0.0026,2.3819128305311765,516392922.513728,0.003,2.44003227229405,439376794.094041,0.003,2.5010589170183866,394962552.336108,0.003,2.5652164928537315,364996869.129618,0.00343,2.2736023770621654,592622502.360859
2010-01-01,0.00343,2.2736023770621654,592622502.360859,0.00343,2.3264976837011027,590748237.021657,0.0026,2.3819128305311765,516392922.513728,0.003,2.44003227229405,439376794.094041,0.003,2.5010589170183866,394962552.336108,0.00345,2.223058858022671,670713208.084552
2011-01-01,0.00345,2.223058858022671,670713208.084552,0.00343,2.2736023770621654,592622502.360859,0.00343,2.3264976837011027,590748237.021657,0.0026,2.3819128305311765,516392922.513728,0.003,2.44003227229405,439376794.094041,0.005412,2.524719600086371,770153304.153832
2012-01-01,0.005412,2.524719600086371,770153304.153832,0.00345,2.223058858022671,670713208.084552,0.00343,2.2736023770621654,592622502.360859,0.00343,2.3264976837011027,590748237.021657,0.0026,2.3819128305311765,516392922.513728,0.004925,2.4625471885555332,747839697.746593
2013-01-01,0.004925,2.4625471885555332,747839697.746593,0.005412,2.524719600086371,770153304.153832,0.00345,2.223058858022671,670713208.084552,0.00343,2.2736023770621654,592622502.360859,0.00343,2.3264976837011027,590748237.021657,0.004678,2.4033632347865206,758304466.245339
