,Electricity: Distribution Losses_lag1,Electricity: Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Imports,Population: Growth Rate,Economics: GDP
1997-01-01,3.264,0.0,1.6569416639301842,24657470574.7501,3.179,0.0,1.6848587912203037,20736164458.9505,2.764,0.0,1.7137327684271504,16286433533.3228,2.56,0.0,1.7436136468479733,13180953598.1716,2.486,0.0,1.7436136468479733,9866990236.43587,3.482,0.0,1.6299345984732472,26843700441.5482
1998-01-01,3.482,0.0,1.6299345984732472,26843700441.5482,3.264,0.0,1.6569416639301842,24657470574.7501,3.179,0.0,1.6848587912203037,20736164458.9505,2.764,0.0,1.7137327684271504,16286433533.3228,2.56,0.0,1.7436136468479733,13180953598.1716,3.49,0.0,1.603793808303556,27209602050.0452
1999-01-01,3.49,0.0,1.603793808303556,27209602050.0452,3.482,0.0,1.6299345984732472,26843700441.5482,3.264,0.0,1.6569416639301842,24657470574.7501,3.179,0.0,1.6848587912203037,20736164458.9505,2.764,0.0,1.7137327684271504,16286433533.3228,3.539,0.0,1.5784782715194894,28683659006.7752
2000-01-01,3.539,0.0,1.5784782715194894,28683659006.7752,3.49,0.0,1.603793808303556,27209602050.0452,3.482,0.0,1.6299345984732472,26843700441.5482,3.264,0.0,1.6569416639301842,24657470574.7501,3.179,0.0,1.6848587912203037,20736164458.9505,3.657,0.0,1.553949516058149,31172518403.3162
2001-01-01,3.657,0.0,1.553949516058149,31172518403.3162,3.539,0.0,1.5784782715194894,28683659006.7752,3.49,0.0,1.603793808303556,27209602050.0452,3.482,0.0,1.6299345984732472,26843700441.5482,3.264,0.0,1.6569416639301842,24657470574.7501,4.243,0.0,1.06452511787741,32685198735.3053
2002-01-01,4.243,0.0,1.06452511787741,32685198735.3053,3.657,0.0,1.553949516058149,31172518403.3162,3.539,0.0,1.5784782715194894,28683659006.7752,3.49,0.0,1.603793808303556,27209602050.0452,3.482,0.0,1.6299345984732472,26843700441.5482,5.012,0.0,1.053312343412085,35064105500.8344
2003-01-01,5.012,0.0,1.053312343412085,35064105500.8344,4.243,0.0,1.06452511787741,32685198735.3053,3.657,0.0,1.553949516058149,31172518403.3162,3.539,0.0,1.5784782715194894,28683659006.7752,3.49,0.0,1.603793808303556,27209602050.0452,5.272,0.0,1.0423333179149898,39552513316.0734
2004-01-01,5.272,0.0,1.0423333179149898,39552513316.0734,5.012,0.0,1.053312343412085,35064105500.8344,4.243,0.0,1.06452511787741,32685198735.3053,3.657,0.0,1.553949516058149,31172518403.3162,3.539,0.0,1.5784782715194894,28683659006.7752,6.01,0.0,1.0315808074576422,45427854693.2554
2005-01-01,6.01,0.0,1.0315808074576422,45427854693.2554,5.272,0.0,1.0423333179149898,39552513316.0734,5.012,0.0,1.053312343412085,35064105500.8344,4.243,0.0,1.06452511787741,32685198735.3053,3.657,0.0,1.553949516058149,31172518403.3162,6.258,0.383,1.021047873559053,57633255618.2731
2006-01-01,6.258,0.383,1.021047873559053,57633255618.2731,6.01,0.0,1.0315808074576422,45427854693.2554,5.272,0.0,1.0423333179149898,39552513316.0734,5.012,0.0,1.053312343412085,35064105500.8344,4.243,0.0,1.06452511787741,32685198735.3053,6.863,0.966,1.0107278582548724,66371664817.0436
