,Electricity: Distribution Losses,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,-0.0005738378834689148,-0.005126427312949204,2.0981338409709815,2.1357077335179557,1704880210019.6255
2023-01-01,-0.00047659521946810126,0.00024936111363721425,2.1048466311691243,2.2309338476525125,1676095695235.901
2024-01-01,-0.0005901298006975766,-0.013186927806625962,2.10231673989615,2.168702853198189,1701804207771.4824
2025-01-01,-0.0005743608387185975,-0.012012526524033118,2.1181132124207847,2.0273691468197876,1636835459506.852
2026-01-01,-0.0008460904533612009,-0.009343736902580273,2.143241578861991,1.8737369128269874,1614283307475.4111
2027-01-01,-0.0013162735162731698,-0.0032159252779920405,2.2155806496497155,1.925909078238121,1708492802595.4272
2028-01-01,-0.0013426793420488838,-0.003141250343754065,2.217202801255942,1.8530276955918905,1708485408271.382
2029-01-01,-0.0014864678485855065,-0.016588926739551695,2.255324302797045,1.7574281726369136,1784912454969.7744
2030-01-01,-0.0015763792634849792,-0.011600558497489623,2.291319429827799,1.5697070628908154,1743300087701.6829
2031-01-01,-0.00203136878700205,-0.015193471928987581,2.3296798086874553,1.4846592742136964,1789308914012.0996
