,Electricity: Distribution Losses_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.00574,0.07626,0.8783330827067669,4.092010763994086,392929142700.186,0.00574,0.07626,0.8438045112781954,4.266600516381025,376445522593.602,0.0056,0.0744,0.8092759398496241,4.456752334498564,323972651840.297,0.0056,0.0744,0.7747473684210526,4.664643963225655,331796315105.264,0.0056,0.0744,0.7402187969924813,4.664643963225655,338031362451.592,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776
1998-01-01,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776,0.00574,0.07626,0.8783330827067669,4.092010763994086,392929142700.186,0.00574,0.07626,0.8438045112781954,4.266600516381025,376445522593.602,0.0056,0.0744,0.8092759398496241,4.456752334498564,323972651840.297,0.0056,0.0744,0.7747473684210526,4.664643963225655,331796315105.264,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812
1999-01-01,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776,0.00574,0.07626,0.8783330827067669,4.092010763994086,392929142700.186,0.00574,0.07626,0.8438045112781954,4.266600516381025,376445522593.602,0.0056,0.0744,0.8092759398496241,4.456752334498564,323972651840.297,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544
2000-01-01,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776,0.00574,0.07626,0.8783330827067669,4.092010763994086,392929142700.186,0.00574,0.07626,0.8438045112781954,4.266600516381025,376445522593.602,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556
2001-01-01,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776,0.00574,0.07626,0.8783330827067669,4.092010763994086,392929142700.186,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081
2002-01-01,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812,0.00574,0.07626,0.9128616541353384,3.9311477739361065,407885197057.776,0.0,0.085,1.1239067669172933,5.020636385448138,441297738911.322
2003-01-01,0.0,0.085,1.1239067669172933,5.020636385448138,441297738911.322,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544,0.00574,0.07626,0.9473902255639096,3.782453920827331,394739334798.812,0.0,0.085,1.1776364661654135,4.780618893815603,556188086098.911
2004-01-01,0.0,0.085,1.1776364661654135,4.780618893815603,556188086098.911,0.0,0.085,1.1239067669172933,5.020636385448138,441297738911.322,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556,0.0056,0.0744,0.9819187969924812,3.64459865606268,398622414258.544,0.0,0.085,1.231366165413534,4.562503012756862,691531928615.289
2005-01-01,0.0,0.085,1.231366165413534,4.562503012756862,691531928615.289,0.0,0.085,1.1776364661654135,4.780618893815603,556188086098.911,0.0,0.085,1.1239067669172933,5.020636385448138,441297738911.322,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081,0.0,0.08,1.0164473684210529,3.5164385827350495,423087770312.556,0.0,0.085,1.2850958646616542,4.363421763344942,821339098494.416
2006-01-01,0.0,0.085,1.2850958646616542,4.363421763344942,821339098494.416,0.0,0.085,1.231366165413534,4.562503012756862,691531928615.289,0.0,0.085,1.1776364661654135,4.780618893815603,556188086098.911,0.0,0.085,1.1239067669172933,5.020636385448138,441297738911.322,0.0,0.08,1.0701770676691729,5.286028663892733,405983279511.081,0.0,0.09,1.3388255639097744,4.180987638791167,968240932235.427
