,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017,0.224,1.5,0.02,1.685,-1.48,2.5731315273342013,3807067121.8609,0.28,1.5,0.02,1.681,-1.48,2.6410902533074045,3656647744.24858,0.261,1.5,0.02,1.681,-1.48,2.712736061012768,3273237853.35689,0.252,1.5,0.02,1.7,-1.48,2.712736061012768,3181921787.7095,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365
1998-01-01,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017,0.224,1.5,0.02,1.685,-1.48,2.5731315273342013,3807067121.8609,0.28,1.5,0.02,1.681,-1.48,2.6410902533074045,3656647744.24858,0.261,1.5,0.02,1.681,-1.48,2.712736061012768,3273237853.35689,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331
1999-01-01,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017,0.224,1.5,0.02,1.685,-1.48,2.5731315273342013,3807067121.8609,0.28,1.5,0.02,1.681,-1.48,2.6410902533074045,3656647744.24858,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941
2000-01-01,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017,0.224,1.5,0.02,1.685,-1.48,2.5731315273342013,3807067121.8609,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254
2001-01-01,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931
2002-01-01,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033
2003-01-01,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331,0.332,0.504,0.151,1.7722,-0.353,3.65554383775737,4901839731.26571
2004-01-01,0.332,0.504,0.151,1.7722,-0.353,3.65554383775737,4901839731.26571,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941,0.334,0.231,0.403,1.8003,0.172,3.5266264614645806,6221077674.77871
2005-01-01,0.334,0.231,0.403,1.8003,0.172,3.5266264614645806,6221077674.77871,0.332,0.504,0.151,1.7722,-0.353,3.65554383775737,4901839731.26571,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254,0.448,0.243,0.465,1.7946,0.222,3.4064922059227793,8331870169.14977
2006-01-01,0.448,0.243,0.465,1.7946,0.222,3.4064922059227793,8331870169.14977,0.334,0.231,0.403,1.8003,0.172,3.5266264614645806,6221077674.77871,0.332,0.504,0.151,1.7722,-0.353,3.65554383775737,4901839731.26571,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931,0.564,0.552,0.187,1.914,-0.365,3.2942730511921057,12756858899.2812
