,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,1.412408511435357,0.3521359570110984,2.360503236356557,2.4686456199029454,8.3031825213232,7.7072237534131,40.839065714475396,2.046688263839891,0.20893444065476585,17826709133.489548
2023-01-01,1.992051209057672,0.3269253094633183,2.7029858966629168,2.493312555802422,8.241422496045082,7.857413117903155,40.217614985739054,1.8643542243320848,0.20671701813169546,19017643138.442295
2024-01-01,1.8711326642835877,0.218535962383964,3.3120478116623344,2.6544874014686326,9.074927156027746,7.852547971032967,41.40623033504684,2.315867531535562,0.2095042109366737,20293013553.695393
2025-01-01,2.161096434125855,0.1292998017078169,3.927795188041342,2.6758105936639205,9.143600527783661,7.506201575575993,40.61983492535576,1.8866798636813116,0.2077664654072875,18401057556.94713
2026-01-01,2.0902676336752175,0.23027056681977084,4.372418872329671,2.6944380595806106,7.971540717483766,5.919660045649083,42.76612068264362,1.9526246405119738,0.20854947986551722,18713027987.584045
2027-01-01,1.6489925822449194,0.2710197027014606,3.0857594476341723,2.719572186308213,8.203079269253173,7.037332106565385,42.62492559598669,1.7607551760451357,0.20979422649026094,18277445989.233196
2028-01-01,2.196133565866168,0.5162828545774945,3.7584118857094775,2.771628811965184,8.36810475474038,7.322109289474567,43.89120988742406,1.5080261601150777,0.20968033082495102,19365718803.495358
2029-01-01,1.9419385401294882,0.20887514055744857,2.9326172697433845,2.881449574381124,8.215278893094371,7.43347530403793,43.60595260558266,1.5964779095169226,0.2093841774605112,18984649636.521072
2030-01-01,2.1732308876467066,0.3075471114669417,3.0265274788270413,2.9655613690485723,8.678827186263453,8.133077706550067,45.25741620476897,1.7056434327627044,0.21094889313773985,20065237141.54808
2031-01-01,1.9933060493708439,0.15291892514839306,3.0302661044094306,2.9633816442891114,7.710567420509189,6.826526290619004,45.114502213742014,1.6765286411161364,0.20937784898653958,18711696561.39161
