,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.465,0.0,2.267,2.071,8.793,6.991,28.525049583244833,1.5680138418135663,0.1978664226055465,8553146600.0,0.738,0.001,1.8,2.148,8.49,7.429,28.084677945628613,1.5929921796901152,0.1976124634372388,7111270700.0,0.787,0.0,1.816,2.148,8.2,7.171,27.644306308012396,1.6187792058456687,0.1973510956580827,6890675000.0,0.504,0.003,1.921,2.148,8.773,7.359,27.20393467039618,1.6454148391111163,0.1970819902783793,6563813300.0,1.683,0.0,1.795,2.038,8.3,8.188,26.763563032779963,1.6454148391111163,0.1968047985367711,6751472200.0,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0
1998-01-01,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0,0.465,0.0,2.267,2.071,8.793,6.991,28.525049583244833,1.5680138418135663,0.1978664226055465,8553146600.0,0.738,0.001,1.8,2.148,8.49,7.429,28.084677945628613,1.5929921796901152,0.1976124634372388,7111270700.0,0.787,0.0,1.816,2.148,8.2,7.171,27.644306308012396,1.6187792058456687,0.1973510956580827,6890675000.0,0.504,0.003,1.921,2.148,8.773,7.359,27.20393467039618,1.6454148391111163,0.1970819902783793,6563813300.0,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0
1999-01-01,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0,0.465,0.0,2.267,2.071,8.793,6.991,28.525049583244833,1.5680138418135663,0.1978664226055465,8553146600.0,0.738,0.001,1.8,2.148,8.49,7.429,28.084677945628613,1.5929921796901152,0.1976124634372388,7111270700.0,0.787,0.0,1.816,2.148,8.2,7.171,27.644306308012396,1.6187792058456687,0.1973510956580827,6890675000.0,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0
2000-01-01,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0,0.465,0.0,2.267,2.071,8.793,6.991,28.525049583244833,1.5680138418135663,0.1978664226055465,8553146600.0,0.738,0.001,1.8,2.148,8.49,7.429,28.084677945628613,1.5929921796901152,0.1976124634372388,7111270700.0,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0
2001-01-01,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0,0.465,0.0,2.267,2.071,8.793,6.991,28.525049583244833,1.5680138418135663,0.1978664226055465,8553146600.0,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0
2002-01-01,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0,0.807,0.0,3.4,2.071,9.559,6.966,28.96542122086105,1.5438067384635898,0.1981132837625629,8529571600.0,2.097,0.0,4.01,2.159,10.176,8.263,30.80097093590134,0.842127673675453,0.1969135939108474,6342116400.0
2003-01-01,2.097,0.0,4.01,2.159,10.176,8.263,30.80097093590134,0.842127673675453,0.1969135939108474,6342116400.0,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0,1.212,0.0,3.921,1.881,9.013,6.304,29.405792858477263,1.520335693578869,0.1983533403849777,6401968200.0,1.444,0.0,3.185,2.159,10.28,8.539,31.05818833699716,0.8350951066805864,0.1960000493749009,5727591800.0
2004-01-01,1.444,0.0,3.185,2.159,10.28,8.539,31.05818833699716,0.8350951066805864,0.1960000493749009,5727591800.0,2.097,0.0,4.01,2.159,10.176,8.263,30.80097093590134,0.842127673675453,0.1969135939108474,6342116400.0,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0,1.408,0.0,4.271,1.881,9.676,6.813,29.84616449609348,1.4975676382392156,0.1985868699905179,6858013100.0,1.473,0.0,2.04,2.159,9.978,9.411,31.315405738092984,0.8281790241751448,0.1951097432787071,5805598400.0
2005-01-01,1.473,0.0,2.04,2.159,9.978,9.411,31.315405738092984,0.8281790241751448,0.1951097432787071,5805598400.0,1.444,0.0,3.185,2.159,10.28,8.539,31.05818833699716,0.8350951066805864,0.1960000493749009,5727591800.0,2.097,0.0,4.01,2.159,10.176,8.263,30.80097093590134,0.842127673675453,0.1969135939108474,6342116400.0,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0,1.422,0.0,5.095,2.174,10.411,6.738,30.286536133709696,1.4754714552144823,0.198814135208189,6689957600.0,1.58,0.036,3.013,2.085,10.432,9.035,31.572623139188806,0.8213765558302663,0.1942418000609202,5755215200.0
2006-01-01,1.58,0.036,3.013,2.085,10.432,9.035,31.572623139188806,0.8213765558302663,0.1942418000609202,5755215200.0,1.473,0.0,2.04,2.159,9.978,9.411,31.315405738092984,0.8281790241751448,0.1951097432787071,5805598400.0,1.444,0.0,3.185,2.159,10.28,8.539,31.05818833699716,0.8350951066805864,0.1960000493749009,5727591800.0,2.097,0.0,4.01,2.159,10.176,8.263,30.80097093590134,0.842127673675453,0.1969135939108474,6342116400.0,1.574,0.0,4.066,2.139,10.074,7.582,30.54375353480552,0.8492796929970875,0.1978512987594516,6777384700.0,1.274,0.347,4.246,2.085,10.305,7.68,31.82984054028463,0.8146849248536351,0.1933953875996675,5443896500.0
