Country,Best_p,MSE,MAE,R2,Beta,Train,Test,Predictions
Albania,2,1.2626132143629604e+18,885572023.7324167,0.37043568105000946,[ 6.14154272e+08  1.12446444e+00 -1.43812295e-01],"[6.52174991e+08 1.18531547e+09 1.88095152e+09 2.39276485e+09
 3.19964134e+09 2.25851397e+09 2.54596454e+09 3.21212165e+09
 3.48035526e+09 3.92210079e+09 4.34806824e+09 5.61149626e+09
 7.18468578e+09 8.05207354e+09 8.89607292e+09 1.06773241e+10
 1.28813535e+10 1.20442081e+10 1.19269228e+10 1.28907645e+10
 1.23198304e+10]","[1.27762205e+10 1.32281475e+10 1.13868501e+10 1.18611998e+10
 1.30196893e+10 1.51564323e+10 1.54002429e+10 1.48876293e+10
 1.48876293e+10]","[np.float64(12613515053.615332), np.float64(13025860303.088549), np.float64(13447292413.772308), np.float64(13861877518.750614), np.float64(14267456606.93822), np.float64(14663893433.11789), np.float64(15051345286.727156), np.float64(15430008627.882435), np.float64(15800081748.8432)]"
Algeria,5,8.492577389346974e+21,82718080844.61058,-14.876225344468958,"[ 1.03156994e+10  5.91658042e-01  7.16164352e-02  6.26679080e-01
  5.31558218e-01 -8.45063984e-01]","[4.80030784e+10 4.99455994e+10 4.25431780e+10 4.17643153e+10
 4.69415825e+10 4.81776120e+10 4.81877475e+10 4.86406535e+10
 5.47903927e+10 5.47447128e+10 5.67603559e+10 6.78638284e+10
 8.53325812e+10 1.03198224e+11 1.17027308e+11 1.34977083e+11
 1.71000700e+11 1.37211036e+11 1.61207270e+11 2.00013052e+11
 2.09058992e+11]","[2.09755003e+11 2.13810025e+11 1.65979279e+11 1.60034164e+11
 1.70097015e+11 1.74910879e+11 1.71767404e+11 1.45009181e+11
 1.45009181e+11]","[np.float64(177785699705.5315), np.float64(225559038334.59158), np.float64(257602916703.8296), np.float64(232400048112.9749), np.float64(225454015076.74243), np.float64(291442871056.3375), np.float64(290855806779.6629), np.float64(250405499088.61578), np.float64(285390356924.31396)]"
Angola,1,3.799000239508203e+22,158243371293.2379,-43.559109721112634,[2.20888484e+09 1.12829545e+00],"[3.39050000e+09 3.39050000e+09 3.39050000e+09 5.56122222e+09
 7.52696396e+09 7.64971616e+09 6.50661914e+09 6.15293654e+09
 9.12963498e+09 8.93606372e+09 1.52855948e+10 1.78127053e+10
 2.35520524e+10 3.69709187e+10 5.23810069e+10 6.52664521e+10
 8.85386112e+10 7.03071637e+10 8.37994966e+10 1.11789686e+11
 1.28052854e+11]","[1.36709863e+11 1.45712200e+11 1.16193649e+11 1.01123851e+11
 1.22123822e+11 1.01353231e+11 8.94171903e+10 5.83759763e+10
 5.83759763e+10]","[np.float64(146690337297.1905), np.float64(167718925352.31314), np.float64(191445385629.85904), np.float64(218215842867.70615), np.float64(248420828033.64035), np.float64(282500975442.7205), np.float64(320953450788.89435), np.float64(364339203863.84015), np.float64(413291151766.6549)]"
Antigua and Barbuda,4,2.602545254127524e+16,127179496.93715474,-0.13754538227548285,"[ 9.02941739e+07  1.56731240e+00 -8.51417320e-01 -7.31092747e-02
  3.01246462e-01]","[4.99281481e+08 5.35174074e+08 5.89429630e+08 5.77281481e+08
 6.33729630e+08 6.80618519e+08 7.27859259e+08 7.66200000e+08
 8.26370370e+08 8.00481481e+08 8.14381481e+08 8.56396296e+08
 9.19729630e+08 1.02296296e+09 1.15766296e+09 1.31275926e+09
 1.37007037e+09 1.22832963e+09 1.14870000e+09 1.13763704e+09
 1.19994815e+09]","[1.18144815e+09 1.24973333e+09 1.33669259e+09 1.43658519e+09
 1.46797778e+09 1.60594444e+09 1.68753333e+09 1.37028148e+09
 1.37028148e+09]","[np.float64(1288433243.732323), np.float64(1350884933.2746491), np.float64(1365540299.3450098), np.float64(1347639306.8374457), np.float64(1329195051.0303063), np.float64(1333270262.5576055), np.float64(1361084756.7380123), np.float64(1397164888.2735739), np.float64(1424177781.2684968)]"
Argentina,3,5.440230000205467e+21,58512318943.14228,0.20889679435226716,[ 3.04917819e+10  1.15514030e+00 -1.89482422e-01 -3.23600690e-02],"[2.28788617e+11 2.36741715e+11 2.57440000e+11 2.58031750e+11
 2.72149750e+11 2.92859000e+11 2.98948250e+11 2.83523000e+11
 2.84203750e+11 2.68696750e+11 9.77240043e+10 1.27586973e+11
 1.64657930e+11 1.98737095e+11 2.32557261e+11 2.87530508e+11
 3.61558037e+11 3.32976485e+11 4.23627422e+11 5.30163282e+11
 5.45982376e+11]","[5.52025140e+11 5.26319674e+11 5.94749285e+11 5.57531376e+11
 6.43628665e+11 5.24819743e+11 4.51932356e+11 3.89288056e+11
 3.89288056e+11]","[np.float64(547012793129.42676), np.float64(541758121799.20337), np.float64(534981086204.98706), np.float64(528114982732.11816), np.float64(521637840536.40564), np.float64(515676143797.8139), np.float64(510239039798.1585), np.float64(505297659346.12256), np.float64(500812828189.4285)]"
Armenia,2,1.0332379550262226e+18,847516158.6411425,-0.05366383342072201,[ 5.11517060e+08  1.07859277e+00 -9.18827830e-02],"[1.27283545e+09 1.20131283e+09 1.31515864e+09 1.46831744e+09
 1.59696895e+09 1.63949244e+09 1.89372644e+09 1.84548217e+09
 1.91156367e+09 2.11846791e+09 2.37633505e+09 2.80706101e+09
 3.57661524e+09 4.90046995e+09 6.38445161e+09 9.20630170e+09
 1.16620407e+10 8.64793675e+09 9.26028494e+09 1.01421113e+10
 1.06193200e+10]","[1.11214658e+10 1.16095129e+10 1.05533377e+10 1.05461352e+10
 1.15274586e+10 1.24579419e+10 1.36192914e+10 1.26412098e+10
 1.26412098e+10]","[np.float64(11033553520.905006), np.float64(11436495486.417095), np.float64(11833044854.74796), np.float64(12223736709.018135), np.float64(12608698060.565027), np.float64(12988016737.973192), np.float64(13361775802.364178), np.float64(13730056772.928759), np.float64(14092939943.790089)]"
Aruba,1,1.619624550893326e+17,383022008.1837482,-4.269941643377861,[2.31433915e+08 9.20604424e-01],"[9.58463184e+08 1.08297972e+09 1.24568827e+09 1.32047486e+09
 1.37996089e+09 1.53194413e+09 1.66510056e+09 1.72279888e+09
 1.87345251e+09 1.92011173e+09 1.94134078e+09 2.02122905e+09
 2.22849162e+09 2.33072626e+09 2.42458101e+09 2.61508380e+09
 2.74525140e+09 2.49888268e+09 2.39050279e+09 2.54972067e+09
 2.53463687e+09]","[2.72784972e+09 2.79084916e+09 2.96290503e+09 2.98363687e+09
 3.09243017e+09 3.20218861e+09 3.20218861e+09 3.20218861e+09
 3.20218861e+09]","[np.float64(2564831832.963819), np.float64(2592629448.072917), np.float64(2618220055.5288625), np.float64(2641778881.974731), np.float64(2663467241.833403), np.float64(2683433641.876294), np.float64(2701814798.0942163), np.float64(2718736571.8331914), np.float64(2734314831.6052213)]"
Australia,1,3.9499296447668884e+24,1685912875952.6206,-403.68579979679095,[-2.78273308e+10  1.14751585e+00],"[3.25480274e+11 3.12126194e+11 3.22807333e+11 3.67915800e+11
 4.01089530e+11 4.35323994e+11 3.99404463e+11 3.89098885e+11
 4.15576211e+11 3.79083933e+11 3.95342717e+11 4.67390798e+11
 6.14166311e+11 6.95075177e+11 7.47556155e+11 8.53955406e+11
 1.05512713e+12 9.28042998e+11 1.14758918e+12 1.39790792e+12
 1.54650856e+12]","[1.57633528e+12 1.46750482e+12 1.35053415e+12 1.20668511e+12
 1.32688287e+12 1.42852957e+12 1.39195251e+12 1.32783617e+12
 1.32783617e+12]","[np.float64(1746815751966.4204), np.float64(1976671431352.1152), np.float64(2240434466630.5205), np.float64(2543106730223.0938), np.float64(2890427950012.502), np.float64(3288984554718.0615), np.float64(3746334575689.247), np.float64(4271150973693.419), np.float64(4873386108676.448)]"
Austria,2,6.542974207438844e+20,23084634874.93238,-0.29411881431007125,[ 2.38253469e+10  1.20153288e+00 -2.56150291e-01],"[1.95078127e+11 1.90379721e+11 2.03535243e+11 2.41038283e+11
 2.37250949e+11 2.12790348e+11 2.18259904e+11 2.17185787e+11
 1.96799779e+11 1.97337879e+11 2.13377772e+11 2.61695779e+11
 3.00904222e+11 3.15974419e+11 3.35998557e+11 3.88691445e+11
 4.30294287e+11 4.00172298e+11 3.91892747e+11 4.31120310e+11
 4.09425234e+11]","[4.30068713e+11 4.41996132e+11 3.81817566e+11 3.95568644e+11
 4.16230497e+11 4.54945881e+11 4.45011873e+11 4.33258468e+11
 4.33258468e+11]","[np.float64(405331635265.92444), np.float64(405970241610.3286), np.float64(407786124677.9334), np.float64(409804388691.34644), np.float64(411764260290.50714), np.float64(413602131545.7705), np.float64(415308372610.2107), np.float64(416887706095.7904), np.float64(418348273064.16064)]"
Azerbaijan,4,7.936343370157766e+21,76741359665.70763,-44.58202216292188,"[ 1.83775672e+09  1.13364918e+00 -2.20313977e-01  5.08390800e-01
 -3.43826519e-01]","[4.46305556e+08 1.57000000e+09 1.19331210e+09 2.41735584e+09
 3.17633384e+09 3.96223811e+09 4.44636857e+09 4.58143204e+09
 5.27279839e+09 5.70772039e+09 6.23585682e+09 7.27675389e+09
 8.68037041e+09 1.32457161e+10 2.09829863e+10 3.30503438e+10
 4.88524830e+10 4.42914904e+10 5.29092948e+10 6.59516272e+10
 6.96839358e+10]","[7.41644359e+10 7.52442943e+10 5.30743705e+10 3.78675190e+10
 4.08655589e+10 4.71129412e+10 4.81742353e+10 4.26071765e+10
 4.26071765e+10]","[np.float64(77974837883.33913), np.float64(90219104542.71011), np.float64(99686377419.81886), np.float64(110653112099.28595), np.float64(124374009867.6968), np.float64(138115740282.15924), np.float64(152991423677.37552), np.float64(170032658659.59033), np.float64(188342680548.39725)]"
