Country,Forecast_GDP_1,Forecast_GDP_2,Forecast_GDP_3,Forecast_GDP_4,Forecast_GDP_5
Albania,15213739823.217176,15580439545.212278,15945881634.818245,16304072340.25546,16654289985.06605
Algeria,163372081082.22662,151728857177.30954,134588019987.98798,157732714545.97668,172663278895.85016
Angola,68074233430.49419,79016732857.0732,91363105200.34373,105293460971.56917,121011018041.57639
Antigua and Barbuda,1431682693.1641142,1575689990.720772,1653545361.1941593,1648469743.5780666,1582195882.9788215
Argentina,391786298892.0316,396699293500.1829,401901118512.34985,406898186807.68506,411525862542.1348
Armenia,12984725077.864265,13355238172.259878,13723307779.22675,14086261223.595566,14443920926.377613
Aruba,3179382914.0776596,3158387892.338305,3139059782.4356313,3121266238.944815,3104885424.0822215
Australia,1495885721498.6282,1688725244181.216,1910011652941.424,2163941314355.232,2455329625580.453
Austria,433420359321.4574,433614877456.0652,433807128798.8512,433988299231.9074,434156736226.9532
Azerbaijan,49045050334.39221,53148198205.00508,58295477285.97704,66499661011.59101,74538800503.4403
Bahamas,10123919429.790443,10324994564.368444,10511813325.441378,10685386500.275122,10846653210.582142
Bahrain,37515246034.552155,40490855407.384865,43668958825.57283,47063336269.37109,50688705464.41627
Bangladesh,354776497451.87366,408386627359.2909,465585237365.4248,534396785758.6373,603813231693.4023
Barbados,4702158279.0389595,4872954796.011049,4908661893.003426,4906755535.532692,4919958538.029327
Belarus,62412770029.01836,63558735556.380554,66150301097.32268,68823631660.81653,71602748864.07297
Belgium,522085290189.95624,522362240913.9045,522639708894.8213,522902461261.1122,523146869243.4773
Belize,1687073224.865225,1848162939.3641534,1747611536.677289,1689435700.0395942,1691219704.3733425
Benin,16503310789.102377,17385845977.74189,18300262443.29844,19247711885.8186,20229387610.112793
Bermuda,6978552796.189217,7109350159.21916,7235280214.804905,7356524088.018145,7473256163.799204
Bhutan,2531763473.376921,2766599275.8175597,3021528501.240586,3298270417.5044484,3598691399.4075975
Bolivia,98744086005.80656,76990309651.53253,60190166017.765045,164751402862.95996,280758293069.53064
Bosnia and Herzegovina,20219696627.35961,20546444188.27513,20874843606.96031,21192989947.687626,21498496359.919216
Botswana,15701030161.523771,16367469084.732271,17045274623.797264,17734200144.381344,18434416468.014194
Brazil,1520831171973.8728,1616698662810.741,1717285032936.982,1818571886182.2349,1919489414332.9663
Brunei Darussalam,9254958468.866283,6161464009.924244,9540606911.784792,11810920697.325592,11812225750.253595
Bulgaria,72348744901.37067,74822762902.15878,77311488351.38629,79815008681.33522,82333411844.05173
Burkina Faso,18486993912.094105,19912881408.14884,20493072700.557236,20076404967.16973,20886404341.396114
Burundi,3023757064.095047,3212414564.475266,3447113904.300313,3704925689.9112906,3989897481.652845
COD,55203149337.68116,58904183582.7401,64682068168.172455,70070808260.14502,76411360497.2726
Cabo Verde,1751014453.379727,1805396372.473977,1860464704.1517036,1915211615.516591,1969481245.8459027
Cambodia,28293954626.94586,31316992050.86621,34698448578.853745,38451928624.54861,42615290575.052155
Cameroon,42318231363.303085,43808102088.84948,45368713057.332985,46949473070.28053,48554032662.25239
Canada,1744757809611.7095,1849618186266.8835,1960311947603.1272,2077163604917.4885,2200515722076.4365
Central African Republic,2410425795.963032,2448262435.5563498,2475653514.639174,2465253254.27958,2457945797.385145
Chad,2086575456.27462,-1798435930.994526,-5706959552.327209,-15307749968.323364,-11147561845.41656
Chile,268980031180.1466,290284856015.178,314189625414.76587,340105822467.5274,367981600922.0565
China,15941281851270.844,13477715135337.531,16378437922433.5,18240989614392.312,25004023395865.625
Colombia,633579099337.8632,816078187962.8861,1006565160697.2548,1016642023910.5616,1178873658557.3657
Comoros,1233736620.4086623,1248657667.6697054,1251712917.5227125,1250012010.9798293,1253955253.8820543
Costa Rica,69949663216.11511,79229431098.99872,89857168552.05304,102028680253.26552,115968213267.43275
Croatia,57358498419.22989,57299113749.81581,57143360003.26231,56967918148.040695,56800708144.26869
Cyprus,24829482207.34381,25090281222.64153,25348537479.42463,25592499152.16904,25819917910.15815
Denmark,357898327170.0237,362626374425.12805,367619419245.70764,371701103753.5991,375267007058.28064
Dominica,514404839.16271675,524430316.7691915,534293904.70641,543998217.1406037,553545826.024902
Dominican Republic,83353119369.98497,88048255286.81566,92937843157.12529,98029936328.65111,103332921683.50021
Ecuador,108737972183.4457,120752881184.85623,134285462438.87392,149443350704.79572,166414195839.5415
Egypt,421927411464.59973,488355572087.2717,566215637295.2969,657474972152.2808,764439513940.0098
El Salvador,26725010390.1124,28357287514.228527,28931089015.764183,29440476987.376984,30427946723.59551
Equatorial Guinea,11365419649.672422,12783530347.118763,14280325143.573217,15860169838.862179,17527672469.914127
Estonia,31634076819.51695,32620774955.859985,33610388469.380386,34602925974.08457,35598396109.4306
Eswatini,4139705808.754938,4350186370.546599,4574915064.978784,4807028877.332607,5044988370.347682
Ethiopia,127112355417.22583,150282381042.31857,177859397731.08405,210681625110.44653,249746714068.43558
Fiji,5039365658.957125,5343792376.337252,5699710281.388046,5964038534.870598,6117969685.811485
Finland,270803939362.10846,272063308867.15985,273237352452.02087,274316799952.9057,275307434853.30035
France,2636081013466.647,2643032914580.6816,2649854529600.1978,2656196419534.204,2661995003083.0776
Gabon,16087774603.747395,16879187868.623299,17691609226.429996,18525596337.732674,19381721666.215824
