Country,Best_p,MSE
Albania,6,3.2965558239757215e+18
Algeria,1,2.2139198934858234e+22
Angola,7,1.0065692914987104e+22
Antigua and Barbuda,1,4.6243858281707736e+16
Argentina,9,4.60502321926055e+21
Armenia,1,1.0337768384746485e+20
Aruba,6,3.413054661790975e+17
Australia,1,5.8826387392387075e+23
Austria,7,2.0892330163415745e+21
Azerbaijan,3,7.347954421137357e+20
Bahamas,7,2.4364973502349286e+18
Bahrain,1,4.455358342101932e+19
Bangladesh,1,1.4246589773685058e+21
Barbados,2,1.5149183534515645e+17
Belarus,1,1.915679690724028e+20
Belgium,9,8.800605745399563e+21
Belize,1,2.809142339308672e+16
Benin,2,2.508285103473888e+18
Bermuda,1,3.3312119125509395e+17
Bhutan,1,1.073490116794644e+17
Bolivia,3,2.0479081111418466e+19
Bosnia and Herzegovina,1,3.720444623191995e+19
Botswana,6,2.713015216341488e+18
Brazil,1,5.417425271176539e+24
Brunei Darussalam,9,3.890267656790282e+19
Bulgaria,1,1.8481227429232783e+19
Burkina Faso,7,4.982122367187521e+19
Burundi,8,2.893194483716549e+16
COD,6,3.0277180131938464e+19
Cabo Verde,3,2.5414581964197744e+16
Cambodia,1,3.307831360291133e+18
Cameroon,8,1.0677506917603131e+20
Canada,1,1.7446734033744778e+22
Central African Republic,1,6.596524848558697e+17
Chad,10,3.4711611888746974e+20
Chile,6,4.853249659136069e+21
China,5,2.0755234302849705e+25
Colombia,4,1.3637616589794851e+23
Comoros,1,8021630592752302.0
Costa Rica,1,2.7094820862687615e+20
Croatia,1,2.2083377279932085e+20
Cyprus,3,1.0954802207855796e+19
Denmark,1,5.019788745090974e+20
Dominica,1,8217953421868766.0
Dominican Republic,1,3.696874426810109e+19
Ecuador,6,6.951475947905273e+19
Egypt,6,1.0303992405629065e+22
El Salvador,6,1.7111983348719762e+18
Equatorial Guinea,3,4.915877198581881e+19
Estonia,1,1.1313914041889028e+19
Eswatini,7,2.847324563726357e+18
Ethiopia,1,2.948842515657911e+21
Fiji,10,1.1037447574683575e+18
Finland,1,1.0931335363357295e+21
France,7,1.6590636631448682e+23
Gabon,1,6.747930991482479e+19
Georgia,4,1.1515108550273984e+20
Germany,8,1.1418723294687183e+23
Ghana,1,5.128285105743125e+19
Greece,1,1.8048687882302815e+21
Grenada,9,2.3306975753482904e+16
Guatemala,1,3.1249359734845702e+19
Guinea,1,1.955804296867968e+18
Guinea-Bissau,1,2.810671966268093e+16
Guyana,2,1.083444848056674e+18
Haiti,1,3.6794547112739436e+18
Honduras,6,4.880120354873913e+19
Hong Kong,6,5.609653234254891e+20
Hungary,1,2.8870645803301172e+20
Iceland,1,6.601171760659549e+19
India,1,8.490543249376031e+22
Indonesia,8,3.4737486883977117e+22
Iran,6,3.5015054406855216e+22
Iraq,7,4.968464108244024e+21
Ireland,1,9.103580944352363e+21
Israel,2,3.335250132703085e+20
Italy,1,3.4277728434872845e+23
Jamaica,1,7.860395695137928e+17
Japan,2,2.452156108929877e+24
Jordan,4,1.5455856397250013e+21
Kazakhstan,2,1.2588567226897117e+21
Kenya,1,7.114843331164459e+19
Kiribati,3,112950057108174.48
Kuwait,1,2.494599997566709e+22
Kyrgyzstan,6,1.0810187683882914e+19
Laos,10,1.4885186810458676e+20
Latvia,1,4.312646059287752e+20
Lebanon,10,1.8086256433779368e+21
Lesotho,1,7.092037116306597e+16
Lithuania,1,2.0647138454905967e+19
Luxembourg,7,1.183962145265055e+20
Madagascar,1,7.713315658246605e+18
Malawi,1,4.118733251019375e+19
Malaysia,2,1.3816247747116458e+22
Maldives,1,1.0433198102131062e+18
Mali,10,8.95987173342192e+18
Malta,1,1.8960311885757657e+19
Mauritania,1,1.161629770419956e+18
Mauritius,4,1.8283145904956923e+18
Mexico,1,3.8502032653285e+22
Moldova,1,1.2392420028490047e+19
Mongolia,1,3.3316812766347694e+19
Morocco,1,8.660277988932905e+19
Mozambique,1,2.0890769270460424e+19
Myanmar,4,2.7417551444149346e+21
Namibia,1,1.451886819546839e+18
Nepal,1,5.0730429509846065e+19
Netherlands,2,5.426387820014546e+21
New Zealand,1,1.117728524948959e+20
Nicaragua,5,4.186603126803408e+18
Niger,5,4.5201549061501317e+18
Nigeria,4,2.4586063794837356e+22
North Macedonia,7,3.3743819054364554e+18
Norway,1,3.4047361836162136e+23
Oman,8,7.547983178226237e+21
Pakistan,6,2.463315505300766e+21
Panama,3,1.376195860906488e+21
Papua New Guinea,4,1.0514662396901286e+20
Paraguay,3,1.666126721758917e+19
Peru,2,1.6395102071425839e+21
Philippines,8,1.7174086820420144e+22
Poland,6,1.096944186509814e+23
Portugal,8,8.556734357732861e+20
Puerto Rico,2,2.2147968107745848e+18
Republic of the Congo,6,1.5713794918319538e+20
Romania,2,1.7266072927605406e+21
Russia,4,7.540690900411497e+23
Rwanda,9,1.5604430165242733e+19
Saint Kitts and Nevis,3,9979535195360260.0
Saint Lucia,4,4.732705337168822e+16
Saint Vincent and the Grenadines,1,800707253637875.5
Samoa,1,4570463645502524.0
Saudi Arabia,6,5.465416886756517e+23
Senegal,6,1.880803952746071e+18
Seychelles,2,6.066220999550824e+16
Sierra Leone,2,4.7970321283811795e+17
Singapore,6,9.502936381679754e+20
Slovenia,1,1.3294305144842794e+20
Solomon Islands,1,1.19142161837484e+18
South Africa,1,1.047038878193113e+21
South Korea,7,2.1514333405715266e+23
Spain,1,3.4090819136938112e+22
Sri Lanka,1,1.2296063255623537e+20
Sudan,1,5.967482683101061e+20
Suriname,5,1.381514569551526e+19
Sweden,1,9.949887530350169e+21
Switzerland,8,1.1347750982922502e+21
Tajikistan,7,2.6079586446467953e+18
Tanzania,6,8.24330175453921e+19
Thailand,8,6.384369151369665e+21
Togo,5,4.276421223328411e+17
Tonga,1,1.052112369949723e+17
Trinidad and Tobago,1,9.639635520752943e+20
Tunisia,6,2.736014468060753e+20
Turkmenistan,2,7.141991358815974e+20
Türkiye,5,6.375563254394726e+22
Uganda,6,1.0388548735594237e+20
Ukraine,1,7.991930528647852e+21
United Arab Emirates,4,1.2312843170537988e+22
United Kingdom,2,2.5942084408384322e+23
United States,1,1.3828345716745998e+24
United States Minor Outlying Islands,1,3.812333709976061e+18
Uruguay,9,9.033104368167426e+19
Uzbekistan,2,4.2635820988468245e+20
Vanuatu,1,6.947746339328258e+16
Vietnam,1,1.7114727417240415e+21
Western Sahara,5,4.4146432200894896e+23
Yemen,2,7.10740903535389e+20
Zambia,1,4.257011033844253e+20
Zimbabwe,1,1.420354543007396e+20
