Country,,Region,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,GDP,Europe,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927,
Albania,GDP_growth,Europe,-7.18711091636945,9.55941169434738,8.3028665911288,13.3223333200802,9.0999994436022,-10.9199840851035,8.8294237664642,12.8908036419573,6.94621658543626,8.2933126362982,4.53652415746586,5.5286374640865,5.51466791001826,5.52642424110965,5.90265903803065,5.98325952322337,7.5000414281097,3.35428935222038,3.70693815038592,2.54540614450104,1.417242800379,1.00201754037133,1.77444885497087,2.21872637165328,3.31498068405152,3.80222740018748,4.01935968580831,2.11341998165848,-3.95539792669307,
Albania,GDP_per_capita,Europe,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97727483821,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793,
Albania,GDP_per_capita_growth,Europe,-6.62255121373244,10.2299493626077,8.96976165264687,14.0244959282551,9.78017988648602,-10.3611049779492,9.51648444633986,13.6080691249014,7.63002243231912,9.31439714452952,4.85047533129186,5.92421154162319,5.9565695952175,6.06788243348224,6.5729229844884,6.78722894058974,8.32810842081639,4.05313986616314,4.22308382503236,2.82164245514005,1.58487281498216,1.18723435252161,1.98538809417568,2.51682705063622,3.48029321692431,3.89774060579526,4.2763256546607,2.54935857948763,-3.39870846788662,
Albania,PPP,Europe,5917192039.58383,6636506129.85337,7341010522.39282,8493445677.1662,9436013062.55441,8555908065.78459,9451419206.02876,10792624922.3438,11926129734.7085,13157356089.9326,14221986237.4723,15198230044.7357,16429415677.4264,17663280434.3643,19650777816.5529,21631651452.0414,24251525378.4462,25800311194.0603,28048669277.8213,29655555314.7371,30530372661.7234,30603912535.8345,32529194811.0951,33585844099.8588,34739972822.8228,36696816738.7391,38647380897.284,39995711225.2177,38138316065.2023,
Albania,PPP_per_capita,Europe,1822.33476086485,2056.37308669894,2288.6759563705,2664.37301811108,2978.50845068672,2717.6443480695,3021.04157736341,3471.66150890924,3860.80462705845,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,6566.57282794654,7283.34263812006,8228.34804111345,8813.02946080293,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673,11658.9055171112,12078.8431361843,12770.9642910053,13483.0116137185,14012.9764354305,13439.6652780757,
Albania,distribution losses,Europe,1.411,1.655,1.843,2.283,2.887,2.913,3.189,2.213,2.073,1.889,1.297,2.091,1.968,0.628,2.489,2.085,1.19884,1.25041,1.12132,1.07628,1.1193,1.95349,1.11907,1.25,1.9859,1.276047,1.1557,1.08183,0.93263,0.999072126
Albania,exports,Europe,0.56,0.141,0.155,0.074,0.38,0.839,0.69,0.755,0.222,0.069,0.058,0.326,0.0,0.0,0.0,0.0,0.0,0.487,2.935,0.0,0.0,0.0,0.183,0.956,0.042,0.0,1.764,0.77048,0.963,2.8
Albania,imports,Europe,0.104,0.082,0.157,0.15,0.2,0.711,1.069,1.113,1.3,1.8,2.2,1.242,0.477,0.371,0.611,2.838,2.434,1.965,1.005,3.475,3.23,2.323,3.25,2.355,1.827,2.914628,0.85048,3.176515,3.239,2.252
Albania,installed capacity,Europe,1.892,1.892,1.892,1.669,1.684,1.684,1.684,1.684,1.684,1.6691,1.6692,1.7792,1.6692,1.5922,1.5922,1.5922,1.5732,1.5732,1.5844,1.632,1.752,1.905,1.849,1.922,2.037,2.172425,2.230425,2.331425,2.535425,2.540425
