Country,Year,GDP_Forecast
Albania,2022,17382608888.477577
Albania,2023,16613692146.483076
Albania,2024,13436208014.857195
Albania,2025,12019185172.027624
Albania,2026,16122713795.16174
Albania,2027,14020907628.943174
Albania,2028,10669511502.726372
Albania,2029,13241871447.04545
Albania,2030,17447004311.506706
Albania,2031,15530007920.513735
Algeria,2022,145657058638.9578
Algeria,2023,144793560713.07886
Algeria,2024,144827238128.03082
Algeria,2025,145144090305.707
Algeria,2026,145787521819.72348
Algeria,2027,146646241143.6267
Algeria,2028,147653225579.63583
Algeria,2029,148742024418.8286
Algeria,2030,149857947256.57568
Algeria,2031,150955698215.1329
Angola,2022,74815572681.04422
Angola,2023,208013672824.55554
Angola,2024,376028415337.32324
Angola,2025,670035023461.2444
Angola,2026,1093564487963.4875
Angola,2027,1648725813778.0232
Angola,2028,2445913449311.1577
Angola,2029,3457935866874.4443
Angola,2030,4664280287333.721
Angola,2031,5987517400676.33
Antigua and Barbuda,2022,1316665377.850388
Antigua and Barbuda,2023,1283871852.8211806
Antigua and Barbuda,2024,1265802119.4691725
Antigua and Barbuda,2025,1251566647.3249874
Antigua and Barbuda,2026,1231302359.1608202
Antigua and Barbuda,2027,1199010245.570773
Antigua and Barbuda,2028,1152944356.9763079
Antigua and Barbuda,2029,1094529932.4948504
Antigua and Barbuda,2030,1026781246.8940805
Antigua and Barbuda,2031,952912653.4853411
Argentina,2022,423479272919.2743
Argentina,2023,379199643389.30023
Argentina,2024,408006794214.82166
Argentina,2025,337426110744.9785
Argentina,2026,262168354424.45013
Argentina,2027,244183119517.39838
Argentina,2028,447885237531.3153
Argentina,2029,741822829413.5833
Argentina,2030,762194381482.3352
Argentina,2031,645982195262.0975
Armenia,2022,12537522722.5638
Armenia,2023,12685000823.506914
Armenia,2024,12841854804.024609
Armenia,2025,12981494436.842386
Armenia,2026,13106396820.103338
Armenia,2027,13220651545.379646
Armenia,2028,13326727067.915138
Armenia,2029,13425937065.843422
Armenia,2030,13519041560.216688
Armenia,2031,13606555071.445358
Aruba,2022,2988474303.424346
Aruba,2023,2863857329.3345203
Aruba,2024,1759475321.0738096
Aruba,2025,2499039386.8000865
Aruba,2026,-2136696403.6418343
Aruba,2027,7434444454.65476
Aruba,2028,-21186804859.980614
Aruba,2029,54206113427.35883
Aruba,2030,-151557061509.23425
Aruba,2031,407412251627.5092
Australia,2022,1220496180348.7988
Australia,2023,1128276610398.6963
Australia,2024,1070243030878.5234
Australia,2025,1042016769833.7217
Australia,2026,1039180717458.7441
Australia,2027,1058196818667.2529
Australia,2028,1096050843923.6748
Australia,2029,1150025985465.1611
Australia,2030,1217614324050.8613
Australia,2031,1296508607895.5205
Austria,2022,385475061979.13025
Austria,2023,329672813149.3069
Austria,2024,523908657178.1636
Austria,2025,804942803907.3824
Austria,2026,1014501265760.0403
Austria,2027,814579491767.174
Austria,2028,416211990395.2468
Austria,2029,-188650205339.425
Austria,2030,-426639411095.2296
Austria,2031,5097866138.576294
Azerbaijan,2022,26673133964.44587
Azerbaijan,2023,13604434984.294205
Azerbaijan,2024,4397814233.901863
Azerbaijan,2025,16647526434.200592
Azerbaijan,2026,6052896055.415806
Azerbaijan,2027,-843135943.570343
Azerbaijan,2028,-24618215893.634468
Azerbaijan,2029,-43538956407.63892
Azerbaijan,2030,-48963799480.63701
Azerbaijan,2031,-36835577308.534
Bahamas,2022,9705091539.405567
Bahamas,2023,6064639516.8815365
Bahamas,2024,4603940150.630495
Bahamas,2025,4413674159.882563
Bahamas,2026,6736897218.425491
Bahamas,2027,8347098391.111389
Bahamas,2028,10076491219.910254
Bahamas,2029,13502923069.950327
Bahamas,2030,16485901094.011799
Bahamas,2031,20055051615.93757
Bahrain,2022,34392658278.61234
Bahrain,2023,33426631064.43594
Bahrain,2024,32306454374.583508
Bahrain,2025,31031267975.74214
Bahrain,2026,29639523225.224136
Bahrain,2027,28155837901.156883
Bahrain,2028,26599601735.098064
Bahrain,2029,24989468846.76025
Bahrain,2030,23344634451.035408
Bahrain,2031,21684704815.12862
Bangladesh,2022,335276452147.7619
Bangladesh,2023,350145448532.7398
Bangladesh,2024,367406065379.56024
Bangladesh,2025,386791944274.6798
Bangladesh,2026,408061673394.29376
Bangladesh,2027,431015863774.49963
Bangladesh,2028,455503258047.2211
Bangladesh,2029,481419984958.56195
Bangladesh,2030,508704961731.7089
Bangladesh,2031,537333527887.3431
Barbados,2022,4985354005.718435
Barbados,2023,5541713148.134426
Barbados,2024,5941173644.509867
Barbados,2025,6182373395.1040325
Barbados,2026,6342595246.8904705
Barbados,2027,6482364754.345544
Barbados,2028,6629401969.853148
Barbados,2029,6787764393.3757715
Barbados,2030,6953685230.115415
Barbados,2031,7124470455.476817
Belarus,2022,74038368740.6051
Belarus,2023,81097625068.91699
Belarus,2024,82390415685.47742
Belarus,2025,81568208033.98682
Belarus,2026,80877187070.20569
Belarus,2027,80762778200.99353
Belarus,2028,80967944152.32617
Belarus,2029,81308638131.79858
Belarus,2030,81805157923.2677
Belarus,2031,82528527925.4707
Belgium,2022,551434581326.026
Belgium,2023,536202353669.3988
Belgium,2024,469380337730.0853
Belgium,2025,515217040406.0469
Belgium,2026,397909990670.2691
Belgium,2027,348838694839.2593
Belgium,2028,501314633028.68286
Belgium,2029,392856067505.70483
Belgium,2030,488679469268.2006
Belgium,2031,602044849779.8099
Belize,2022,1647141743.143072
Belize,2023,1644204147.2144973
Belize,2024,1638834953.8460002
Belize,2025,1633405107.8984985
Belize,2026,1628393922.6274009
Belize,2027,1623880651.4485812
Belize,2028,1619858588.793135
Belize,2029,1616301889.7796092
Belize,2030,1613180268.119754
Belize,2031,1610462571.8414946
Benin,2022,9315929694.965263
Benin,2023,5773247243.552579
Benin,2024,4099931532.002325
Benin,2025,-2708471081.0984554
Benin,2026,-12304706226.593834
Benin,2027,-24475655831.28518
Benin,2028,-43516018895.774826
Benin,2029,-68120431952.54976
Benin,2030,-98613953954.85446
Benin,2031,-141041280693.6856
Bermuda,2022,6745431458.979311
Bermuda,2023,6785146699.403263
Bermuda,2024,6887092354.028537
Bermuda,2025,7008133407.407883
Bermuda,2026,7122509979.597782
Bermuda,2027,7222314512.887293
Bermuda,2028,7308868068.408213
Bermuda,2029,7386624235.263601
Bermuda,2030,7459367483.093894
Bermuda,2031,7528912337.154097
Bhutan,2022,2267789573.7887187
Bhutan,2023,2201069784.3265038
