Country,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
Albania,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,
Algeria,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Angola,Electricity: Distribution Losses,Population: Growth Rate,,,,,,,
Antigua and Barbuda,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,,,,,
Argentina,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,,,,,
Armenia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,,,
Aruba,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,,,,,
Australia,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,,,,
Austria,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Imports,Population: Growth Rate,,,,,
Azerbaijan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,
Bahamas,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,,,,,
Bahrain,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,,
Bangladesh,Electricity: Distribution Losses,Electricity: Imports,,,,,,,
Barbados,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Belarus,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,
Belgium,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,
Belize,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,,,,,,
Benin,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Generation,Population: Growth Rate,,,,
Bermuda,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,,,,
Bhutan,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Population: Percentage,,,,
Bolivia,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,,,,,
Bosnia and Herzegovina,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,,,
Botswana,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,,,
Brazil,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,,,,,,
